X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
C1 ; 1 ; 0.25 ; 0.166667 ; 0.0909091 ; 0.0833333 ; 0.3 ; 0.0909091 ; 0.0714286 ; 0.25 ; 0.142857
C2 ; 0.25 ; 1 ; 0.363636 ; 0.181818 ; 0.272727 ; 0.166667 ; 0.181818 ; 0.230769 ; 0.142857 ; 0.133333
C3 ; 0.166667 ; 0.363636 ; 1 ; 0.2 ; 0.0833333 ; 0.181818 ; 0.2 ; 0.0714286 ; 0.153846 ; 0.142857
C4 ; 0.0909091 ; 0.181818 ; 0.2 ; 1 ; 0.222222 ; 0.1 ; 0.111111 ; 0.0833333 ; 0.181818 ; 0.166667
C5 ; 0.0833333 ; 0.272727 ; 0.0833333 ; 0.222222 ; 1 ; 0.0909091 ; 0.222222 ; 0.272727 ; 0.0769231 ; 0.363636
C6 ; 0.3 ; 0.166667 ; 0.181818 ; 0.1 ; 0.0909091 ; 1 ; 0.1 ; 0.166667 ; 0.4 ; 0.153846
C7 ; 0.0909091 ; 0.181818 ; 0.2 ; 0.111111 ; 0.222222 ; 0.1 ; 1 ; 0.3 ; 0.0833333 ; 0.166667
C8 ; 0.0714286 ; 0.230769 ; 0.0714286 ; 0.0833333 ; 0.272727 ; 0.166667 ; 0.3 ; 1 ; 0.230769 ; 0.307692
C9 ; 0.25 ; 0.142857 ; 0.153846 ; 0.181818 ; 0.0769231 ; 0.4 ; 0.0833333 ; 0.230769 ; 1 ; 0.133333
C10 ; 0.142857 ; 0.133333 ; 0.142857 ; 0.166667 ; 0.363636 ; 0.153846 ; 0.166667 ; 0.307692 ; 0.133333 ; 1
