X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
C1 ; 1 ; 0.107143 ; 0.0877193 ; 0.075 ; 0.0566038 ; 0.0909091 ; 0.0357143 ; 0.0357143 ; 0.0588235 ; 0.108108
C2 ; 0.107143 ; 1 ; 0.305085 ; 0.115385 ; 0.267857 ; 0.26 ; 0.157895 ; 0.0731707 ; 0.159091 ; 0.0566038
C3 ; 0.0877193 ; 0.305085 ; 1 ; 0.308824 ; 0.36 ; 0.305556 ; 0.171875 ; 0.190476 ; 0.261538 ; 0.144737
C4 ; 0.075 ; 0.115385 ; 0.308824 ; 1 ; 0.257576 ; 0.209677 ; 0.0980392 ; 0.142857 ; 0.188679 ; 0.307692
C5 ; 0.0566038 ; 0.267857 ; 0.36 ; 0.257576 ; 1 ; 0.239437 ; 0.254545 ; 0.189655 ; 0.151515 ; 0.227273
C6 ; 0.0909091 ; 0.26 ; 0.305556 ; 0.209677 ; 0.239437 ; 1 ; 0.150943 ; 0.109091 ; 0.236364 ; 0.216667
C7 ; 0.0357143 ; 0.157895 ; 0.171875 ; 0.0980392 ; 0.254545 ; 0.150943 ; 1 ; 0.166667 ; 0.0652174 ; 0.08
C8 ; 0.0357143 ; 0.0731707 ; 0.190476 ; 0.142857 ; 0.189655 ; 0.109091 ; 0.166667 ; 1 ; 0.139535 ; 0.2
C9 ; 0.0588235 ; 0.159091 ; 0.261538 ; 0.188679 ; 0.151515 ; 0.236364 ; 0.0652174 ; 0.139535 ; 1 ; 0.173077
C10 ; 0.108108 ; 0.0566038 ; 0.144737 ; 0.307692 ; 0.227273 ; 0.216667 ; 0.08 ; 0.2 ; 0.173077 ; 1
