X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
C1 ; 1 ; 0.263736 ; 0.240566 ; 0.183908 ; 0.266667 ; 0.277778 ; 0.152439 ; 0.12 ; 0.219388 ; 0.302752
C2 ; 0.263736 ; 1 ; 0.338235 ; 0.241379 ; 0.229665 ; 0.289216 ; 0.213415 ; 0.141026 ; 0.238806 ; 0.318386
C3 ; 0.240566 ; 0.338235 ; 1 ; 0.251256 ; 0.324201 ; 0.321429 ; 0.296089 ; 0.12234 ; 0.276018 ; 0.356846
C4 ; 0.183908 ; 0.241379 ; 0.251256 ; 1 ; 0.219895 ; 0.213198 ; 0.121795 ; 0.0769231 ; 0.216216 ; 0.255814
C5 ; 0.266667 ; 0.229665 ; 0.324201 ; 0.219895 ; 1 ; 0.443299 ; 0.186813 ; 0.101695 ; 0.323383 ; 0.317797
C6 ; 0.277778 ; 0.289216 ; 0.321429 ; 0.213198 ; 0.443299 ; 1 ; 0.180851 ; 0.110497 ; 0.2891 ; 0.337553
C7 ; 0.152439 ; 0.213415 ; 0.296089 ; 0.121795 ; 0.186813 ; 0.180851 ; 1 ; 0.096 ; 0.155556 ; 0.234146
C8 ; 0.12 ; 0.141026 ; 0.12234 ; 0.0769231 ; 0.101695 ; 0.110497 ; 0.096 ; 1 ; 0.154321 ; 0.26087
C9 ; 0.219388 ; 0.238806 ; 0.276018 ; 0.216216 ; 0.323383 ; 0.2891 ; 0.155556 ; 0.154321 ; 1 ; 0.371041
C10 ; 0.302752 ; 0.318386 ; 0.356846 ; 0.255814 ; 0.317797 ; 0.337553 ; 0.234146 ; 0.26087 ; 0.371041 ; 1
