X ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; post bn:01500184n ; nombre bn:00058285n ; zones bn:00005513n ; salaire bn:15928884n ; site bn:00047172n ; chaîne bn:00074685n ; langage de script bn:01431715n ; super bn:17336345n ; type bn:00016413n ; serveur bn:00044916n ; pouvoir bn:00084451v ; france bn:00036202n ; pointeur bn:03222272n ; casse bn:03225002n ; timestamp bn:03603649n ; echo bn:03626250n ; valeur bn:00079508n ; généralité bn:00041249n ; autre bn:00108013a
chaîne bn:00074685n ; 0.2 ; 0.0909091 ; 0.153846 ; 0.117647 ; 0.111111 ; 0.117647 ; 0.555556 ; 0.125 ; 0.4 ; 0.153846 ; 1 ; 0.333333 ; 0.4 ; 0.142857 ; 0.166667 ; 0.4 ; 0.166667 ; 0.166667 ; 0.4 ; 0.2 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.166667
langage de script bn:01431715n ; 0.285714 ; 0.0588235 ; 0.105263 ; 0.190476 ; 0.142857 ; 0.388889 ; 0.25 ; 0.153846 ; 0.181818 ; 0.235294 ; 0.333333 ; 1 ; 0.181818 ; 0.222222 ; 0.181818 ; 0.181818 ; 0.181818 ; 0.0833333 ; 0.181818 ; 0.636364 ; 0.181818 ; 0.0833333 ; 0.181818 ; 0.181818
super bn:17336345n ; 0.285714 ; 0.125 ; 0.0909091 ; 0.0666667 ; 0.166667 ; 0.0666667 ; 0.222222 ; 0.2 ; 1 ; 0.0909091 ; 0.4 ; 0.181818 ; 1 ; 0.0833333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
type bn:00016413n ; 0.125 ; 0.125 ; 0.4 ; 0.315789 ; 0.142857 ; 0.470588 ; 0.176471 ; 0.363636 ; 0.0833333 ; 0.235294 ; 0.142857 ; 0.222222 ; 0.0833333 ; 1 ; 0.181818 ; 0.0833333 ; 0.0833333 ; 0.181818 ; 0.181818 ; 0.285714 ; 0.181818 ; 0.181818 ; 0.181818 ; 0.181818
serveur bn:00044916n ; 0.285714 ; 0.125 ; 0.0909091 ; 0.0666667 ; 0.4 ; 0.142857 ; 0.1 ; 0.5 ; 0.333333 ; 0.0909091 ; 0.166667 ; 0.181818 ; 0.333333 ; 0.181818 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 1 ; 1
pouvoir bn:00084451v ; 0.285714 ; 0.125 ; 0.0909091 ; 0.0666667 ; 0.166667 ; 0.0666667 ; 0.222222 ; 0.2 ; 1 ; 0.0909091 ; 0.4 ; 0.181818 ; 1 ; 0.0833333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
france bn:00036202n ; 0.125 ; 0.125 ; 0.0909091 ; 0.142857 ; 0.166667 ; 0.142857 ; 0.1 ; 0.2 ; 0.333333 ; 0.2 ; 0.166667 ; 0.181818 ; 0.333333 ; 0.0833333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
pointeur bn:03222272n ; 0.125 ; 0.285714 ; 0.2 ; 0.142857 ; 0.166667 ; 0.142857 ; 0.1 ; 0.5 ; 0.333333 ; 0.2 ; 0.166667 ; 0.0833333 ; 0.333333 ; 0.181818 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.125 ; 0.333333 ; 1 ; 0.333333 ; 0.333333
casse bn:03225002n ; 0.125 ; 0.125 ; 0.2 ; 0.142857 ; 0.166667 ; 0.142857 ; 0.222222 ; 0.2 ; 0.333333 ; 0.2 ; 0.4 ; 0.181818 ; 0.333333 ; 0.181818 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
timestamp bn:03603649n ; 0.166667 ; 0.0769231 ; 0.133333 ; 0.235294 ; 0.2 ; 0.5 ; 0.142857 ; 0.222222 ; 0.125 ; 0.307692 ; 0.2 ; 0.636364 ; 0.125 ; 0.285714 ; 0.285714 ; 0.125 ; 0.285714 ; 0.125 ; 0.285714 ; 1 ; 0.285714 ; 0.125 ; 0.285714 ; 0.285714
echo bn:03626250n ; 0.285714 ; 0.125 ; 0.0909091 ; 0.0666667 ; 0.4 ; 0.142857 ; 0.1 ; 0.5 ; 0.333333 ; 0.0909091 ; 0.166667 ; 0.181818 ; 0.333333 ; 0.181818 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 1 ; 1
valeur bn:00079508n ; 0.125 ; 0.285714 ; 0.2 ; 0.142857 ; 0.166667 ; 0.142857 ; 0.1 ; 0.5 ; 0.333333 ; 0.2 ; 0.166667 ; 0.0833333 ; 0.333333 ; 0.181818 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.125 ; 0.333333 ; 1 ; 0.333333 ; 0.333333
généralité bn:00041249n ; 0.285714 ; 0.125 ; 0.0909091 ; 0.0666667 ; 0.4 ; 0.142857 ; 0.1 ; 0.5 ; 0.333333 ; 0.0909091 ; 0.166667 ; 0.181818 ; 0.333333 ; 0.181818 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 1 ; 1
autre bn:00108013a ; 0.285714 ; 0.125 ; 0.0909091 ; 0.0666667 ; 0.4 ; 0.142857 ; 0.1 ; 0.5 ; 0.333333 ; 0.0909091 ; 0.166667 ; 0.181818 ; 0.333333 ; 0.181818 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 1 ; 1
