X ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; post bn:01500184n ; nombre bn:00058285n ; zones bn:00005513n ; salaire bn:15928884n ; site bn:00047172n ; chaîne bn:00074685n ; langage de script bn:01431715n ; super bn:17336345n ; type bn:00016413n ; serveur bn:00044916n ; pouvoir bn:00084451v ; france bn:00036202n ; pointeur bn:03222272n ; casse bn:03225002n ; timestamp bn:03603649n ; echo bn:03626250n ; valeur bn:00079508n ; généralité bn:00041249n ; autre bn:00108013a
fichier bn:00021475n ; 1 ; 0.166667 ; 0.0625 ; 0.05 ; 0.333333 ; 0.166667 ; 0.142857 ; 0.222222 ; 0.285714 ; 0.133333 ; 0.2 ; 0.285714 ; 0.285714 ; 0.125 ; 0.285714 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.166667 ; 0.285714 ; 0.125 ; 0.285714 ; 0.285714
client bn:00019764n ; 0.166667 ; 1 ; 0.307692 ; 0.235294 ; 0.2 ; 0.105263 ; 0.142857 ; 0.222222 ; 0.125 ; 0.307692 ; 0.0909091 ; 0.0588235 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.0769231 ; 0.125 ; 0.285714 ; 0.125 ; 0.125
base de donnée bn:00025333n ; 0.0625 ; 0.307692 ; 1 ; 0.714286 ; 0.153846 ; 0.2 ; 0.357143 ; 0.166667 ; 0.0909091 ; 0.25 ; 0.153846 ; 0.105263 ; 0.0909091 ; 0.4 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.2 ; 0.133333 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.0909091
donnée bn:00025314n ; 0.05 ; 0.235294 ; 0.714286 ; 1 ; 0.117647 ; 0.333333 ; 0.277778 ; 0.125 ; 0.0666667 ; 0.411765 ; 0.117647 ; 0.190476 ; 0.0666667 ; 0.315789 ; 0.0666667 ; 0.0666667 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.235294 ; 0.0666667 ; 0.142857 ; 0.0666667 ; 0.0666667
php bn:01753580n ; 0.333333 ; 0.2 ; 0.153846 ; 0.117647 ; 1 ; 0.1875 ; 0.166667 ; 0.285714 ; 0.166667 ; 0.0714286 ; 0.111111 ; 0.142857 ; 0.166667 ; 0.142857 ; 0.4 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.2 ; 0.4 ; 0.166667 ; 0.4 ; 0.4
post bn:01500184n ; 0.166667 ; 0.105263 ; 0.2 ; 0.333333 ; 0.1875 ; 1 ; 0.0952381 ; 0.285714 ; 0.0666667 ; 0.411765 ; 0.117647 ; 0.388889 ; 0.0666667 ; 0.470588 ; 0.142857 ; 0.0666667 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.5 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857
nombre bn:00058285n ; 0.142857 ; 0.142857 ; 0.357143 ; 0.277778 ; 0.166667 ; 0.0952381 ; 1 ; 0.0833333 ; 0.222222 ; 0.117647 ; 0.555556 ; 0.25 ; 0.222222 ; 0.176471 ; 0.1 ; 0.222222 ; 0.1 ; 0.1 ; 0.222222 ; 0.142857 ; 0.1 ; 0.1 ; 0.1 ; 0.1
zones bn:00005513n ; 0.222222 ; 0.222222 ; 0.166667 ; 0.125 ; 0.285714 ; 0.285714 ; 0.0833333 ; 1 ; 0.2 ; 0.166667 ; 0.125 ; 0.153846 ; 0.2 ; 0.363636 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.222222 ; 0.5 ; 0.5 ; 0.5 ; 0.5
salaire bn:15928884n ; 0.285714 ; 0.125 ; 0.0909091 ; 0.0666667 ; 0.166667 ; 0.0666667 ; 0.222222 ; 0.2 ; 1 ; 0.0909091 ; 0.4 ; 0.181818 ; 1 ; 0.0833333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
site bn:00047172n ; 0.133333 ; 0.307692 ; 0.25 ; 0.411765 ; 0.0714286 ; 0.411765 ; 0.117647 ; 0.166667 ; 0.0909091 ; 1 ; 0.153846 ; 0.235294 ; 0.0909091 ; 0.235294 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.2 ; 0.2 ; 0.307692 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.0909091
