X ; page web bn:00080778n ; navigateur bn:00013447n ; serveur web bn:02705179n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; texte bn:00076732n ; délimiter bn:00086464v ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; zones bn:00005513n ; personne bn:00046516n ; méthode post bn:00045088n ; mysql bn:01225760n ; salaire bn:15928884n ; site bn:00047172n ; chaîne bn:00074685n ; configuration bn:03088982n ; paris bn:00015540n ; langage de script bn:01431715n ; opérateur bn:16281811n ; super bn:17336345n ; type bn:00016413n ; foreach bn:03463379n ; serveur bn:00044916n ; communication bn:00021221n ; interpréter bn:00089840v ; transaction bn:01403911n ; bienvenue bn:00080852n ; class bn:03598962n ; session bn:03751534n ; pouvoir bn:00084451v ; mysqli bn:01438356n ; france bn:00036202n ; pointeur bn:03222272n ; list bn:04720346n ; casse bn:03225002n ; timestamp bn:03603649n ; xml bn:02771436n ; echo bn:03626250n ; files bn:00065682n ; varchar bn:01838409n ; valeur bn:00079508n ; composer bn:14766022n ; null bn:15898583n ; généralité bn:00041249n ; autre bn:00108013a ; avoir accès bn:00082209v
page web bn:00080778n ; 1 ; 0.297872 ; 0.173913 ; 0.0869565 ; 0.105263 ; 0.166667 ; 0.125 ; 0.153846 ; 0.0714286 ; 0.166667 ; 0.241379 ; 0.258065 ; 0.129032 ; 0.16 ; 0.285714 ; 0.177778 ; 0.21875 ; 0.380952 ; 0.0666667 ; 0.190476 ; 0.222222 ; 0.1 ; 0.0588235 ; 0.173913 ; 0.125 ; 0.0666667 ; 0.363636 ; 0.173913 ; 0.142857 ; 0.285714 ; 0.222222 ; 0.222222 ; 0.125 ; 0.1 ; 0.571429 ; 0.0666667 ; 0.1 ; 0.0666667 ; 0.142857 ; 0.105263 ; 0.142857 ; 0.222222 ; 0.285714 ; 0.142857 ; 0.125 ; 0.285714 ; 0.142857 ; 0.125 ; 0.125 ; 0.142857 ; 0.142857 ; 0.125
navigateur bn:00013447n ; 0.297872 ; 1 ; 0.403226 ; 0.0740741 ; 0.0384615 ; 0.150943 ; 0.254545 ; 0.145455 ; 0.0677966 ; 0.150943 ; 0.112903 ; 0.531915 ; 0.133333 ; 0.213333 ; 0.0851064 ; 0.194444 ; 0.531915 ; 0.148148 ; 0.0208333 ; 0.16 ; 0.0784314 ; 0.0784314 ; 0.0408163 ; 0.153846 ; 0.0408163 ; 0.0208333 ; 0.340426 ; 0.403226 ; 0.0425532 ; 0.0851064 ; 0.0784314 ; 0.0784314 ; 0.0408163 ; 0.0784314 ; 0.170213 ; 0.0208333 ; 0.0784314 ; 0.0425532 ; 0.0425532 ; 0.148936 ; 0.0425532 ; 0.170213 ; 0.0851064 ; 0.0425532 ; 0.0851064 ; 0.0851064 ; 0.0425532 ; 0.0408163 ; 0.0851064 ; 0.0425532 ; 0.0425532 ; 0.0851064
serveur web bn:02705179n ; 0.173913 ; 0.403226 ; 1 ; 0.0851064 ; 0.0930233 ; 0.173913 ; 0.265306 ; 0.4 ; 0.166667 ; 0.08 ; 0.148148 ; 0.625 ; 0.0701754 ; 0.423729 ; 0.1 ; 0.234375 ; 0.27451 ; 0.375 ; 0.0243902 ; 0.186047 ; 0.0434783 ; 0.0909091 ; 0.047619 ; 0.177778 ; 0.047619 ; 0.0243902 ; 0.166667 ; 1 ; 0.05 ; 0.1 ; 0.0434783 ; 0.0909091 ; 0.047619 ; 0.0909091 ; 0.2 ; 0.0243902 ; 0.0909091 ; 0.05 ; 0.05 ; 0.175 ; 0.05 ; 0.2 ; 0.1 ; 0.05 ; 0.047619 ; 0.1 ; 0.05 ; 0.1 ; 0.1 ; 0.05 ; 0.05 ; 0.1
fichier bn:00021475n ; 0.0869565 ; 0.0740741 ; 0.0851064 ; 1 ; 0.125 ; 0.0416667 ; 0.03125 ; 0.173913 ; 0.421053 ; 0.190476 ; 0.137931 ; 0.125 ; 0.0666667 ; 0.122449 ; 0.153846 ; 0.0869565 ; 0.125 ; 0.0833333 ; 0.181818 ; 0.1 ; 0.117647 ; 0.266667 ; 0.363636 ; 0.2 ; 0.153846 ; 0.181818 ; 0.08 ; 0.0851064 ; 0.181818 ; 0.153846 ; 0.117647 ; 0.117647 ; 0.363636 ; 0.266667 ; 0.117647 ; 0.181818 ; 0.266667 ; 0.0833333 ; 0.0833333 ; 0.125 ; 0.0833333 ; 0.117647 ; 0.153846 ; 0.181818 ; 0.153846 ; 0.0714286 ; 0.0833333 ; 0.153846 ; 0.153846 ; 0.181818 ; 0.181818 ; 0.363636
client bn:00019764n ; 0.105263 ; 0.0384615 ; 0.0930233 ; 0.125 ; 1 ; 0.235294 ; 0.16 ; 0.210526 ; 0.0952381 ; 0.05 ; 0.16 ; 0.0666667 ; 0.0769231 ; 0.159091 ; 0.222222 ; 0.0952381 ; 0.0666667 ; 0.222222 ; 0.125 ; 0.285714 ; 0.0714286 ; 0.153846 ; 0.1 ; 0.0526316 ; 0.222222 ; 0.125 ; 0.0952381 ; 0.0930233 ; 0.125 ; 0.1 ; 0.0714286 ; 0.153846 ; 0.1 ; 0.0714286 ; 0.153846 ; 0.125 ; 0.0714286 ; 0.125 ; 0.285714 ; 0.166667 ; 0.125 ; 0.0714286 ; 0.222222 ; 0.125 ; 0.1 ; 0.222222 ; 0.285714 ; 0.222222 ; 0.1 ; 0.125 ; 0.125 ; 0.1
base de donnée bn:00025333n ; 0.166667 ; 0.150943 ; 0.173913 ; 0.0416667 ; 0.235294 ; 1 ; 0.636364 ; 0.153846 ; 0.0714286 ; 0.166667 ; 0.125 ; 0.114286 ; 0.25 ; 0.16 ; 0.125 ; 0.177778 ; 0.114286 ; 0.380952 ; 0.0666667 ; 0.190476 ; 0.1 ; 0.1 ; 0.0588235 ; 0.08 ; 0.125 ; 0.0666667 ; 0.363636 ; 0.173913 ; 0.0666667 ; 0.125 ; 0.1 ; 0.222222 ; 0.0588235 ; 0.1 ; 0.222222 ; 0.0666667 ; 0.1 ; 0.0666667 ; 0.142857 ; 0.105263 ; 0.142857 ; 0.1 ; 0.125 ; 0.0666667 ; 0.125 ; 0.285714 ; 0.142857 ; 0.125 ; 0.125 ; 0.0666667 ; 0.0666667 ; 0.0588235
donnée bn:00025314n ; 0.125 ; 0.254545 ; 0.265306 ; 0.03125 ; 0.16 ; 0.636364 ; 1 ; 0.117647 ; 0.0555556 ; 0.125 ; 0.1 ; 0.205128 ; 0.194444 ; 0.245283 ; 0.0833333 ; 0.150943 ; 0.175 ; 0.275862 ; 0.0434783 ; 0.32 ; 0.0714286 ; 0.0714286 ; 0.04 ; 0.129032 ; 0.0833333 ; 0.0434783 ; 0.266667 ; 0.265306 ; 0.0434783 ; 0.0833333 ; 0.0714286 ; 0.153846 ; 0.04 ; 0.0714286 ; 0.153846 ; 0.0434783 ; 0.0714286 ; 0.0909091 ; 0.0909091 ; 0.16 ; 0.0909091 ; 0.153846 ; 0.0833333 ; 0.0434783 ; 0.0833333 ; 0.181818 ; 0.0909091 ; 0.0833333 ; 0.0833333 ; 0.0434783 ; 0.0434783 ; 0.04
php bn:01753580n ; 0.153846 ; 0.145455 ; 0.4 ; 0.173913 ; 0.210526 ; 0.153846 ; 0.117647 ; 1 ; 0.333333 ; 0.0714286 ; 0.266667 ; 0.242424 ; 0.0571429 ; 0.153846 ; 0.25 ; 0.170213 ; 0.242424 ; 0.347826 ; 0.0588235 ; 0.08 ; 0.0434783 ; 0.2 ; 0.111111 ; 0.0740741 ; 0.111111 ; 0.0588235 ; 0.142857 ; 0.4 ; 0.125 ; 0.111111 ; 0.0434783 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.2 ; 0.0588235 ; 0.0909091 ; 0.0588235 ; 0.125 ; 0.210526 ; 0.0588235 ; 0.0909091 ; 0.25 ; 0.125 ; 0.111111 ; 0.111111 ; 0.125 ; 0.25 ; 0.111111 ; 0.125 ; 0.125 ; 0.25
code bn:00020354n ; 0.0714286 ; 0.0677966 ; 0.166667 ; 0.421053 ; 0.0952381 ; 0.0714286 ; 0.0555556 ; 0.333333 ; 1 ; 0.153846 ; 0.266667 ; 0.108108 ; 0.121212 ; 0.153846 ; 0.111111 ; 0.170213 ; 0.108108 ; 0.148148 ; 0.125 ; 0.0384615 ; 0.0909091 ; 0.2 ; 0.25 ; 0.16 ; 0.111111 ; 0.125 ; 0.0666667 ; 0.166667 ; 0.125 ; 0.111111 ; 0.0909091 ; 0.0909091 ; 0.25 ; 0.2 ; 0.0909091 ; 0.125 ; 0.2 ; 0.0588235 ; 0.0588235 ; 0.0952381 ; 0.0588235 ; 0.0909091 ; 0.111111 ; 0.125 ; 0.111111 ; 0.0526316 ; 0.0588235 ; 0.25 ; 0.111111 ; 0.125 ; 0.125 ; 0.25
texte bn:00076732n ; 0.166667 ; 0.150943 ; 0.08 ; 0.190476 ; 0.05 ; 0.166667 ; 0.125 ; 0.0714286 ; 0.153846 ; 1 ; 0.125 ; 0.114286 ; 0.25 ; 0.16 ; 0.125 ; 0.0816327 ; 0.114286 ; 0.16 ; 0.142857 ; 0.0869565 ; 0.222222 ; 0.1 ; 0.125 ; 0.421053 ; 0.125 ; 0.142857 ; 0.363636 ; 0.08 ; 0.142857 ; 0.285714 ; 0.222222 ; 0.222222 ; 0.285714 ; 0.222222 ; 0.222222 ; 0.142857 ; 0.222222 ; 0.0666667 ; 0.0666667 ; 0.05 ; 0.142857 ; 0.222222 ; 0.125 ; 0.142857 ; 0.285714 ; 0.125 ; 0.0666667 ; 0.125 ; 0.125 ; 0.142857 ; 0.142857 ; 0.125
