X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C9 ; C10
C1 ; 1 ; 0.5 ; 1 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2
C2 ; 0.5 ; 1 ; 0.5 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
C3 ; 1 ; 0.5 ; 1 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2
C4 ; 0.5 ; 0.333333 ; 0.5 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
C5 ; 0.5 ; 1 ; 0.5 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
C6 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333
C9 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
C10 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
