Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;5;Objects;0;10;
0;5;Attributes;0;10;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;
1;4;Objects;1;4;fichier bn:00021475n;
1;4;Attributes;1;4;C2;C3;C4;C7;
2;4;Objects;1;5;client bn:00019764n;
2;4;Attributes;1;5;C2;C5;C7;C8;C10;
3;4;Objects;1;5;post bn:01500184n;
3;4;Attributes;1;5;C1;C4;C7;C8;C10;
4;3;Objects;1;5;nombre bn:00058285n;
4;3;Attributes;1;5;C1;C2;C3;C6;C9;
5;3;Objects;1;3;méthode post bn:00045088n;
5;3;Attributes;1;3;C4;C5;C10;
6;3;Objects;1;3;mysql bn:01225760n;
6;3;Attributes;1;3;C1;C9;C10;
7;4;Objects;1;5;site bn:00047172n;
7;4;Attributes;1;5;C6;C7;C8;C9;C10;
8;4;Objects;1;4;langage de script bn:01431715n;
8;4;Attributes;1;4;C3;C4;C7;C9;
9;3;Objects;1;3;type bn:00016413n;
9;3;Attributes;1;3;C2;C9;C10;
10;2;Objects;1;2;méthode bn:01641329n;
10;2;Attributes;1;2;C3;C10;
11;2;Objects;2;2;fichier bn:00021475n;nombre bn:00058285n;
11;2;Attributes;2;2;C2;C3;
12;3;Objects;2;3;fichier bn:00021475n;langage de script bn:01431715n;
12;3;Attributes;2;3;C3;C4;C7;
13;3;Objects;2;4;client bn:00019764n;php bn:01753580n;
13;3;Attributes;2;4;C2;C5;C7;C8;
14;2;Objects;2;2;client bn:00019764n;méthode post bn:00045088n;
14;2;Attributes;2;2;C5;C10;
15;2;Objects;2;2;client bn:00019764n;type bn:00016413n;
15;2;Attributes;2;2;C2;C10;
16;3;Objects;2;4;donnée bn:00025314n;site bn:00047172n;
16;3;Attributes;2;4;C6;C8;C9;C10;
17;2;Objects;2;2;code bn:00020354n;class bn:03598962n;
17;2;Attributes;2;2;C3;C8;
18;2;Objects;2;2;délimiter bn:00086464v;nombre bn:00058285n;
18;2;Attributes;2;2;C1;C2;
19;2;Objects;2;2;post bn:01500184n;méthode post bn:00045088n;
19;2;Attributes;2;2;C4;C10;
20;2;Objects;2;2;post bn:01500184n;salaire bn:15928884n;
20;2;Attributes;2;2;C1;C8;
21;2;Objects;2;2;nombre bn:00058285n;personne bn:00046516n;
21;2;Attributes;2;2;C1;C6;
22;2;Objects;2;2;nombre bn:00058285n;langage de script bn:01431715n;
22;2;Attributes;2;2;C3;C9;
23;2;Objects;2;2;nombre bn:00058285n;type bn:00016413n;
23;2;Attributes;2;2;C2;C9;
24;2;Objects;2;2;site bn:00047172n;langage de script bn:01431715n;
24;2;Attributes;2;2;C7;C9;
25;2;Objects;3;2;fichier bn:00021475n;client bn:00019764n;php bn:01753580n;
25;2;Attributes;3;2;C2;C7;
26;2;Objects;3;2;fichier bn:00021475n;post bn:01500184n;langage de script bn:01431715n;
26;2;Attributes;3;2;C4;C7;
27;2;Objects;3;2;donnée bn:00025314n;text bn:14981519n;site bn:00047172n;
27;2;Attributes;3;2;C8;C9;
28;2;Objects;3;2;nombre bn:00058285n;zones bn:00005513n;mysql bn:01225760n;
28;2;Attributes;3;2;C1;C9;
29;2;Objects;4;2;navigateur bn:00013447n;serveur web bn:02705179n;post bn:01500184n;mysql bn:01225760n;
29;2;Attributes;4;2;C1;C10;
30;2;Objects;4;2;fichier bn:00021475n;chaîne bn:00074685n;langage de script bn:01431715n;timestamp bn:03603649n;
30;2;Attributes;4;2;C3;C7;
31;3;Objects;4;3;client bn:00019764n;post bn:01500184n;site bn:00047172n;foreach bn:03463379n;
31;3;Attributes;4;3;C7;C8;C10;
32;2;Objects;4;2;donnée bn:00025314n;nombre bn:00058285n;site bn:00047172n;pouvoir bn:00084451v;
32;2;Attributes;4;2;C6;C9;
33;2;Objects;4;2;donnée bn:00025314n;mysql bn:01225760n;site bn:00047172n;type bn:00016413n;
33;2;Attributes;4;2;C9;C10;
34;1;Objects;5;1;fichier bn:00021475n;post bn:01500184n;méthode post bn:00045088n;langage de script bn:01431715n;list bn:04720346n;
34;1;Attributes;5;1;C4;
35;2;Objects;5;2;client bn:00019764n;donnée bn:00025314n;post bn:01500184n;site bn:00047172n;foreach bn:03463379n;
35;2;Attributes;5;2;C8;C10;
36;2;Objects;5;2;client bn:00019764n;php bn:01753580n;post bn:01500184n;site bn:00047172n;foreach bn:03463379n;
36;2;Attributes;5;2;C7;C8;
37;1;Objects;7;1;client bn:00019764n;php bn:01753580n;méthode post bn:00045088n;doctype bn:15839327n;configuration bn:03088982n;xml bn:02771436n;composer bn:14766022n;
37;1;Attributes;7;1;C5;
38;1;Objects;9;1;base de donnée bn:00025333n;donnée bn:00025314n;nombre bn:00058285n;personne bn:00046516n;site bn:00047172n;pouvoir bn:00084451v;insert bn:03795444n;varchar bn:01838409n;null bn:15898583n;
38;1;Attributes;9;1;C6;
39;1;Objects;11;1;fichier bn:00021475n;code bn:00020354n;nombre bn:00058285n;programmation bn:00021493n;chaîne bn:00074685n;langage de script bn:01431715n;class bn:03598962n;méthode bn:01641329n;timestamp bn:03603649n;echo bn:03626250n;files bn:00065682n;
39;1;Attributes;11;1;C3;
40;1;Objects;12;1;navigateur bn:00013447n;serveur web bn:02705179n;client bn:00019764n;donnée bn:00025314n;post bn:01500184n;méthode post bn:00045088n;mysql bn:01225760n;site bn:00047172n;type bn:00016413n;foreach bn:03463379n;communication bn:00021221n;méthode bn:01641329n;
40;1;Attributes;12;1;C10;
41;1;Objects;14;1;fichier bn:00021475n;client bn:00019764n;php bn:01753580n;commentaire bn:00020978n;délimiter bn:00086464v;case à cocher bn:03157691n;nombre bn:00058285n;côté serveur bn:03816678n;type bn:00016413n;serveur bn:00044916n;interpréter bn:00089840v;côté client bn:03163702n;pointeur bn:03222272n;casse bn:03225002n;
41;1;Attributes;14;1;C2;
