X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
C1 ; 1 ; 0.295732 ; 0.327869 ; 0.265432 ; 0.336207 ; 0.297872 ; 0.211409 ; 0.204013 ; 0.249258 ; 0.381818
C2 ; 0.295732 ; 1 ; 0.358974 ; 0.289389 ; 0.302857 ; 0.270517 ; 0.173333 ; 0.206186 ; 0.263804 ; 0.358442
C3 ; 0.327869 ; 0.358974 ; 1 ; 0.327586 ; 0.389785 ; 0.319559 ; 0.354098 ; 0.233533 ; 0.29235 ; 0.449132
C4 ; 0.265432 ; 0.289389 ; 0.327586 ; 1 ; 0.304734 ; 0.24 ; 0.158076 ; 0.217391 ; 0.232919 ; 0.354667
C5 ; 0.336207 ; 0.302857 ; 0.389785 ; 0.304734 ; 1 ; 0.339181 ; 0.248408 ; 0.24127 ; 0.337278 ; 0.428934
C6 ; 0.297872 ; 0.270517 ; 0.319559 ; 0.24 ; 0.339181 ; 1 ; 0.195946 ; 0.168874 ; 0.297806 ; 0.346154
C7 ; 0.211409 ; 0.173333 ; 0.354098 ; 0.158076 ; 0.248408 ; 0.195946 ; 1 ; 0.138889 ; 0.171717 ; 0.275
C8 ; 0.204013 ; 0.206186 ; 0.233533 ; 0.217391 ; 0.24127 ; 0.168874 ; 0.138889 ; 1 ; 0.230496 ; 0.409231
C9 ; 0.249258 ; 0.263804 ; 0.29235 ; 0.232919 ; 0.337278 ; 0.297806 ; 0.171717 ; 0.230496 ; 1 ; 0.391421
C10 ; 0.381818 ; 0.358442 ; 0.449132 ; 0.354667 ; 0.428934 ; 0.346154 ; 0.275 ; 0.409231 ; 0.391421 ; 1
