X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
soustraction bn:00055233n ; 0.0434783 ; 0.0434783 ; 0 ; 0 ; 0 ; 0 ; 0.0434783
multiplié bn:00090977v ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
modulo bn:00553864n ; 0.0434783 ; 0.0434783 ; 0 ; 0 ; 0 ; 0 ; 0.0434783
égalité bn:00031284n ; 0.0217391 ; 0 ; 0 ; 0.0217391 ; 0 ; 0 ; 0
logiques bn:00051845n ; 0.23913 ; 0.347826 ; 0.25 ; 0 ; 0.23913 ; 0.195652 ; 0.25
syntaxe bn:00062118n ; 0.0869565 ; 0.0869565 ; 0 ; 0.0869565 ; 0 ; 0 ; 0.0869565
case bn:04777941n ; 0.152174 ; 0.173913 ; 0.163043 ; 0 ; 0.152174 ; 0 ; 0.152174
associer bn:00082868v ; 0.0434783 ; 0.0434783 ; 0 ; 0 ; 0 ; 0 ; 0.0434783
personne bn:00046516n ; 0.130435 ; 0.173913 ; 0 ; 0.130435 ; 0 ; 0.108696 ; 0.141304
prenom bn:15996005n ; 0.119565 ; 0.173913 ; 0 ; 0 ; 0.119565 ; 0.108696 ; 0.130435
structure de contrôle bn:00047734n ; 0.0434783 ; 0 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0434783
définition bn:00025928n ; 0.0869565 ; 0.0869565 ; 0 ; 0.0869565 ; 0 ; 0 ; 0.0869565
initialiser bn:00089742v ; 0.0434783 ; 0 ; 0.0434783 ; 0 ; 0.0434783 ; 0 ; 0
dépendre bn:00086606v ; 0.0217391 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0
méthode post bn:00045088n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
fermeture bn:16858148n ; 0.23913 ; 0.347826 ; 0 ; 0.23913 ; 0.228261 ; 0.195652 ; 0.23913
passwd bn:14874750n ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
machine bn:00054050n ; 0.0217391 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0
mysql bn:01225760n ; 0.0869565 ; 0.0869565 ; 0 ; 0.0869565 ; 0 ; 0 ; 0.0869565
salaire bn:15928884n ; 0.0326087 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0326087 ; 0
phase bn:00061898n ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
être utile bn:00085368v ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
boucle while bn:03237310n ; 0.0652174 ; 0.0869565 ; 0 ; 0 ; 0 ; 0.0652174 ; 0.076087
