X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C9.csv
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.25
client bn:00019764n ; 0.333333 ; 0 ; 0 ; 0.285714 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0 ; 0.285714 ; 0.333333 ; 0
donnée bn:00025314n ; 0 ; 0 ; 0.2 ; 0.375 ; 0.428571 ; 0
post bn:01500184n ; 0 ; 0 ; 0.25 ; 0 ; 0 ; 0.4
mysql bn:01225760n ; 0 ; 0 ; 0 ; 0.166667 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0.25 ; 0 ; 0 ; 0 ; 0
site bn:00047172n ; 0.333333 ; 0 ; 0.25 ; 0 ; 0 ; 0
langage de script bn:01431715n ; 0 ; 0.4 ; 0.25 ; 0 ; 0 ; 0
type bn:00016413n ; 0 ; 0 ; 0 ; 0 ; 0.2 ; 0
