X ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; post bn:01500184n ; mysql bn:01225760n ; salaire bn:15928884n ; site bn:00047172n ; langage de script bn:01431715n ; type bn:00016413n
fichier bn:00021475n ; 1 ; 0.2 ; 0.2 ; 0.142857 ; 0.5 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333
client bn:00019764n ; 0.2 ; 1 ; 0.333333 ; 0.25 ; 0.142857 ; 0.5 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2
base de donnée bn:00025333n ; 0.2 ; 0.333333 ; 1 ; 0.666667 ; 0.142857 ; 0.5 ; 0.2 ; 0.142857 ; 0.142857 ; 0.5
donnée bn:00025314n ; 0.142857 ; 0.25 ; 0.666667 ; 1 ; 0.25 ; 0.333333 ; 0.142857 ; 0.25 ; 0.25 ; 0.333333
post bn:01500184n ; 0.5 ; 0.142857 ; 0.142857 ; 0.25 ; 1 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2
mysql bn:01225760n ; 0.333333 ; 0.5 ; 0.5 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333
salaire bn:15928884n ; 0.333333 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.333333 ; 1 ; 0.2 ; 0.5 ; 0.333333
site bn:00047172n ; 0.2 ; 0.333333 ; 0.142857 ; 0.25 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.333333 ; 0.2
langage de script bn:01431715n ; 0.2 ; 0.142857 ; 0.142857 ; 0.25 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 1 ; 0.2
type bn:00016413n ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 1
