X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
page web bn:00080778n ; 0 ; 0 ; 0.0625 ; 0.0625 ; 0.0625 ; 0 ; 0.0625
page web statiques bn:03576307n ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
serveur web bn:02705179n ; 0 ; 0 ; 0 ; 0 ; 0.015625 ; 0.015625 ; 0
disque dur bn:00073359n ; 0 ; 0 ; 0.0625 ; 0.0625 ; 0 ; 0.0625 ; 0.0625
client bn:00019764n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0078125
client serveur bn:03496583n ; 0 ; 0 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.0625 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0078125 ; 0 ; 0 ; 0 ; 0
ensemble bn:00114766r ; 0 ; 0 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125
javascript bn:00055423n ; 0 ; 0 ; 0 ; 0 ; 0.015625 ; 0.015625 ; 0
perl bn:01723165n ; 0 ; 0 ; 0.03125 ; 0 ; 0.03125 ; 0.03125 ; 0
python bn:01713224n ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
java bn:00048043n ; 0 ; 0 ; 0 ; 0.03125 ; 0 ; 0.03125 ; 0.03125
code source bn:00072947n ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
fichier texte bn:00028018n ; 0 ; 0.03125 ; 0 ; 0 ; 0 ; 0.03125 ; 0.03125
texte bn:00076732n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0078125 ; 0
mise en forme bn:01681906n ; 0 ; 0.125 ; 0.125 ; 0 ; 0.125 ; 0.125 ; 0.125
concerner bn:00083240v ; 0 ; 0 ; 0.03125 ; 0 ; 0 ; 0.03125 ; 0.03125
commentaire bn:00020978n ; 0 ; 0 ; 0 ; 0 ; 0.0078125 ; 0 ; 0
