Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;5;Objects;0;7;
0;5;Attributes;0;7;C1.csv;C10.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv;
1;2;Objects;1;2;client bn:00019764n;
1;2;Attributes;1;2;C1.csv;C4.csv;
2;3;Objects;1;3;donnée bn:00025314n;
2;3;Attributes;1;3;C2.csv;C4.csv;C7.csv;
3;4;Objects;1;4;nombre bn:00058285n;
3;4;Attributes;1;4;C10.csv;C4.csv;C7.csv;C8.csv;
4;3;Objects;1;4;méthode post bn:00045088n;
4;3;Attributes;1;4;C2.csv;C7.csv;C8.csv;C9.csv;
5;2;Objects;1;2;site bn:00047172n;
5;2;Attributes;1;2;C1.csv;C2.csv;
6;2;Objects;1;2;langage de script bn:01431715n;
6;2;Attributes;1;2;C10.csv;C2.csv;
7;3;Objects;1;3;foreach bn:03463379n;
7;3;Attributes;1;3;C2.csv;C4.csv;C9.csv;
8;1;Objects;2;1;client bn:00019764n;site bn:00047172n;
8;1;Attributes;2;1;C1.csv;
9;2;Objects;2;2;donnée bn:00025314n;méthode post bn:00045088n;
9;2;Attributes;2;2;C2.csv;C7.csv;
10;2;Objects;2;2;donnée bn:00025314n;foreach bn:03463379n;
10;2;Attributes;2;2;C2.csv;C4.csv;
11;2;Objects;2;2;php bn:01753580n;foreach bn:03463379n;
11;2;Attributes;2;2;C4.csv;C9.csv;
12;3;Objects;2;3;délimiter bn:00086464v;nombre bn:00058285n;
12;3;Attributes;2;3;C10.csv;C4.csv;C8.csv;
13;2;Objects;2;2;nombre bn:00058285n;méthode post bn:00045088n;
13;2;Attributes;2;2;C7.csv;C8.csv;
14;2;Objects;3;2;base de donnée bn:00025333n;donnée bn:00025314n;nombre bn:00058285n;
14;2;Attributes;3;2;C4.csv;C7.csv;
15;2;Objects;3;2;délimiter bn:00086464v;nombre bn:00058285n;chaîne bn:00074685n;
15;2;Attributes;3;2;C10.csv;C8.csv;
16;2;Objects;3;2;post bn:01500184n;méthode post bn:00045088n;foreach bn:03463379n;
16;2;Attributes;3;2;C2.csv;C9.csv;
17;1;Objects;5;1;page web bn:00080778n;délimiter bn:00086464v;nombre bn:00058285n;méthode post bn:00045088n;chaîne bn:00074685n;
17;1;Attributes;5;1;C8.csv;
18;1;Objects;5;1;base de donnée bn:00025333n;donnée bn:00025314n;nombre bn:00058285n;méthode post bn:00045088n;type bn:00016413n;
18;1;Attributes;5;1;C7.csv;
19;1;Objects;6;1;fichier bn:00021475n;php bn:01753580n;post bn:01500184n;méthode post bn:00045088n;foreach bn:03463379n;accéder bn:00082209v;
19;1;Attributes;6;1;C9.csv;
20;1;Objects;8;1;donnée bn:00025314n;post bn:01500184n;méthode post bn:00045088n;site bn:00047172n;langage de script bn:01431715n;foreach bn:03463379n;france bn:00036202n;timestamp bn:03603649n;
20;1;Attributes;8;1;C2.csv;
21;1;Objects;9;1;client bn:00019764n;base de donnée bn:00025333n;donnée bn:00025314n;php bn:01753580n;délimiter bn:00086464v;nombre bn:00058285n;mysql bn:01225760n;foreach bn:03463379n;session bn:03751534n;
21;1;Attributes;9;1;C4.csv;
22;1;Objects;13;1;délimiter bn:00086464v;nombre bn:00058285n;machine bn:00054050n;salaire bn:15928884n;chaîne bn:00074685n;moteur bn:00030850n;langage de script bn:01431715n;opérateur bn:16281811n;super bn:17336345n;transaction bn:01403911n;côté client bn:03163702n;bienvenue bn:00080852n;pouvoir bn:00084451v;
22;1;Attributes;13;1;C10.csv;
23;0;Objects;29;0;page web bn:00080778n;fichier bn:00021475n;client bn:00019764n;base de donnée bn:00025333n;donnée bn:00025314n;php bn:01753580n;délimiter bn:00086464v;post bn:01500184n;nombre bn:00058285n;méthode post bn:00045088n;machine bn:00054050n;mysql bn:01225760n;salaire bn:15928884n;site bn:00047172n;chaîne bn:00074685n;moteur bn:00030850n;langage de script bn:01431715n;opérateur bn:16281811n;super bn:17336345n;type bn:00016413n;foreach bn:03463379n;transaction bn:01403911n;côté client bn:03163702n;bienvenue bn:00080852n;session bn:03751534n;pouvoir bn:00084451v;france bn:00036202n;timestamp bn:03603649n;accéder bn:00082209v;
23;0;Attributes;29;0;
