Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
20;5;4;5;php bn:01753580n,code bn:00020354n,affichage bn:00010421n,booléen bn:00294693n,;C1.csv,C10.csv,C2.csv,C4.csv,C7.csv,;
21;5;4;5;lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,booléen bn:00294693n,;C1.csv,C10.csv,C2.csv,C4.csv,C8.csv,;
22;5;4;5;lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,logiques bn:00051845n,;C1.csv,C10.csv,C2.csv,C8.csv,C9.csv,;
23;5;4;5;lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,switch bn:01071927n,;C10.csv,C2.csv,C4.csv,C8.csv,C9.csv,;
24;4;5;4;navigateur bn:00013447n,logiques bn:00051845n,méthode post bn:00045088n,switch bn:01071927n,méthode bn:01641329n,;C2.csv,C7.csv,C8.csv,C9.csv,;
25;3;5;3;fichier bn:00021475n,booléen bn:00294693n,logiques bn:00051845n,prenom bn:15996005n,méthode post bn:00045088n,;C1.csv,C7.csv,C8.csv,;
26;4;5;4;php bn:01753580n,code bn:00020354n,fichier texte bn:00028018n,affichage bn:00010421n,booléen bn:00294693n,;C1.csv,C2.csv,C4.csv,C7.csv,;
27;5;5;5;php bn:01753580n,code bn:00020354n,affichage bn:00010421n,fois bn:00032768n,logiques bn:00051845n,;C1.csv,C10.csv,C2.csv,C7.csv,C9.csv,;
28;5;5;5;commentaire bn:00020978n,lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,fermeture bn:16858148n,;C1.csv,C10.csv,C4.csv,C8.csv,C9.csv,;
29;4;5;4;lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,booléen bn:00294693n,logiques bn:00051845n,;C1.csv,C10.csv,C2.csv,C8.csv,;
30;4;5;4;lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,booléen bn:00294693n,switch bn:01071927n,;C10.csv,C2.csv,C4.csv,C8.csv,;
31;4;5;4;lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,logiques bn:00051845n,méthode post bn:00045088n,;C1.csv,C2.csv,C8.csv,C9.csv,;
32;3;6;3;navigateur bn:00013447n,fichier bn:00021475n,nombre bn:00058285n,booléen bn:00294693n,switch bn:01071927n,méthode bn:01641329n,;C4.csv,C7.csv,C8.csv,;
33;4;6;4;navigateur bn:00013447n,lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,switch bn:01071927n,méthode bn:01641329n,;C2.csv,C4.csv,C8.csv,C9.csv,;
34;3;6;3;navigateur bn:00013447n,logiques bn:00051845n,prenom bn:15996005n,méthode post bn:00045088n,switch bn:01071927n,méthode bn:01641329n,;C7.csv,C8.csv,C9.csv,;
35;4;6;4;fichier bn:00021475n,php bn:01753580n,code bn:00020354n,affichage bn:00010421n,post bn:01500184n,booléen bn:00294693n,;C1.csv,C10.csv,C4.csv,C7.csv,;
36;4;6;4;php bn:01753580n,code bn:00020354n,affichage bn:00010421n,fois bn:00032768n,logiques bn:00051845n,méthode post bn:00045088n,;C1.csv,C2.csv,C7.csv,C9.csv,;
37;3;6;3;lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,booléen bn:00294693n,logiques bn:00051845n,méthode post bn:00045088n,;C1.csv,C2.csv,C8.csv,;
38;4;6;4;lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,logiques bn:00051845n,comparaison bn:00021304n,switch bn:01071927n,;C10.csv,C2.csv,C8.csv,C9.csv,;
39;3;7;3;navigateur bn:00013447n,client bn:00019764n,booléen bn:00294693n,logiques bn:00051845n,méthode post bn:00045088n,switch bn:01071927n,méthode bn:01641329n,;C2.csv,C7.csv,C8.csv,;
40;3;7;3;navigateur bn:00013447n,lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,booléen bn:00294693n,switch bn:01071927n,méthode bn:01641329n,;C2.csv,C4.csv,C8.csv,;
41;3;7;3;fichier bn:00021475n,client bn:00019764n,nombre bn:00058285n,booléen bn:00294693n,logiques bn:00051845n,prenom bn:15996005n,switch bn:01071927n,;C10.csv,C7.csv,C8.csv,;
42;3;7;3;fichier bn:00021475n,php bn:01753580n,code bn:00020354n,fichier texte bn:00028018n,affichage bn:00010421n,post bn:01500184n,booléen bn:00294693n,;C1.csv,C4.csv,C7.csv,;
43;4;7;4;fichier bn:00021475n,commentaire bn:00020978n,lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,booléen bn:00294693n,fermeture bn:16858148n,;C1.csv,C10.csv,C4.csv,C8.csv,;
44;5;7;5;php bn:01753580n,code bn:00020354n,texte bn:00076732n,affichage bn:00010421n,foreach bn:03463379n,switch bn:01071927n,temps bn:00077270n,;C10.csv,C2.csv,C4.csv,C7.csv,C9.csv,;
45;4;7;4;php bn:01753580n,code bn:00020354n,affichage bn:00010421n,fois bn:00032768n,logiques bn:00051845n,prenom bn:15996005n,détruire bn:00084204v,;C1.csv,C10.csv,C7.csv,C9.csv,;
46;5;8;5;php bn:01753580n,javascript bn:00055423n,code bn:00020354n,affichage bn:00010421n,lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,programmation bn:00021493n,;C1.csv,C10.csv,C2.csv,C4.csv,C9.csv,;
47;4;8;4;php bn:01753580n,java bn:00048043n,code bn:00020354n,affichage bn:00010421n,fois bn:00032768n,affectation bn:02806034n,booléen bn:00294693n,logiques bn:00051845n,;C1.csv,C10.csv,C2.csv,C7.csv,;
48;4;8;4;php bn:01753580n,code bn:00020354n,texte bn:00076732n,affichage bn:00010421n,booléen bn:00294693n,foreach bn:03463379n,switch bn:01071927n,temps bn:00077270n,;C10.csv,C2.csv,C4.csv,C7.csv,;
49;3;8;3;php bn:01753580n,code bn:00020354n,affichage bn:00010421n,fois bn:00032768n,logiques bn:00051845n,prenom bn:15996005n,méthode post bn:00045088n,détruire bn:00084204v,;C1.csv,C7.csv,C9.csv,;
50;4;9;4;navigateur bn:00013447n,php bn:01753580n,code bn:00020354n,texte bn:00076732n,affichage bn:00010421n,foreach bn:03463379n,switch bn:01071927n,méthode bn:01641329n,temps bn:00077270n,;C2.csv,C4.csv,C7.csv,C9.csv,;
51;3;9;3;navigateur bn:00013447n,lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,logiques bn:00051845n,méthode post bn:00045088n,comparaison bn:00021304n,switch bn:01071927n,méthode bn:01641329n,;C2.csv,C8.csv,C9.csv,;
52;4;9;4;serveur web bn:02705179n,php bn:01753580n,javascript bn:00055423n,code bn:00020354n,affichage bn:00010421n,lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,programmation bn:00021493n,;C1.csv,C2.csv,C4.csv,C9.csv,;
53;3;9;3;client bn:00019764n,lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,booléen bn:00294693n,logiques bn:00051845n,comparaison bn:00021304n,switch bn:01071927n,mdp bn:00023218n,;C10.csv,C2.csv,C8.csv,;
54;4;9;4;base de donnée bn:00025333n,commentaire bn:00020978n,lien hypertextes bn:00045513n,champ de saisie bn:03113401n,langage bn:00049910n,logiques bn:00051845n,prenom bn:15996005n,fermeture bn:16858148n,boucle while bn:03237310n,;C1.csv,C10.csv,C8.csv,C9.csv,;
55;4;9;4;php bn:01753580n,code bn:00020354n,texte bn:00076732n,affichage bn:00010421n,fois bn:00032768n,logiques bn:00051845n,foreach bn:03463379n,switch bn:01071927n,temps bn:00077270n,;C10.csv,C2.csv,C7.csv,C9.csv,;
56;4;9;4;php bn:01753580n,code bn:00020354n,texte bn:00076732n,affichage bn:00010421n,site bn:00047172n,foreach bn:03463379n,rappel bn:03490040n,switch bn:01071927n,temps bn:00077270n,;C10.csv,C4.csv,C7.csv,C9.csv,;
