X ; C3.csv ; C5.csv ; C6.csv ; CJA-automatic.csv
php bn:01753580n ; 0 ; 0 ; 0 ; 0.111111
page bn:00060158n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
script bn:01431715n ; 0 ; 0 ; 0 ; 0.111111
base bn:00008786n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
séparateur bn:03371342n ; 0 ; 0.2 ; 0 ; 0.2
bloc bn:03098513n ; 0 ; 0 ; 0.111111 ; 0
commentaires bn:00020978n ; 0 ; 0 ; 0.111111 ; 0
portée bn:03460088n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
booléens bn:00294693n ; 0 ; 0.2 ; 0.2 ; 0
supprimer bn:00087533v ; 0 ; 0.333333 ; 0.333333 ; 0.333333
précédence bn:01410322n ; 0 ; 0.2 ; 0.2 ; 0
bits bn:00010731n ; 0 ; 0 ; 0.111111 ; 0
comparaison bn:00021304n ; 0 ; 0.2 ; 0.2 ; 0
incrémentation bn:01936826n ; 0 ; 0.2 ; 0.2 ; 0
opérateur logiques bn:00051853n ; 0 ; 0.2 ; 0 ; 0.2
switch bn:01071927n ; 0 ; 0.2 ; 0.2 ; 0
valeur de retour bn:03828774n ; 0 ; 0.2 ; 0 ; 0.2
strftime bn:03338250n ; 0 ; 0 ; 0.2 ; 0.2
mysql bn:01225760n ; 0 ; 0 ; 0 ; 0.111111
phpmyadmin bn:03382496n ; 0 ; 0 ; 0.2 ; 0.2
modifier bn:00003127n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
numériques bn:00107651a ; 0 ; 0.333333 ; 0.333333 ; 0.333333
entiers bn:00047009n ; 0 ; 0 ; 0.111111 ; 0
réels bn:00066395n ; 0 ; 0.111111 ; 0 ; 0
enum bn:02324948n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
timestamp bn:03603649n ; 0 ; 0 ; 0 ; 0.111111
time bn:03389905n ; 0 ; 0 ; 0.2 ; 0.2
sql bn:02266432n ; 0 ; 0 ; 0 ; 0.111111
innodb bn:01067935n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
fulltext bn:00508617n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
séquence bn:00070574n ; 0 ; 0.111111 ; 0 ; 0
fread bn:13825823n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
fichier par bn:03318531n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
sortie bn:01541423n ; 0 ; 0.2 ; 0.2 ; 0
sortie standard bn:01496506n ; 0 ; 0 ; 0.2 ; 0.2
ecriture bn:00081714n ; 0 ; 0 ; 0.111111 ; 0
fin de fichier bn:02781064n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
fermer bn:00085170v ; 0 ; 0.2 ; 0 ; 0.2
système de fichiers bn:00034429n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
comparer bn:00085450v ; 0 ; 0.333333 ; 0.333333 ; 0.333333
session bn:03751534n ; 0 ; 0 ; 0 ; 0.111111
rectangle bn:00066608n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
polygones bn:00063423n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
programmation objet bn:00058448n ; 0 ; 0 ; 0.111111 ; 0
opérateur bn:16281811n ; 0 ; 0.333333 ; 0.333333 ; 0.333333
