X ; php bn:01753580n ; script bn:01431715n ; langage bn:00049910n ; serveur bn:00044916n ; commentaires bn:00020978n ; chaîne bn:00074685n ; programmation bn:00021493n ; timestamp bn:03603649n ; base de données bn:00025333n ; données bn:00025314n ; nombre bn:00058285n ; fichiers bn:00021475n ; code bn:00020354n ; texte bn:00076732n ; http bn:00045088n ; méthode bn:01641329n ; classe bn:03608262n ; exceptions bn:00032118n ; java bn:00048043n ; site bn:00047172n ; personne bn:00046516n ; xml bn:02771436n ; echo bn:03626250n ; files bn:00065682n ; class bn:03598962n ; configuration bn:03088982n ; insert bn:03795444n ; varchar bn:01838409n ; mise bn:00016287n ; client bn:00019764n ; publique bn:00109211a ; composer bn:14766022n ; null bn:15898583n
php bn:01753580n ; 1 ; 0.5 ; 0.111111 ; 0.5 ; 0.2 ; 0.333333 ; 0.5 ; 0.5 ; 0.111111 ; 0.111111 ; 0.2 ; 0.5 ; 1 ; 0.25 ; 0.25 ; 0.5 ; 0.25 ; 0.333333 ; 0.25 ; 0.111111 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.25 ; 0.5 ; 0.2
script bn:01431715n ; 0.5 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 1 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 0.5 ; 0.2 ; 1 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.333333
langage bn:00049910n ; 0.111111 ; 0.2 ; 1 ; 0.2 ; 0.5 ; 0.25 ; 0.2 ; 0.2 ; 1 ; 1 ; 0.5 ; 0.2 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.25 ; 0.333333 ; 1 ; 0.5 ; 0.2 ; 0.111111 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.5 ; 0.2 ; 0.25 ; 0.333333 ; 0.2 ; 0.5
serveur bn:00044916n ; 0.5 ; 0.333333 ; 0.2 ; 1 ; 0.142857 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 1 ; 0.5 ; 0.5 ; 0.5 ; 0.333333 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.5 ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.333333
commentaires bn:00020978n ; 0.2 ; 0.333333 ; 0.5 ; 0.142857 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 0.5 ; 0.5 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.5 ; 0.2 ; 0.5 ; 0.5 ; 1 ; 0.333333 ; 0.2 ; 0.142857 ; 0.5 ; 0.5 ; 0.5 ; 1 ; 0.333333 ; 0.5 ; 0.5 ; 0.142857 ; 0.333333
chaîne bn:00074685n ; 0.333333 ; 0.5 ; 0.25 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 0.5 ; 0.25 ; 0.25 ; 0.5 ; 0.2 ; 0.333333 ; 0.25 ; 0.111111 ; 0.5 ; 0.25 ; 0.333333 ; 0.25 ; 0.25 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.25 ; 0.2 ; 0.5
programmation bn:00021493n ; 0.5 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 1 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 0.5 ; 0.2 ; 1 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.333333
timestamp bn:03603649n ; 0.5 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 1 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 0.5 ; 0.2 ; 1 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.333333
base de données bn:00025333n ; 0.111111 ; 0.2 ; 1 ; 0.2 ; 0.5 ; 0.25 ; 0.2 ; 0.2 ; 1 ; 1 ; 0.5 ; 0.2 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.25 ; 0.333333 ; 1 ; 0.5 ; 0.2 ; 0.111111 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.5 ; 0.2 ; 0.25 ; 0.333333 ; 0.2 ; 0.5
données bn:00025314n ; 0.111111 ; 0.2 ; 1 ; 0.2 ; 0.5 ; 0.25 ; 0.2 ; 0.2 ; 1 ; 1 ; 0.5 ; 0.2 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.25 ; 0.333333 ; 1 ; 0.5 ; 0.2 ; 0.111111 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.5 ; 0.2 ; 0.25 ; 0.333333 ; 0.2 ; 0.5
