X ; C3.csv ; C5.csv ; C6.csv ; CJA-automatic.csv
php bn:01753580n ; 0.25 ; 0.25 ; 0.25 ; 0
définition bn:00025928n ; 0.5 ; 0.5 ; 0.5 ; 0.5
page bn:00060158n ; 0.0625 ; 0 ; 0 ; 0
script bn:01431715n ; 0.25 ; 0.25 ; 0.25 ; 0
langage bn:00049910n ; 0.5 ; 0.5 ; 0.5 ; 0.5
serveur bn:00044916n ; 0.5 ; 0.5 ; 0.5 ; 0.5
base bn:00008786n ; 0.0625 ; 0 ; 0 ; 0
séparateur bn:03371342n ; 0.125 ; 0 ; 0.125 ; 0
bloc bn:03098513n ; 0.25 ; 0.25 ; 0 ; 0.25
commentaires bn:00020978n ; 0.25 ; 0.25 ; 0 ; 0.25
portée bn:03460088n ; 0.0625 ; 0 ; 0 ; 0
type bn:00016413n ; 0.5 ; 0.5 ; 0.5 ; 0.5
booléens bn:00294693n ; 0.125 ; 0 ; 0 ; 0.125
chaîne bn:00074685n ; 0.5 ; 0.5 ; 0.5 ; 0.5
supprimer bn:00087533v ; 0.0625 ; 0 ; 0 ; 0
précédence bn:01410322n ; 0.125 ; 0 ; 0 ; 0.125
bits bn:00010731n ; 0.25 ; 0.25 ; 0 ; 0.25
comparaison bn:00021304n ; 0.125 ; 0 ; 0 ; 0.125
incrémentation bn:01936826n ; 0.125 ; 0 ; 0 ; 0.125
opérateur logiques bn:00051853n ; 0.125 ; 0 ; 0.125 ; 0
logiques bn:00051845n ; 0.5 ; 0.5 ; 0.5 ; 0.5
structure de contrôle bn:00047734n ; 0.5 ; 0.5 ; 0.5 ; 0.5
programmation bn:00021493n ; 0.5 ; 0.5 ; 0.5 ; 0.5
foreach bn:03463379n ; 0.5 ; 0.5 ; 0.5 ; 0.5
switch bn:01071927n ; 0.125 ; 0 ; 0 ; 0.125
syntaxe bn:00062118n ; 0.5 ; 0.5 ; 0.5 ; 0.5
valeur de retour bn:03828774n ; 0.125 ; 0 ; 0.125 ; 0
post bn:01500184n ; 0.5 ; 0.5 ; 0.5 ; 0.5
strftime bn:03338250n ; 0.125 ; 0.125 ; 0 ; 0
mysql bn:01225760n ; 0.25 ; 0.25 ; 0.25 ; 0
phpmyadmin bn:03382496n ; 0.125 ; 0.125 ; 0 ; 0
utilisateur bn:00079373n ; 0.5 ; 0.5 ; 0.5 ; 0.5
modifier bn:00003127n ; 0.0625 ; 0 ; 0 ; 0
numériques bn:00107651a ; 0.0625 ; 0 ; 0 ; 0
entiers bn:00047009n ; 0.25 ; 0.25 ; 0 ; 0.25
réels bn:00066395n ; 0.25 ; 0 ; 0.25 ; 0.25
text bn:14981519n ; 0.5 ; 0.5 ; 0.5 ; 0.5
enum bn:02324948n ; 0.0625 ; 0 ; 0 ; 0
timestamp bn:03603649n ; 0.25 ; 0.25 ; 0.25 ; 0
time bn:03389905n ; 0.125 ; 0.125 ; 0 ; 0
sql bn:02266432n ; 0.25 ; 0.25 ; 0.25 ; 0
innodb bn:01067935n ; 0.0625 ; 0 ; 0 ; 0
fulltext bn:00508617n ; 0.0625 ; 0 ; 0 ; 0
base de données bn:00025333n ; 0.5 ; 0.5 ; 0.5 ; 0.5
données bn:00025314n ; 0.5 ; 0.5 ; 0.5 ; 0.5
séquence bn:00070574n ; 0.25 ; 0 ; 0.25 ; 0.25
nombre bn:00058285n ; 0.5 ; 0.5 ; 0.5 ; 0.5
fichiers bn:00021475n ; 0.5 ; 0.5 ; 0.5 ; 0.5
fread bn:13825823n ; 0.0625 ; 0 ; 0 ; 0
fichier par bn:03318531n ; 0.0625 ; 0 ; 0 ; 0
sortie bn:01541423n ; 0.125 ; 0 ; 0 ; 0.125
sortie standard bn:01496506n ; 0.125 ; 0.125 ; 0 ; 0
ecriture bn:00081714n ; 0.25 ; 0.25 ; 0 ; 0.25
fin de fichier bn:02781064n ; 0.0625 ; 0 ; 0 ; 0
fermer bn:00085170v ; 0.125 ; 0 ; 0.125 ; 0
système de fichiers bn:00034429n ; 0.0625 ; 0 ; 0 ; 0
code bn:00020354n ; 0.5 ; 0.5 ; 0.5 ; 0.5
texte bn:00076732n ; 0.5 ; 0.5 ; 0.5 ; 0.5
comparer bn:00085450v ; 0.0625 ; 0 ; 0 ; 0
session bn:03751534n ; 0.25 ; 0.25 ; 0.25 ; 0
http bn:00045088n ; 0.5 ; 0.5 ; 0.5 ; 0.5
couleurs bn:00020726n ; 0.5 ; 0.5 ; 0.5 ; 0.5
rectangle bn:00066608n ; 0.0625 ; 0 ; 0 ; 0
polygones bn:00063423n ; 0.0625 ; 0 ; 0 ; 0
programmation objet bn:00058448n ; 0.25 ; 0.25 ; 0 ; 0.25
opérateur bn:16281811n ; 0.0625 ; 0 ; 0 ; 0
méthode bn:01641329n ; 0.5 ; 0.5 ; 0.5 ; 0.5
classe bn:03608262n ; 0.5 ; 0.5 ; 0.5 ; 0.5
héritage bn:00043822n ; 0.5 ; 0.5 ; 0.5 ; 0.5
polymorphisme bn:01974384n ; 0.125 ; 0 ; 0 ; 0.125
self bn:03432485n ; 0.125 ; 0.125 ; 0 ; 0
constructeurs bn:03834827n ; 0.5 ; 0.5 ; 0.5 ; 0.5
destructeur bn:01558988n ; 0.0625 ; 0 ; 0 ; 0
affectation bn:02806034n ; 0.25 ; 0 ; 0.25 ; 0.25
nouveauté bn:00049321n ; 0.0625 ; 0 ; 0 ; 0
exceptions bn:00032118n ; 0.125 ; 0 ; 0 ; 0.125
sauvegarder bn:00093281v ; 0.5 ; 0.5 ; 0.5 ; 0.5
côté serveur bn:03816678n ; 0.25 ; 0.25 ; 0.25 ; 0
inspirer bn:00084021v ; 0.0625 ; 0 ; 0 ; 0
langage c bn:00014377n ; 0.125 ; 0 ; 0 ; 0.125
java bn:00048043n ; 0.5 ; 0.5 ; 0.5 ; 0.5
perl bn:01723165n ; 0.125 ; 0.125 ; 0 ; 0
rasmus lerdorf bn:03232211n ; 0.125 ; 0.125 ; 0 ; 0
