X ; C3.csv ; C5.csv ; C6.csv ; CJA-automatic.csv
C3.csv ; 1 ; 0.2 ; 0.2 ; 0.2
C5.csv ; 0.2 ; 1 ; 0.333333 ; 0.333333
C6.csv ; 0.2 ; 0.333333 ; 1 ; 0.333333
CJA-automatic.csv ; 0.2 ; 0.333333 ; 0.333333 ; 1
