Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;2;Objects;0;3;
0;2;Attributes;0;3;C5.csv;C6.csv;CJA-automatic.csv;
1;1;Objects;1;1;fichiers bn:00021475n;
1;1;Attributes;1;1;CJA-automatic.csv;
2;1;Objects;2;1;php bn:01753580n;code bn:00020354n;
2;1;Attributes;2;1;C6.csv;
3;1;Objects;2;1;chaîne bn:00074685n;class bn:03598962n;
3;1;Attributes;2;1;C5.csv;
4;0;Objects;5;0;php bn:01753580n;chaîne bn:00074685n;fichiers bn:00021475n;code bn:00020354n;class bn:03598962n;
4;0;Attributes;5;0;
