;C11;C15;C17;C19;C3;C5;C6
php bn:01753580n;1; 0; 1; 0; 0; 0; 1; 
texte bn:00076732n;0; 0; 1; 0; 0; 1; 1; 
fichier bn:00021475n;1; 0; 0; 0; 0; 1; 1; 
données bn:00025314n;0; 0; 0; 1; 1; 1; 0; 
base de donnees bn:00025333n;0; 0; 1; 1; 1; 1; 0; 
site bn:00047172n;0; 0; 0; 0; 1; 1; 0; 
client web bn:00013447n;0; 0; 0; 0; 1; 1; 1; 
langage de script bn:01431715n;0; 0; 0; 1; 0; 1; 1; 
nombre bn:00058285n;0; 0; 0; 1; 0; 1; 0; 
sélectionner bn:00084931v;0; 1; 0; 0; 0; 0; 1; 
méthode get bn:00045088n;1; 0; 1; 1; 1; 0; 1; 
code bn:00020354n;0; 0; 0; 0; 0; 0; 1; 
afficher bn:00087013v;1; 0; 1; 0; 1; 0; 1; 
nécessaire bn:00107182a;0; 1; 0; 0; 1; 0; 1; 
serveur bn:00044916n;0; 0; 0; 0; 0; 0; 1; 
chaîne bn:00074685n;0; 0; 0; 1; 0; 1; 0; 
personne bn:00046516n;1; 0; 0; 0; 1; 1; 0; 
langage bn:00049910n;0; 1; 0; 1; 1; 1; 0; 
méthode bn:01641329n;1; 0; 0; 1; 0; 1; 1; 
pouvoir bn:00084450v;1; 1; 0; 0; 0; 0; 0; 
pouvoir bn:00084451v;0; 1; 0; 0; 0; 0; 0; 
echo bn:03626250n;0; 1; 0; 1; 0; 0; 1; 
rue bn:00074595n;0; 0; 1; 0; 0; 0; 1; 
exception bn:00032118n;0; 1; 1; 0; 0; 0; 0; 
wamp bn:01708928n;0; 0; 0; 0; 1; 1; 0; 
symfony bn:02798620n;0; 0; 0; 1; 0; 0; 0; 
doctype bn:15839327n;0; 0; 0; 1; 0; 0; 0; 
realisateur bn:00027369n;0; 0; 0; 0; 0; 1; 0; 
null bn:15898583n;0; 0; 0; 1; 0; 1; 0; 
