X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10
page web;0;0;0.0486322;0;0.0462428;0.0590406;0;0.0615385;0;0.0486322
page web statiques;0.00420168;0;0;0;0;0;0;0;0;0
navigateur;0;0.250639;0.244076;0.250667;0.257541;0.238727;0.271233;0.259669;0.270732;0
serveur web;0.187291;0.168639;0.149333;0.168224;0.166667;0.176656;0;0;0.157182;0
fichier;0.228571;0;0.240196;0.219512;0.239336;0.23416;0.236111;0.230986;0;0.243243
disque dur;0.0326531;0;0;0;0;0.0304183;0.0307692;0;0;0.0249221
client;0;0.0546075;0;0;0.0462428;0;0.0597015;0.0615385;0;0.0486322
client serveur;0.0632411;0;0;0;0.0462428;0.0590406;0;0;0.0492308;0.0486322
base de donnée;0.218837;0;0.243373;0.246612;0.228111;0;0.25;0.255618;0.227818;0.264706
donnée;0.295117;0.354167;0.37751;0.363636;0.323917;0;0.346983;0.347162;0.366733;0.394309
ensemble;0.0083682;0;0;0;0;0;0;0;0;0.00634921
php;0.242424;0.262211;0.26988;0.266129;0.247706;0;0.239362;0;0.239336;0.254762
javascript;0.306407;0.282116;0.258661;0.27013;0.294931;0.28496;0;0;0.266979;0.264501
perl;0.111524;0;0.0869565;0.103806;0.0888889;0;0;0;0.0879765;0.0901163
python;0.0326531;0;0.0249221;0;0.0236686;0.0304183;0;0;0;0
java;0.186047;0.164223;0.173442;0;0.153846;0.190476;0.177215;0;0;0.160858
code;0.341253;0.37422;0.399598;0.335417;0.428;0.362473;0.31405;0;0.350877;0.366667
code source;0.0165975;0;0;0;0.011976;0.015444;0;0;0;0
fichier texte;0.158784;0.15015;0.157459;0.14511;0.153439;0.153355;0.147436;0;0;0
texte;0;0.273418;0.262295;0.267717;0.287037;0.262467;0.278075;0;0.267773;0.25058
mise en forme;0.0083682;0;0;0.00772201;0;0;0;0;0;0
concerner;0;0;0.0874636;0.0968858;0.0893855;0.097561;0.0985915;0;0;0.0874636
commentaire;0.159468;0;0.145553;0.167722;0.145078;0;0;0.163399;0.147139;0.167582
délimiter;0;0;0.0486322;0.0586081;0;0.0590406;0;0.0615385;0;0.0486322
affichage;0.341253;0.37422;0.399598;0.335417;0.428;0.362473;0.31405;0;0.350877;0.366667
gras;0.0165975;0;0.0126183;0.0153257;0;0;0;0;0;0
fois;0.274238;0.269036;0.27619;0;0.256818;0.291892;0.25;0;0.240093;0.258216
chemin;0.0632411;0;0;0;0.0462428;0.0590406;0;0;0.0492308;0.0486322
lien hypertextes;0.242857;0.233766;0;0.239782;0.239437;0.234332;0;0.214286;0.25495;0.252451
url;0.111524;0;0.0869565;0.103806;0.0888889;0;0;0;0.0879765;0.0901163
textuels;0.00420168;0;0;0;0;0;0;0;0;0
case à cocher;0.0326531;0;0;0.0301887;0;0.0304183;0;0;0.0252366;0
page web dynamique;0.0083682;0;0;0;0;0.0077821;0;0;0;0
post;0.341253;0.37422;0.399598;0.335417;0.428;0.362473;0.31405;0;0.350877;0.366667
champ de saisie;0.104089;0.0977199;0;0.0968858;0;0;0;0.101449;0.0884956;0.0938416
size;0.055336;0;0.0457317;0;0.0404624;0;0;0.0538462;0;0.0489297
nombre;0.377389;0.441083;0.498408;0.409236;0.525478;0.406051;0.401274;0.388535;0.492038;0.498408
text;0.191275;0.168639;0.155496;0.168224;0.166667;0.169279;0;0;0;0.155496
vide;0.0083682;0;0;0;0;0;0;0;0;0.00634921
liste déroulante;0.0165975;0;0;0.0153257;0;0.015444;0;0;0;0
sélectionner;0.0165975;0;0;0;0;0.015444;0;0;0;0.0126183
déclencher;0.0083682;0;0.00634921;0;0;0;0;0;0;0
réinitialisation;0.0083682;0.00716846;0;0;0;0;0;0;0;0
langage;0.353201;0.346392;0.348337;0.343949;0.384314;0.351178;0;0.302521;0.38664;0.389113
langage impératif;0.00420168;0;0;0;0;0;0;0;0;0
impératif;0.0083682;0;0;0;0;0.0077821;0;0;0;0
zones;0.0326531;0;0.0249221;0;0;0.0304183;0;0;0.0252366;0
utilisateur;0;0;0.0927536;0.110727;0.0883978;0.111498;0;0;0.0938416;0.0927536
affectation;0.104089;0.0906149;0.0938416;0;0;0.105263;0.0985915;0;0;0.0874636
booléen;0.152824;0.158683;0.165289;0.157729;0;0;0.160256;0.172185;0;0.158904
réalité;0.0083682;0;0;0;0;0.0077821;0;0;0;0
concatène;0.00420168;0;0;0;0;0;0;0;0;0
addition;0.0632411;0;0.0486322;0;0;0.0590406;0;0;0.0492308;0.0486322
soustraction;0.0326531;0;0;0;0;0.0304183;0;0;0.0252366;0.0249221
multiplié;0.00420168;0;0;0;0;0;0;0;0;0
modulo;0.0326531;0;0.0249221;0;0;0;0;0;0.0252366;0.0249221
égalité;0.0165975;0;0;0.0153257;0.011976;0;0;0;0;0
logiques;0.336264;0.341615;0.368;0;0.337786;0.36087;0.33691;0.316916;0.362725;0.357143
syntaxe;0.186047;0;0.154667;0.174455;0.165803;0.182965;0;0;0.159459;0.157754
case;0.118959;0.10356;0.0927536;0;0;0.111498;0;0;0.0938416;0.0927536
associer;0;0;0.0486322;0;0.0462428;0.0590406;0;0;0.0492308;0.0486322
personne;0;0;0.0927536;0.110727;0.0883978;0;0;0.115942;0.0938416;0.0927536
prenom;0.161074;0;0;0;0.14026;0.162939;0.164516;0.161184;0.142077;0.149864
structure de contrôle;0.118959;0.10356;0.0927536;0;0.0883978;0.111498;0;0;0.0938416;0
définition;0.186047;0;0.154667;0.174455;0.165803;0.182965;0;0;0.159459;0.157754
initialiser;0.104089;0.0906149;0.0938416;0;0.0833333;0.105263;0.0985915;0;0;0
dépendre;0.0326531;0;0.0249221;0;0;0.0304183;0;0;0;0.0249221
méthode post;0.171141;0.150888;0.158038;0;0;0.165079;0.159236;0.174917;0.156593;0
fermeture;0.239554;0;0.23753;0.25;0.257009;0.26158;0;0.241758;0.239808;0.264563
passwd;0.0083682;0;0;0;0.0060241;0;0;0;0;0
machine;0;0;0.0249221;0;0.0236686;0.0304183;0;0;0;0.0249221
mysql;0;0;0.0927536;0.110727;0.0883978;0.111498;0;0;0.0938416;0.0927536
salaire;0;0;0;0;0;0;0;0.00408163;0;0
phase;0.0165975;0;0;0;0.011976;0.015444;0;0;0;0
être utile;0.0165975;0;0.0126183;0;0;0.015444;0;0;0;0
boucle while;0.0326531;0;0;0;0;0;0;0.031746;0.0252366;0.0249221
jour;0.0326531;0;0.0249221;0;0;0.0304183;0;0;0;0.0249221
euro;0.0083682;0;0;0;0;0.0077821;0;0;0;0
etc;0.118959;0;0.0927536;0;0.0883978;0.111498;0;0;0.0938416;0.0927536
programmation;0.19398;0.171091;0;0.174455;0.165803;0.175549;0;0;0.162602;0.154667
site;0;0;0;0.0301887;0;0.0304183;0;0;0.0252366;0.0249221
détruire;0.0326531;0;0;0;0;0;0.0307692;0;0.0252366;0.0249221
second;0.0165975;0;0.0126183;0;0;0;0;0;0.0127796;0
ordinateur;0.0326531;0;0;0;0;0.0304183;0;0;0.0252366;0.0249221
développement web;0;0;0;0.0301887;0.0236686;0.0304183;0;0;0;0.0249221
organisation;0;0;0;0;0;0.0077821;0;0;0;0.00634921
premier;0;0;0.0126183;0;0;0.015444;0;0;0;0.0126183
devoir sur table;0;0;0;0;0;0;0;0;0;0.00318471
semaine;0;0;0.0126183;0;0;0.015444;0;0;0;0.0126183
devoir maison;0;0;0;0;0;0;0;0;0;0.00318471
interrogation;0;0;0;0;0.0060241;0;0;0;0;0.00634921
générale;0;0;0;0;0;0.0077821;0;0;0;0.00634921
explication;0;0;0;0;0;0;0;0;0;0.00318471
front office;0;0;0;0;0;0;0;0;0;0.00318471
front;0;0;0;0;0;0;0;0;0;0.00318471
xamp;0;0;0.0249221;0;0.0236686;0;0;0;0.0252366;0.0249221
internet;0;0;0.0486322;0;0.0462428;0.0590406;0;0;0.0492308;0.0486322
faille de sécurité;0;0;0;0;0.0060241;0;0;0;0;0.00634921
sql;0;0;0.0927536;0;0.0883978;0.111498;0;0.115942;0.0938416;0.0927536
concret;0;0;0;0;0;0;0;0;0;0.00318471
chaîne;0;0;0.0927536;0;0.0883978;0.111498;0;0.115942;0.0938416;0.0927536
header;0;0;0.0249221;0;0;0.0304183;0;0;0.0252366;0.0249221
head;0;0;0;0.0301887;0.0236686;0.0304183;0;0;0;0.0249221
informatique;0;0;0;0;0.011976;0.015444;0;0;0;0.0126183
doctype;0;0;0;0.0301887;0;0;0;0.031746;0.0252366;0.0249221
w3c;0;0;0.0486322;0.0586081;0;0.0590406;0;0;0.0492308;0.0486322
dtd;0;0;0;0.0301887;0;0.0304183;0;0;0.0252366;0.0249221
firefox;0;0;0;0;0.0060241;0;0;0;0;0.00634921
internet explorer;0;0;0;0;0.0060241;0;0;0;0;0.00634921
internet explorer 9;0;0;0;0;0;0;0;0;0;0.00318471
moteur;0;0;0.0249221;0;0.0236686;0.0304183;0;0;0;0.0249221
recherche;0;0;0;0;0;0.0077821;0;0;0;0.00634921
descriptions;0;0;0;0;0.011976;0.015444;0;0;0;0.0126183
précision;0;0;0;0;0;0;0;0;0;0.00318471
paragraphe;0;0;0;0.00772201;0;0;0;0;0;0.00634921
h2;0;0;0;0.0153257;0.011976;0;0;0;0;0.0126183
terme technique;0;0;0;0;0;0;0;0;0;0.00318471
tr;0;0;0;0;0.0060241;0;0;0;0;0.00634921
insertion;0;0;0.0126183;0.0153257;0;0;0;0;0;0.0126183
img;0;0;0.0126183;0;0;0.015444;0;0;0;0.0126183
infobulle;0;0;0;0;0;0;0;0;0;0.00318471
balise html;0;0;0.0249221;0;0;0.0304183;0;0;0.0252366;0.0249221
js;0;0;0;0;0.0060241;0;0;0;0;0.00634921
css;0;0;0.00634921;0;0;0;0;0;0;0.00634921
dns;0;0;0;0;0;0;0;0;0;0.00318471
logique métier;0;0;0;0;0.0060241;0;0;0;0;0.00634921
port 443;0;0;0;0;0;0;0;0;0;0.00318471
host;0;0;0;0;0.0462428;0.0590406;0;0.0615385;0.0492308;0.0486322
uniform resource identifier;0;0;0;0;0;0;0;0;0;0.00318471
ipv4;0;0;0;0;0;0;0;0;0;0.00318471
ipv6;0;0;0;0;0;0;0;0;0;0.00318471
visiter;0;0;0;0;0;0;0;0;0;0.00318471
nom de domaine;0;0;0;0;0;0;0;0;0;0.00318471
domaine;0;0;0;0;0;0;0;0;0;0.00318471
sous-domaines;0;0;0;0;0;0;0;0;0;0.00318471
configuration;0;0;0.0126183;0;0;0;0;0;0.0127796;0.0126183
common gateway interface;0;0;0;0;0;0.0077821;0;0;0;0.00634921
gateway;0;0;0;0;0;0;0;0;0;0.00318471
lire;0;0;0.0927536;0.110727;0.0883978;0.111498;0;0;0.0938416;0.0927536
langage de programmation;0;0.0938511;0.0872093;0.100346;0.0891365;0.101045;0;0;0;0.0872093
paris;0;0;0;0;0;0;0;0;0.00643087;0.00634921
langage de script;0;0.10356;0.0927536;0;0.0883978;0.111498;0.112676;0;0;0.0927536
