X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10
être utile;0.0180995;0;0.014652;0;0;0.0186916;0;0;0;0
boucle while;0.0266667;0;0;0;0;0;0;0.0397351;0.0331754;0.0249221
jour;0.0517241;0;0.0459364;0;0;0.0580357;0;0.0691824;0;0.0490798
euro;0.00913242;0;0;0;0;0.00943396;0;0;0;0
etc;0.128514;0;0.106312;0;0.114286;0.132231;0;0;0.135593;0.092219
programmation;0.319527;0.336391;0.286822;0.314642;0.31405;0.338415;0;0;0.312121;0.276995
site;0.451143;0.432432;0.559252;0.401247;0.515593;0.43659;0.299376;0.297297;0.424116;0.654886
détruire;0.0311111;0;0;0;0;0;0.0460526;0;0.0330189;0.0248447
second;0.0180995;0;0.014652;0;0;0;0;0;0.0192308;0
ordinateur;0.0355556;0;0;0;0;0.0366972;0;0;0.0377358;0.0247678
développement web;0;0;0;0.039801;0.03125;0.0366972;0;0;0;0.0247678
organisation;0;0;0;0;0;0.00943396;0;0;0;0.00630915
premier;0;0;0.014652;0;0;0.0186916;0;0;0;0.0125392
devoir sur table;0;0;0;0;0;0;0;0;0;0.00316456
semaine;0;0;0.014652;0;0;0.0186916;0;0;0;0.0125392
devoir maison;0;0;0;0;0;0;0;0;0;0.00316456
interrogation;0;0;0;0;0.008;0;0;0;0;0.00630915
générale;0;0;0;0;0;0.00943396;0;0;0;0.00630915
explication;0;0;0;0;0;0;0;0;0;0.00316456
front office;0;0;0;0;0;0;0;0;0;0.00316456
front;0;0;0;0;0;0;0;0;0;0.00316456
xamp;0;0;0.0288809;0;0.03125;0;0;0;0.0377358;0.0247678
internet;0;0;0.0561404;0;0.0606061;0.0707965;0;0;0.0727273;0.0483384
faille de sécurité;0;0;0;0;0.008;0;0;0;0;0.00630915
sql;0;0;0.09;0;0.100719;0.112033;0;0.148571;0.119658;0.0938416
concret;0;0;0;0;0;0;0;0;0;0.00316456
chaîne;0;0;0.141066;0;0.154882;0.159696;0.183168;0.166667;0.177165;0.158192
header;0;0;0.0526316;0;0;0.0663717;0.09375;0;0.0681818;0.0484848
head;0;0;0;0.039801;0.03125;0.0366972;0;0;0;0.0247678
