X ; page web bn:00080778n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; délimiter bn:00086464v ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; associer bn:00082868v ; mysql bn:01225760n ; salaire bn:15928884n ; jour bn:00000086n ; site bn:00047172n ; france bn:00036202n ; langage de script bn:01431715n ; interpréter bn:00089840v ; côté serveur bn:03816678n ; typage bn:00016413n ; timestamp bn:03603649n ; session bn:03751534n ; afficher bn:00087013v ; chaîne bn:00074685n ; header bn:00043309n ; accéder bn:00082209v ; paris bn:00015540n ; classe bn:03608262n ; class bn:03598962n ; mysqli bn:01438356n ; visiteur bn:03106425n
salaire bn:15928884n ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.125 ; 0.2 ; 0.5 ; 0.2 ; 0.285714 ; 0.111111 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
jour bn:00000086n ; 0.333333 ; 0.5 ; 0.5 ; 0.2 ; 0.125 ; 0.2 ; 0.2 ; 0.2 ; 0.125 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
site bn:00047172n ; 0.2 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.222222 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.1 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
france bn:00036202n ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.285714 ; 0.2 ; 0.2 ; 0.5 ; 0.125 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
langage de script bn:01431715n ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.285714 ; 0.2 ; 0.2 ; 0.5 ; 0.125 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
interpréter bn:00089840v ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.125 ; 0.2 ; 0.5 ; 0.2 ; 0.285714 ; 0.111111 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
côté serveur bn:03816678n ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.125 ; 0.5 ; 0.2 ; 0.5 ; 0.125 ; 0.111111 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 0.333333
typage bn:00016413n ; 0.333333 ; 0.2 ; 0.2 ; 0.5 ; 0.285714 ; 0.2 ; 0.2 ; 0.2 ; 0.285714 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
timestamp bn:03603649n ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.285714 ; 0.2 ; 0.2 ; 0.5 ; 0.125 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
session bn:03751534n ; 0.333333 ; 0.2 ; 0.5 ; 0.5 ; 0.285714 ; 0.5 ; 0.5 ; 0.2 ; 0.285714 ; 0.25 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
afficher bn:00087013v ; 0.333333 ; 0.2 ; 0.5 ; 0.5 ; 0.285714 ; 0.5 ; 0.5 ; 0.2 ; 0.285714 ; 0.25 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
chaîne bn:00074685n ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.125 ; 0.2 ; 0.5 ; 0.2 ; 0.285714 ; 0.111111 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
header bn:00043309n ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.125 ; 0.5 ; 0.2 ; 0.5 ; 0.125 ; 0.111111 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 0.333333
accéder bn:00082209v ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.125 ; 0.5 ; 0.2 ; 0.5 ; 0.125 ; 0.111111 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 0.333333
paris bn:00015540n ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.125 ; 0.5 ; 0.2 ; 0.5 ; 0.125 ; 0.111111 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 0.333333
classe bn:03608262n ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.125 ; 0.5 ; 0.2 ; 0.5 ; 0.125 ; 0.111111 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 0.333333
class bn:03598962n ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.125 ; 0.5 ; 0.2 ; 0.5 ; 0.125 ; 0.111111 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 0.333333
mysqli bn:01438356n ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.125 ; 0.5 ; 0.2 ; 0.5 ; 0.125 ; 0.111111 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 0.333333
visiteur bn:03106425n ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.125 ; 0.2 ; 0.5 ; 0.2 ; 0.285714 ; 0.111111 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
