X ; C1.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
page web bn:00080778n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
page web statiques bn:03576307n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
serveur web bn:02705179n ; 0 ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0
disque dur bn:00073359n ; 0 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2
client bn:00019764n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.030303
client serveur bn:03496583n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
base de donnée bn:00025333n ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0
ensemble bn:00114766r ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
javascript bn:00055423n ; 0 ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0
perl bn:01723165n ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
python bn:01713224n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
java bn:00048043n ; 0 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111
code source bn:00072947n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
fichier texte bn:00028018n ; 0 ; 0 ; 0 ; 0 ; 0.0588235 ; 0.0588235
texte bn:00076732n ; 0 ; 0 ; 0 ; 0 ; 0.030303 ; 0
mise en forme bn:01681906n ; 0 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
concerner bn:00083240v ; 0 ; 0.111111 ; 0 ; 0 ; 0.111111 ; 0.111111
commentaire bn:00020978n ; 0 ; 0 ; 0 ; 0.030303 ; 0 ; 0
délimiter bn:00086464v ; 0 ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0588235
affichage bn:00010421n ; 0 ; 0 ; 0 ; 0 ; 0.030303 ; 0
gras bn:00011848n ; 0 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
fois bn:00032768n ; 0 ; 0 ; 0.030303 ; 0 ; 0 ; 0
chemin bn:03131414n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
lien hypertextes bn:00045513n ; 0 ; 0 ; 0 ; 0.030303 ; 0 ; 0
url bn:00079080n ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0
textuels bn:00111786a ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
case à cocher bn:03157691n ; 0 ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0
page web dynamique bn:00937946n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
champ de saisie bn:03113401n ; 0 ; 0 ; 0 ; 0.030303 ; 0 ; 0
size bn:03645138n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
text bn:14981519n ; 0 ; 0 ; 0 ; 0.030303 ; 0 ; 0
vide bn:00087578v ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
liste déroulante bn:00028831n ; 0 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2
sélectionner bn:00084931v ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
déclencher bn:00082306v ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
réinitialisation bn:00067306n ; 0 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2
