X ; C1.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
page web bn:00080778n ; 0.0625 ; 0 ; 0 ; 0 ; 0.0625 ; 0
page web statiques bn:03576307n ; 0.0322581 ; 0 ; 0 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0 ; 0.340426 ; 0.333333 ; 0.333333 ; 0.326087 ; 0.333333
serveur web bn:02705179n ; 0 ; 0.111111 ; 0.121212 ; 0 ; 0 ; 0.121212
fichier bn:00021475n ; 0.210526 ; 0 ; 0.216216 ; 0.216216 ; 0.210526 ; 0
disque dur bn:00073359n ; 0.0625 ; 0 ; 0 ; 0.0645161 ; 0 ; 0
client bn:00019764n ; 0 ; 0.111111 ; 0 ; 0.121212 ; 0.117647 ; 0
client serveur bn:03496583n ; 0.0625 ; 0 ; 0 ; 0 ; 0 ; 0.0645161
base de donnée bn:00025333n ; 0.117647 ; 0 ; 0 ; 0 ; 0.117647 ; 0.121212
donnée bn:00025314n ; 0.210526 ; 0.2 ; 0.216216 ; 0.216216 ; 0 ; 0
ensemble bn:00114766r ; 0.0322581 ; 0 ; 0 ; 0 ; 0 ; 0
php bn:01753580n ; 0.326087 ; 0.340426 ; 0.333333 ; 0.333333 ; 0 ; 0.333333
javascript bn:00055423n ; 0.210526 ; 0.2 ; 0.216216 ; 0 ; 0 ; 0.216216
perl bn:01723165n ; 0.117647 ; 0 ; 0.121212 ; 0 ; 0 ; 0.121212
python bn:01713224n ; 0.0322581 ; 0 ; 0 ; 0 ; 0 ; 0
java bn:00048043n ; 0.117647 ; 0.111111 ; 0 ; 0.121212 ; 0 ; 0
code bn:00020354n ; 0.326087 ; 0.340426 ; 0.333333 ; 0.333333 ; 0 ; 0.333333
code source bn:00072947n ; 0.0322581 ; 0 ; 0 ; 0 ; 0 ; 0
fichier texte bn:00028018n ; 0.210526 ; 0.2 ; 0.216216 ; 0.216216 ; 0 ; 0
texte bn:00076732n ; 0 ; 0.2 ; 0.216216 ; 0.216216 ; 0 ; 0.216216
mise en forme bn:01681906n ; 0.0625 ; 0 ; 0.0645161 ; 0 ; 0 ; 0
concerner bn:00083240v ; 0 ; 0 ; 0.0645161 ; 0.0645161 ; 0 ; 0
commentaire bn:00020978n ; 0.210526 ; 0 ; 0.216216 ; 0 ; 0.210526 ; 0.216216
délimiter bn:00086464v ; 0.210526 ; 0.2 ; 0.216216 ; 0 ; 0.210526 ; 0
affichage bn:00010421n ; 0.326087 ; 0.340426 ; 0.333333 ; 0.333333 ; 0 ; 0.333333
gras bn:00011848n ; 0.0625 ; 0 ; 0.0645161 ; 0 ; 0 ; 0
fois bn:00032768n ; 0.210526 ; 0.2 ; 0 ; 0.216216 ; 0 ; 0.216216
chemin bn:03131414n ; 0.0625 ; 0 ; 0 ; 0 ; 0 ; 0.0645161
lien hypertextes bn:00045513n ; 0.347826 ; 0.333333 ; 0.355556 ; 0 ; 0.347826 ; 0.355556
url bn:00079080n ; 0.117647 ; 0 ; 0.121212 ; 0 ; 0 ; 0.121212
textuels bn:00111786a ; 0.0322581 ; 0 ; 0 ; 0 ; 0 ; 0
case à cocher bn:03157691n ; 0.117647 ; 0 ; 0.121212 ; 0 ; 0 ; 0.121212
page web dynamique bn:00937946n ; 0.0322581 ; 0 ; 0 ; 0 ; 0 ; 0
post bn:01500184n ; 0.326087 ; 0.340426 ; 0.333333 ; 0.333333 ; 0 ; 0.333333
champ de saisie bn:03113401n ; 0.347826 ; 0.333333 ; 0.355556 ; 0 ; 0.347826 ; 0.355556
size bn:03645138n ; 0.0625 ; 0 ; 0 ; 0 ; 0.0625 ; 0
