X ; C1.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
navigateur bn:00013447n ; 0.111111 ; 0 ; 0 ; 0 ; 0 ; 0
serveur web bn:02705179n ; 0.111111 ; 0 ; 0 ; 0 ; 0 ; 0
fichier bn:00021475n ; 0 ; 0.111111 ; 0 ; 0 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0 ; 0 ; 0 ; 0.222222 ; 0.222222
php bn:01753580n ; 0 ; 0 ; 0 ; 0 ; 0.111111 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0.111111 ; 0
texte bn:00076732n ; 0.111111 ; 0 ; 0 ; 0 ; 0 ; 0
concerner bn:00083240v ; 0.111111 ; 0 ; 0 ; 0 ; 0 ; 0
commentaire bn:00020978n ; 0 ; 0.111111 ; 0 ; 0 ; 0 ; 0
fois bn:00032768n ; 0 ; 0 ; 0 ; 0 ; 0.111111 ; 0
url bn:00079080n ; 0 ; 0 ; 0 ; 0.111111 ; 0 ; 0
case à cocher bn:03157691n ; 0 ; 0.111111 ; 0 ; 0 ; 0 ; 0
post bn:01500184n ; 0 ; 0 ; 0 ; 0 ; 0.111111 ; 0
text bn:14981519n ; 0 ; 0 ; 0 ; 0 ; 0.222222 ; 0.222222
langage bn:00049910n ; 0 ; 0 ; 0 ; 0.111111 ; 0 ; 0
utilisateur bn:00079373n ; 0.111111 ; 0 ; 0 ; 0 ; 0 ; 0
case bn:04777941n ; 0 ; 0 ; 0 ; 0.111111 ; 0 ; 0
personne bn:00046516n ; 0.111111 ; 0 ; 0 ; 0 ; 0 ; 0
méthode post bn:00045088n ; 0 ; 0 ; 0.111111 ; 0 ; 0 ; 0
fermeture bn:16858148n ; 0 ; 0 ; 0 ; 0.111111 ; 0 ; 0
mysql bn:01225760n ; 0.111111 ; 0 ; 0 ; 0 ; 0 ; 0
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.111111 ; 0
serveur bn:00044916n ; 0 ; 0.111111 ; 0 ; 0 ; 0 ; 0
typage bn:00016413n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.111111
foreach bn:03463379n ; 0 ; 0 ; 0 ; 0 ; 0.111111 ; 0
list bn:04720346n ; 0 ; 0 ; 0.111111 ; 0 ; 0 ; 0
cle bn:04756252n ; 0 ; 0 ; 0 ; 0 ; 0.111111 ; 0
mot bn:00081546n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.111111
session bn:03751534n ; 0 ; 0 ; 0 ; 0.111111 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.111111 ; 0 ; 0
