;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web bn:00080778n;0; 0; 0; 0; 1; 0; 
fichier bn:00021475n;1; 0; 0; 0; 0; 1; 
client bn:00019764n;1; 0; 1; 0; 0; 0; 
base de donnée bn:00025333n;0; 0; 1; 1; 0; 0; 
donnée bn:00025314n;0; 1; 1; 1; 0; 0; 
php bn:01753580n;0; 0; 1; 0; 0; 1; 
délimiter bn:00086464v;0; 0; 1; 0; 1; 0; 
post bn:01500184n;0; 1; 0; 0; 0; 1; 
nombre bn:00058285n;0; 0; 1; 1; 1; 0; 
text bn:14981519n;1; 1; 1; 0; 0; 0; 
associer bn:00082868v;0; 0; 0; 0; 0; 1; 
mysql bn:01225760n;0; 0; 1; 0; 0; 0; 
salaire bn:15928884n;0; 0; 0; 0; 1; 0; 
jour bn:00000086n;1; 0; 0; 0; 0; 0; 
site bn:00047172n;1; 1; 0; 0; 0; 0; 
france bn:00036202n;0; 1; 0; 0; 0; 0; 
langage de script bn:01431715n;0; 1; 0; 0; 0; 0; 
interpréter bn:00089840v;0; 0; 0; 0; 1; 0; 
côté serveur bn:03816678n;0; 0; 0; 0; 0; 1; 
typage bn:00016413n;0; 0; 0; 1; 0; 0; 
timestamp bn:03603649n;0; 1; 0; 0; 0; 0; 
session bn:03751534n;0; 0; 1; 0; 0; 0; 
afficher bn:00087013v;0; 0; 1; 0; 0; 0; 
chaîne bn:00074685n;0; 0; 0; 0; 1; 0; 
header bn:00043309n;0; 0; 0; 0; 0; 1; 
accéder bn:00082209v;0; 0; 0; 0; 0; 1; 
paris bn:00015540n;0; 0; 0; 0; 0; 1; 
classe bn:03608262n;0; 0; 0; 0; 0; 1; 
class bn:03598962n;0; 0; 0; 0; 0; 1; 
mysqli bn:01438356n;0; 0; 0; 0; 0; 1; 
visiteur bn:03106425n;0; 0; 0; 0; 1; 0; 
