;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
expr bn:03120209n;0; 1; 0; 0; 0; 0; 
spécifique bn:00111003a;0; 1; 0; 0; 0; 0; 
foreach bn:03463379n;0; 1; 1; 1; 0; 1; 
pointeur bn:03222272n;0; 1; 0; 0; 0; 0; 
list bn:04720346n;0; 1; 0; 0; 0; 1; 
inverse bn:00056301n;0; 1; 0; 0; 0; 0; 
trie bn:02479296n;0; 1; 0; 0; 0; 0; 
concaténation bn:03489514n;0; 1; 0; 0; 0; 1; 
accès bn:00000759n;0; 1; 0; 0; 0; 0; 
strcmp bn:13958358n;0; 1; 0; 0; 0; 0; 
trim bn:00074703n;0; 1; 0; 0; 0; 1; 
casse bn:03225002n;0; 1; 0; 0; 0; 0; 
occurence bn:00047732n;0; 1; 0; 0; 0; 0; 
décompte bn:00086432v;0; 1; 0; 0; 0; 0; 
valeur de retour bn:03828774n;0; 1; 0; 0; 0; 1; 
passage par référence bn:14985956n;0; 1; 1; 0; 0; 0; 
traiter bn:00092034v;0; 1; 0; 0; 0; 0; 
méthode bn:01641329n;0; 1; 1; 1; 1; 1; 
navigation bn:00057073n;0; 1; 1; 0; 0; 0; 
rouen bn:03268781n;0; 1; 0; 0; 0; 0; 
code postal bn:00063770n;0; 1; 0; 0; 0; 0; 
cle bn:04756252n;0; 1; 1; 0; 0; 1; 
mot bn:00081546n;0; 1; 1; 0; 0; 0; 
mot de passe bn:00023218n;0; 1; 0; 0; 1; 0; 
rows bn:03611246n;0; 1; 0; 0; 0; 1; 
bouton radio bn:03157702n;0; 1; 0; 0; 0; 0; 
radio bn:00065899n;0; 1; 1; 0; 0; 1; 
multiple bn:00056285n;0; 1; 0; 0; 0; 1; 
touche ctrl bn:00020947n;0; 1; 0; 0; 0; 0; 
transfert de fichier bn:03563534n;0; 1; 0; 0; 0; 0; 
fread bn:13825823n;0; 1; 1; 0; 0; 0; 
fin de fichier bn:02781064n;0; 1; 0; 0; 0; 0; 
existence bn:00009676n;0; 1; 0; 0; 0; 0; 
carte d’identité bn:00015915n;0; 1; 0; 0; 0; 0; 
mémoire vive bn:00066091n;0; 1; 0; 0; 0; 0; 
timestamp bn:03603649n;0; 1; 0; 1; 0; 0; 
vouloir bn:00095629v;0; 1; 0; 0; 0; 0; 
session bn:03751534n;0; 1; 1; 0; 0; 0; 
temps bn:00077270n;0; 1; 1; 1; 0; 1; 
généralement bn:00114778r;0; 1; 0; 0; 0; 0; 
min bn:00055094n;0; 1; 0; 0; 0; 0; 
correct bn:00100490a;0; 1; 0; 0; 0; 0; 
exe bn:14503132n;0; 1; 0; 0; 0; 0; 
xhtml bn:01163644n;0; 1; 0; 0; 0; 0; 
2.0 bn:00074217n;0; 1; 0; 0; 0; 0; 
programmation web bn:03446093n;0; 0; 1; 0; 0; 0; 
université antilles guyane bn:00537645n;0; 0; 1; 0; 0; 0; 
feuilles de style bn:00802225n;0; 0; 1; 0; 0; 0; 
pdf bn:01745594n;0; 0; 1; 0; 0; 0; 
capable bn:00099215a;0; 0; 1; 0; 0; 0; 
noël bn:00018836n;0; 0; 1; 0; 0; 0; 
client http bn:04783345n;0; 0; 1; 0; 0; 0; 
composer bn:14766022n;0; 0; 1; 0; 0; 0; 
recommandation w3c bn:15800643n;0; 0; 1; 0; 0; 0; 
w3c bn:02673666n;0; 0; 1; 0; 0; 1; 
head bn:02338897n;0; 0; 1; 0; 0; 0; 
