X;C1;C2;C3;C4;C5;C6;C7;C8;C9;CJA
page web;0;0;0.0915493;0;0.0782123;0.0914634;0;0.178082;0;0.0909091
navigateur;0;0.284153;0.290816;0;0.265217;0.331731;0.283784;0.234899;0.257732;0.303922
serveur web;0;0.233533;0.258427;0.25641;0.241706;0.246231;0;0;0.242775;0.253968
fichier;0.145161;0;0;0;0.13369;0.144509;0;0.179775;0.170213;0.140244
client;0.0408163;0;0.0307692;0.0392157;0;0;0;0;0;0
base de donnée;0;0;0.0928571;0.0964912;0.0852273;0;0.139241;0;0;0.0921053
donnée;0;0.177778;0.156863;0.146154;0.155914;0;0.23913;0;0;0.158537
php;0.145455;0;0.112676;0.140351;0;0.0963855;0;0;0.120301;0
java;0.142857;0.19697;0.165563;0;0.138298;0.149425;0.189474;0;0;0
code;0.27907;0.314607;0;0.272727;0.348837;0.333333;0.18125;0;0.259067;0.280193
texte;0;0.333333;0.323529;0.273684;0.350877;0.330317;0.285714;0;0.242857;0.341232
concerner;0;0;0.168831;0.169231;0.159574;0.152542;0.231579;0;0;0.169697
commentaire;0.153226;0;0.15894;0.185484;0.139037;0;0;0.191011;0.185714;0
délimiter;0;0;0.0921986;0.115044;0;0.0853659;0;0.164384;0;0.0844156
fois;0.306452;0.374332;0.348039;0;0.309623;0.37156;0.218391;0;0.260664;0.358491
url;0.225806;0;0.187097;0.2;0.168421;0;0;0;0.190476;0.152047
case à cocher;0.0784314;0;0;0.0754717;0;0.0506329;0;0;0.064;0
post;0;0.185714;0.179487;0;0.138462;0.168539;0;0;0.174497;0.179641
nombre;0;0;0;0.105263;0.0909091;0;0.151899;0.197183;0;0.0915033
text;0.326667;0.275449;0.276243;0.253086;0.280952;0.25;0;0;0;0.270833
langage;0.324022;0.267677;0.331683;0;0.300847;0.369159;0;0.190476;0.340206;0.349282
zones;0;0;0.015625;0;0;0.0131579;0;0;0;0
utilisateur;0;0;0.185897;0.207692;0.161458;0.161111;0;0;0.181208;0.164706
case;0.216;0.185714;0.179487;0;0;0.168539;0;0;0.174497;0.179641
associer;0;0;0.112676;0;0.0888889;0.0963855;0;0;0.120301;0.103226
personne;0;0;0.0985915;0.122807;0.0837989;0;0;0.191781;0.113636;0
méthode post;0;0.191781;0.185185;0;0;0.19337;0.194444;0.171429;0.173077;0.184971
fermeture;0.31016;0;0.331731;0.324468;0.346154;0.31441;0;0.238095;0.367347;0.300448
machine;0;0;0.0597015;0;0.0465116;0.0506329;0;0;0;0.0544218
mysql;0;0;0.0597015;0.0754717;0.0465116;0.0506329;0;0;0;0
salaire;0;0;0;0;0;0;0;0.0172414;0;0
jour;0.0784314;0;0.0597015;0;0;0.0506329;0;0;0;0.0544218
programmation;0.204918;0.15;0;0.188976;0.148148;0.16;0;0;0.164384;0
site;0.203252;0.173913;0.168831;0.169231;0.159574;0;0;0;0;0.155689
france;0;0.00917431;0;0;0;0;0;0;0;0
langage de script;0;0.0357143;0;0;0.0238095;0.025974;0;0;0;0
interpréter;0;0;0;0;0.0120482;0;0;0.0338983;0;0
côté serveur;0;0;0.0597015;0;0.0465116;0.0506329;0;0;0.064;0
serveur;0;0;0;0;0;0.0131579;0;0;0;0.0141844
côté client;0;0;0.0307692;0;0.0238095;0.025974;0;0;0;0
typage;0;0;0.112676;0;0.0888889;0.0963855;0.202532;0;0;0.103226
