X;C1;C2;C3;C4;C5;C6;C7;C8;C9;CJA
page web;0.108209;0;0.0842105;0;0.0980392;0.110701;0;0.122881;0;0.119342
page web statiques;0.00421941;0;0;0;0;0;0;0;0;0
navigateur;0.441121;0.431776;0.656075;0.42243;0.514019;0.448598;0.321495;0.381308;0.465421;0.394393
serveur web;0.267606;0.286127;0.263982;0.27907;0.290237;0.30086;0;0;0.275482;0.272455
fichier;0.441121;0.431776;0.656075;0.42243;0.514019;0.448598;0.321495;0.381308;0.465421;0.394393
disque dur;0.0166667;0;0;0;0;0.0163934;0.0227273;0;0;0
client;0.17931;0.170139;0.16285;0.173145;0.158055;0;0.177966;0.20155;0;0
client serveur;0.0327869;0;0;0;0.0282686;0.0322581;0;0;0.0311284;0
base de donnée;0.330049;0;0.396588;0.302211;0.368794;0.333333;0.27957;0.295918;0.342233;0.320513
donnée;0.441121;0.431776;0.656075;0.42243;0.514019;0.448598;0.321495;0.381308;0.465421;0.394393
ensemble;0.00421941;0;0;0;0;0;0;0;0;0
php;0.372549;0.353659;0.374745;0.341463;0.406103;0.333333;0.262087;0.336709;0.35461;0
javascript;0.200669;0.208191;0.142169;0.203448;0.191617;0.201987;0;0;0.188498;0
perl;0.0595238;0;0.0408719;0.0619835;0.0551724;0;0;0;0.0566038;0
python;0.0327869;0;0.0222841;0;0.0282686;0.0322581;0;0;0;0
java;0.162069;0.152778;0.161954;0;0.149847;0.171821;0.176724;0;0;0.164179
code;0.441121;0.431776;0.656075;0.42243;0.514019;0.448598;0.321495;0.381308;0.465421;0.394393
code source;0.0327869;0;0;0;0.0282686;0.0322581;0;0;0;0.0365297
fichier texte;0.25;0.238671;0.283293;0.238532;0.243836;0.250746;0.227273;0;0;0.246006
texte;0.35;0.341289;0.460385;0.32304;0.399538;0.392683;0.303109;0;0.35514;0.348259
mise en forme;0.0166667;0;0;0.0173913;0;0;0;0;0;0.0186047
concerner;0.16263;0;0.153453;0.151943;0.153846;0.156463;0.167382;0;0;0.169173
commentaire;0.251445;0.27003;0.251142;0.274096;0.262032;0;0;0.28115;0.263456;0.225225
