X;C1;C2;C3;C4;C5;C6;C7;C8;C9;CJA
page web;0;0;0.0489297;0;0.0571429;0.06639;0;0.0784314;0;0.0692641
page web statiques;0.00456621;0;0;0;0;0;0;0;0;0
navigateur;0;0.324675;0.432243;0.32376;0.341232;0.334177;0.28841;0.31016;0.369347;0.322251
serveur web;0;0.205882;0.158602;0.208178;0.192547;0.202091;0;0;0.194079;0.209386
fichier;0.186813;0;0.16156;0.156134;0.178344;0.173759;0.189873;0.214876;0;0
disque dur;0.018018;0;0;0;0;0.0174672;0.0222222;0;0;0
client;0;0.037037;0;0;0.0294118;0;0.0434783;0.0408163;0;0
client serveur;0.0353982;0;0;0;0.0294118;0.0343348;0;0;0.0318725;0
base de donnée;0.261006;0;0.289817;0.247588;0.248603;0;0.250871;0.27931;0.252941;0.239875
donnée;0.18315;0.190114;0.181818;0.192308;0.160377;0;0.170833;0;0;0.185185
ensemble;0.00456621;0;0;0;0;0;0;0;0;0
php;0.175824;0.18251;0.169492;0.171103;0.16879;0;0.172269;0;0.161074;0
javascript;0.2;0.211896;0.150134;0.200743;0.201258;0.195122;0;0;0.191419;0
perl;0.0641026;0;0.0458716;0.0678733;0.0573477;0;0;0;0.0579151;0
python;0.0353982;0;0.0250784;0;0.0294118;0.0343348;0;0;0;0
java;0.112903;0.108333;0.0949555;0;0.0989761;0.109804;0.125;0;0;0
code;0.361386;0.388175;0.438479;0.339152;0.436145;0.365196;0.276382;0;0.346604;0.370927
code source;0.0353982;0;0;0;0.0294118;0.0343348;0;0;0;0.0358744
fichier texte;0.268139;0.281046;0.285714;0.250804;0.28;0.239394;0.22449;0;0;0.27476
texte;0;0.275081;0.287565;0.257235;0.271186;0.256881;0.222973;0;0.254386;0.268987
mise en forme;0.018018;0;0;0.0191388;0;0;0;0;0;0.0182648
concerner;0;0;0.0895522;0.102128;0.0890411;0.0984252;0.105769;0;0;0.106996
commentaire;0.12;0;0.0874636;0.126582;0.108844;0;0;0.141553;0.109091;0
délimiter;0;0;0.0489297;0.0723982;0;0.06639;0;0.0784314;0;0.0692641
affichage;0.361386;0.388175;0.438479;0.339152;0.436145;0.365196;0.276382;0;0.346604;0.370927
gras;0.018018;0;0.0126984;0.0191388;0;0;0;0;0;0
fois;0.277778;0.286624;0.290076;0;0.267218;0.291411;0.24;0;0.25788;0.264615
chemin;0.0353982;0;0;0;0.0294118;0.0343348;0;0;0.0318725;0
lien hypertextes;0.186131;0.171004;0;0.186312;0.166667;0.177305;0;0.18;0.186441;0
url;0.116;0;0.0877193;0.122363;0.109215;0;0;0;0.105455;0.121951
textuels;0.00456621;0;0;0;0;0;0;0;0;0
case à cocher;0.0353982;0;0;0.0375587;0;0.0343348;0;0;0.0318725;0
page web dynamique;0.00909091;0;0;0;0;0.00881057;0;0;0;0
