X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
php bn:01753580n ; 0.0113636 ; 0 ; 0.0113636 ; 0 ; 0 ; 0 ; 0 ; 0
mysql bn:01225760n ; 0 ; 0.159091 ; 0.159091 ; 0.170455 ; 0.170455 ; 0.159091 ; 0.181818 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.0227273 ; 0 ; 0 ; 0.0227273 ; 0 ; 0.0227273
fichier bn:00021475n ; 0.0454545 ; 0 ; 0 ; 0 ; 0 ; 0.0454545 ; 0.0454545 ; 0.0454545
données bn:00025314n ; 0 ; 0 ; 0.0852273 ; 0.0852273 ; 0.0909091 ; 0.0852273 ; 0 ; 0.0852273
types bn:00016413n ; 0.272727 ; 0.278409 ; 0 ; 0.261364 ; 0.3125 ; 0.301136 ; 0.284091 ; 0.267045
session bn:03751534n ; 0.0909091 ; 0 ; 0 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0
base de donnees bn:00025333n ; 0 ; 0 ; 0.0852273 ; 0.0852273 ; 0.0909091 ; 0.0852273 ; 0 ; 0.0852273
entités bn:00031027n ; 0 ; 0.142045 ; 0.136364 ; 0 ; 0.164773 ; 0.147727 ; 0.170455 ; 0.147727
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.0227273 ; 0.0227273 ; 0 ; 0.0227273
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.0227273 ; 0.0227273 ; 0 ; 0.0227273
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.0227273 ; 0 ; 0.0227273 ; 0.0227273 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0227273 ; 0 ; 0.0227273 ; 0 ; 0.0227273
sélectionner bn:00084931v ; 0 ; 0.0227273 ; 0 ; 0 ; 0 ; 0 ; 0.0227273 ; 0.0227273
post bn:01500184n ; 0.164773 ; 0.164773 ; 0 ; 0 ; 0.164773 ; 0.176136 ; 0.170455 ; 0.170455
méthode get bn:00045088n ; 0.147727 ; 0 ; 0.153409 ; 0.142045 ; 0.164773 ; 0 ; 0.159091 ; 0.147727
code bn:00020354n ; 0.0909091 ; 0.0909091 ; 0 ; 0 ; 0 ; 0.0909091 ; 0.0909091 ; 0.0909091
utilisateur bn:00079373n ; 0.255682 ; 0.25 ; 0.227273 ; 0 ; 0.278409 ; 0.255682 ; 0.306818 ; 0.267045
afficher bn:00087013v ; 0.0454545 ; 0 ; 0.0454545 ; 0 ; 0.0454545 ; 0 ; 0 ; 0.0454545
nécessaire bn:00107182a ; 0 ; 0.0454545 ; 0 ; 0 ; 0.0454545 ; 0 ; 0.0454545 ; 0.0454545
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00568182
