Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;7;Objects;0;8;
0;7;Attributes;0;8;C11;C15;C17;C19;C3;C5;C6;CJA;
1;4;Objects;1;4;fichier bn:00021475n;
1;4;Attributes;1;4;C11;C5;C6;CJA;
2;5;Objects;1;5;base de donnees bn:00025333n;
2;5;Attributes;1;5;C17;C19;C3;C5;CJA;
3;4;Objects;1;4;afficher bn:00087013v;
3;4;Attributes;1;4;C11;C17;C3;CJA;
4;4;Objects;1;4;nécessaire bn:00107182a;
4;4;Attributes;1;4;C15;C3;C6;CJA;
5;4;Objects;1;4;méthode bn:01641329n;
5;4;Attributes;1;4;C11;C19;C5;C6;
6;2;Objects;1;2;exception bn:00032118n;
6;2;Attributes;1;2;C15;C17;
7;2;Objects;2;2;php bn:01753580n;afficher bn:00087013v;
7;2;Attributes;2;2;C11;C17;
8;3;Objects;2;3;texte bn:00076732n;base de donnees bn:00025333n;
8;3;Attributes;2;3;C17;C5;CJA;
9;3;Objects;2;3;fichier bn:00021475n;méthode bn:01641329n;
9;3;Attributes;2;3;C11;C5;C6;
10;3;Objects;2;3;base de donnees bn:00025333n;afficher bn:00087013v;
10;3;Attributes;2;3;C17;C3;CJA;
11;3;Objects;2;3;langage de script bn:01431715n;méthode bn:01641329n;
11;3;Attributes;2;3;C19;C5;C6;
12;3;Objects;2;3;sélectionner bn:00084931v;nécessaire bn:00107182a;
12;3;Attributes;2;3;C15;C6;CJA;
13;6;Objects;2;6;fois bn:00032768n;syntaxe bn:00062118n;
13;6;Attributes;2;6;C11;C15;C19;C3;C5;CJA;
14;2;Objects;3;2;texte bn:00076732n;base de donnees bn:00025333n;afficher bn:00087013v;
14;2;Attributes;3;2;C17;CJA;
15;2;Objects;3;2;fichier bn:00021475n;langage de script bn:01431715n;méthode bn:01641329n;
15;2;Attributes;3;2;C5;C6;
16;2;Objects;3;2;fichier bn:00021475n;sélectionner bn:00084931v;nécessaire bn:00107182a;
16;2;Attributes;3;2;C6;CJA;
17;3;Objects;3;3;fichier bn:00021475n;fois bn:00032768n;syntaxe bn:00062118n;
17;3;Attributes;3;3;C11;C5;CJA;
18;3;Objects;3;3;afficher bn:00087013v;fois bn:00032768n;syntaxe bn:00062118n;
18;3;Attributes;3;3;C11;C3;CJA;
19;5;Objects;3;5;fois bn:00032768n;commentaires bn:00020978n;syntaxe bn:00062118n;
19;5;Attributes;3;5;C11;C15;C19;C3;C5;
20;5;Objects;3;5;fois bn:00032768n;syntaxe bn:00062118n;langage bn:00049910n;
20;5;Attributes;3;5;C15;C19;C3;C5;CJA;
21;2;Objects;4;2;fichier bn:00021475n;afficher bn:00087013v;fois bn:00032768n;syntaxe bn:00062118n;
21;2;Attributes;4;2;C11;CJA;
22;2;Objects;4;2;afficher bn:00087013v;fois bn:00032768n;commentaires bn:00020978n;syntaxe bn:00062118n;
22;2;Attributes;4;2;C11;C3;
23;3;Objects;4;3;nécessaire bn:00107182a;fois bn:00032768n;syntaxe bn:00062118n;langage bn:00049910n;
23;3;Attributes;4;3;C15;C3;CJA;
24;4;Objects;4;4;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;syntaxe bn:00062118n;
24;4;Attributes;4;4;C11;C15;C19;C5;
25;4;Objects;4;4;fois bn:00032768n;commentaires bn:00020978n;syntaxe bn:00062118n;langage bn:00049910n;
25;4;Attributes;4;4;C15;C19;C3;C5;
26;4;Objects;5;4;données bn:00025314n;base de donnees bn:00025333n;fois bn:00032768n;syntaxe bn:00062118n;langage bn:00049910n;
26;4;Attributes;5;4;C19;C3;C5;CJA;
27;2;Objects;5;2;sélectionner bn:00084931v;nécessaire bn:00107182a;fois bn:00032768n;syntaxe bn:00062118n;langage bn:00049910n;
27;2;Attributes;5;2;C15;CJA;
28;2;Objects;5;2;nécessaire bn:00107182a;fois bn:00032768n;commentaires bn:00020978n;syntaxe bn:00062118n;langage bn:00049910n;
28;2;Attributes;5;2;C15;C3;
29;3;Objects;5;3;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;syntaxe bn:00062118n;langage bn:00049910n;
29;3;Attributes;5;3;C15;C19;C5;
30;3;Objects;5;3;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;syntaxe bn:00062118n;méthode bn:01641329n;
30;3;Attributes;5;3;C11;C19;C5;
31;3;Objects;5;3;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;syntaxe bn:00062118n;timestamp bn:03603649n;
31;3;Attributes;5;3;C11;C15;C5;
32;1;Objects;6;1;php bn:01753580n;texte bn:00076732n;base de donnees bn:00025333n;afficher bn:00087013v;rue bn:00074595n;exception bn:00032118n;
32;1;Attributes;6;1;C17;
33;1;Objects;6;1;fichier bn:00021475n;langage de script bn:01431715n;sélectionner bn:00084931v;code bn:00020354n;nécessaire bn:00107182a;méthode bn:01641329n;
33;1;Attributes;6;1;C6;
34;3;Objects;6;3;données bn:00025314n;base de donnees bn:00025333n;nombre bn:00058285n;fois bn:00032768n;syntaxe bn:00062118n;langage bn:00049910n;
34;3;Attributes;6;3;C19;C5;CJA;
35;3;Objects;6;3;données bn:00025314n;base de donnees bn:00025333n;fois bn:00032768n;commentaires bn:00020978n;syntaxe bn:00062118n;langage bn:00049910n;
35;3;Attributes;6;3;C19;C3;C5;
36;2;Objects;6;2;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;syntaxe bn:00062118n;langage bn:00049910n;timestamp bn:03603649n;
36;2;Attributes;6;2;C15;C5;
37;2;Objects;6;2;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;syntaxe bn:00062118n;langage bn:00049910n;echo bn:03626250n;
37;2;Attributes;6;2;C15;C19;
38;2;Objects;6;2;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;syntaxe bn:00062118n;pouvoir bn:00084450v;timestamp bn:03603649n;
38;2;Attributes;6;2;C11;C15;
39;2;Objects;7;2;fichier bn:00021475n;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;syntaxe bn:00062118n;méthode bn:01641329n;timestamp bn:03603649n;
39;2;Attributes;7;2;C11;C5;
40;3;Objects;7;3;données bn:00025314n;base de donnees bn:00025333n;site bn:00047172n;client web bn:00013447n;fois bn:00032768n;syntaxe bn:00062118n;langage bn:00049910n;
40;3;Attributes;7;3;C3;C5;CJA;
41;2;Objects;9;2;données bn:00025314n;base de donnees bn:00025333n;site bn:00047172n;client web bn:00013447n;afficher bn:00087013v;nécessaire bn:00107182a;fois bn:00032768n;syntaxe bn:00062118n;langage bn:00049910n;
41;2;Attributes;9;2;C3;CJA;
42;2;Objects;9;2;données bn:00025314n;base de donnees bn:00025333n;site bn:00047172n;client web bn:00013447n;fois bn:00032768n;commentaires bn:00020978n;syntaxe bn:00062118n;langage bn:00049910n;wamp bn:01708928n;
42;2;Attributes;9;2;C3;C5;
43;1;Objects;11;1;php bn:01753580n;fichier bn:00021475n;afficher bn:00087013v;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;syntaxe bn:00062118n;hiérarchie bn:00044017n;méthode bn:01641329n;pouvoir bn:00084450v;timestamp bn:03603649n;
43;1;Attributes;11;1;C11;
44;2;Objects;11;2;texte bn:00076732n;fichier bn:00021475n;données bn:00025314n;base de donnees bn:00025333n;site bn:00047172n;client web bn:00013447n;nombre bn:00058285n;fois bn:00032768n;syntaxe bn:00062118n;langage bn:00049910n;informatique bn:00100175a;
44;2;Attributes;11;2;C5;CJA;
45;1;Objects;11;1;données bn:00025314n;base de donnees bn:00025333n;site bn:00047172n;client web bn:00013447n;afficher bn:00087013v;nécessaire bn:00107182a;fois bn:00032768n;commentaires bn:00020978n;syntaxe bn:00062118n;langage bn:00049910n;wamp bn:01708928n;
45;1;Attributes;11;1;C3;
46;2;Objects;11;2;données bn:00025314n;base de donnees bn:00025333n;langage de script bn:01431715n;nombre bn:00058285n;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;chaîne bn:00074685n;syntaxe bn:00062118n;langage bn:00049910n;méthode bn:01641329n;
46;2;Attributes;11;2;C19;C5;
47;1;Objects;13;1;sélectionner bn:00084931v;nécessaire bn:00107182a;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;syntaxe bn:00062118n;langage bn:00049910n;pouvoir bn:00084450v;timestamp bn:03603649n;pouvoir bn:00084451v;echo bn:03626250n;void bn:01326821n;exception bn:00032118n;
47;1;Attributes;13;1;C15;
48;1;Objects;14;1;données bn:00025314n;base de donnees bn:00025333n;langage de script bn:01431715n;nombre bn:00058285n;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;chaîne bn:00074685n;syntaxe bn:00062118n;langage bn:00049910n;méthode bn:01641329n;echo bn:03626250n;symfony bn:02798620n;doctype bn:15839327n;
48;1;Attributes;14;1;C19;
49;1;Objects;16;1;texte bn:00076732n;fichier bn:00021475n;données bn:00025314n;base de donnees bn:00025333n;site bn:00047172n;client web bn:00013447n;nombre bn:00058285n;sélectionner bn:00084931v;afficher bn:00087013v;nécessaire bn:00107182a;serveur bn:00044916n;fois bn:00032768n;syntaxe bn:00062118n;langage bn:00049910n;environnement de développement bn:00748100n;informatique bn:00100175a;
49;1;Attributes;16;1;CJA;
50;1;Objects;19;1;texte bn:00076732n;fichier bn:00021475n;données bn:00025314n;base de donnees bn:00025333n;site bn:00047172n;client web bn:00013447n;langage de script bn:01431715n;nombre bn:00058285n;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;chaîne bn:00074685n;syntaxe bn:00062118n;langage bn:00049910n;méthode bn:01641329n;timestamp bn:03603649n;wamp bn:01708928n;realisateur bn:00027369n;informatique bn:00100175a;
50;1;Attributes;19;1;C5;
51;0;Objects;35;0;php bn:01753580n;texte bn:00076732n;fichier bn:00021475n;données bn:00025314n;base de donnees bn:00025333n;site bn:00047172n;client web bn:00013447n;langage de script bn:01431715n;nombre bn:00058285n;sélectionner bn:00084931v;code bn:00020354n;afficher bn:00087013v;nécessaire bn:00107182a;serveur bn:00044916n;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;chaîne bn:00074685n;syntaxe bn:00062118n;hiérarchie bn:00044017n;langage bn:00049910n;méthode bn:01641329n;pouvoir bn:00084450v;timestamp bn:03603649n;pouvoir bn:00084451v;echo bn:03626250n;rue bn:00074595n;void bn:01326821n;exception bn:00032118n;wamp bn:01708928n;symfony bn:02798620n;doctype bn:15839327n;environnement de développement bn:00748100n;realisateur bn:00027369n;informatique bn:00100175a;
51;0;Attributes;35;0;
