X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
java bn:00048043n ; 0 ; 0.261682 ; 0.277228 ; 0.285714 ; 0.252101 ; 0.254545 ; 0.271186 ; 0
file bn:00065682n ; 0 ; 0.153846 ; 0.164706 ; 0.166667 ; 0 ; 0 ; 0.153846 ; 0.159091
echo bn:03626250n ; 0 ; 0.025974 ; 0 ; 0.025974 ; 0 ; 0 ; 0 ; 0
rue bn:00074595n ; 0 ; 0 ; 0.0142857 ; 0 ; 0 ; 0 ; 0 ; 0
void bn:01326821n ; 0 ; 0.0131579 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
classe bn:03608262n ; 0 ; 0.261682 ; 0.277228 ; 0.285714 ; 0.252101 ; 0.254545 ; 0.271186 ; 0
exception bn:00032118n ; 0 ; 0.025974 ; 0.028169 ; 0 ; 0 ; 0 ; 0 ; 0
wamp bn:01708928n ; 0 ; 0 ; 0 ; 0 ; 0.021978 ; 0.025 ; 0 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0.0131579 ; 0 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.0131579 ; 0 ; 0 ; 0 ; 0
environnement de développement bn:00748100n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0136986
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0126582 ; 0 ; 0
informatique bn:00100175a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.025 ; 0 ; 0.027027
