"ORGANISER LES 60 TERMES EN 8 SEANCES DE COURS (voir onglet/feuille ""Clusters"" tout en bas)";;;;;;;;;;;;;;;
"CONTRAINTES :";;;;;;;;;;;;;;;
" - au moins 1 terme par séance (une séance est représentée par un cluster)";;;;;;;;;;;;;;;
" - chaque terme doit être au plus ET au moins dans une séance";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"Non-Expert 1";;;;;;;;;;;;;;;
"0 intro";"concerner";"délimiter";"langage";"machine";"navigateur";"page web";"programmation";"site";;;;;;;
"1 Install";"configuration";"côté serveur";"fichier";"files";"moteur";"serveur";"utilisateur";;;;;;;;
"2 PHP";"class";"code";"commentaire";"entête";"fois";"foreach";"méthode";"php";"url";;;;;;
"3 SQL";"base de donnée";"chaîne";"classe";"cle";"insert";"mot";"mysql";"null";"post";"session";"text";"texte";"timestamp";"typage";"varchar"
"4 Lien PHP SQL";"associer";"côté client";"donnée";"fermeture";"list";"transaction";;;;;;;;;
"5 Rendu USER";"affiche";"case";"case à  cocher";"interpréter";"personne";"serveur web";"visiteur";;;;;;;;
"6 Modifier conf";"avoir accès";"méthode post";"mysqli";;;;;;;;;;;;
"7 Pousser";"composer";"doctype";"jour";"langage de script";"xml";;;;;;;;;;
;;;;;;;;;;;;;;;
"Non-Expert 2";;;;;;;;;;;;;;;
0;"associer";"base de donnée";"cle";"donnée";"insert";"machine";"mysql";"mysqli";"serveur";"transaction";;;;;
1;"configuration";"langage";"php";"programmation";;;;;;;;;;;
2;"affiche";"chaîne";"code";"commentaire";"fois";"interpréter";"jour";"langage de script";"null";"text";"texte";"timestamp";"typage";"varchar";
3;"avoir accès";"class";"classe";"foreach";"list";;;;;;;;;;
4;"côté client";"côté serveur";"serveur web";"session";"url";;;;;;;;;;
5;"doctype";"entête";"fermeture";"fichier";"files";"xml";;;;;;;;;
6;"case";"case à  cocher";"méthode";"méthode post";"mot";"moteur";"navigateur";"page web";"personne";"post";"site";"utilisateur";"visiteur";;
7;"composer";"concerner";"délimiter";;;;;;;;;;;;
;;;;;;;;;;;;;;;
"Expert 3";;;;;;;;;;;;;;;
0;"affiche";"code";"commentaire";"navigateur";"page web";"serveur";"serveur web";"site";"texte";"url";"visiteur";"langage";"composer";;
1;"programmation";"php";"machine";"langage de script";"interpréter";"foreach";"côté serveur";"côté client";"chaîne";;;;;;
2;"case";"case à  cocher";"configuration";"donnée";"list";"null";"post";"méthode post";;;;;;;
3;"fichier";"files";;;;;;;;;;;;;
4;"associer";"avoir accès";"class";"classe";"concerner";"personne";"typage";"xml";"méthode";;;;;;
5;"base de donnée";"cle";"fermeture";"moteur";"mysql";"mysqli";"text";"varchar";"délimiter";;;;;;
6;"fois";"insert";"jour";"mot";"timestamp";"transaction";"session";"utilisateur";;;;;;;
7;"doctype";"entête";;;;;;;;;;;;;
;;;;;;;;;;;;;;;
"Expert 4";;;;;;;;;;;;;;;
0;"langage";"page web";"interpréter";"affiche";"navigateur";"moteur";"machine";"site";"url";;;;;;
1;"doctype";"entête";"xml";"fichier";"files";"composer";"concerner";"côté client";"côté serveur";;;;;;
2;"php";"typage";"langage de script";"classe";"programmation";;;;;;;;;;
3;"null";"case";"case à  cocher";"associer";"commentaire";"code";"foreach";"utilisateur";"class";"fois";"list";;;;
4;"méthode";"méthode post";"post";"serveur";"serveur web";"session";"visiteur";"personne";"avoir accès";;;;;;
5;"mysql";"mysqli";"transaction";"donnée";"base de donnée";"configuration";;;;;;;;;
6;"cle";"varchar";"text";"texte";"timestamp";"insert";"chaîne";"délimiter";;;;;;;
7;"jour";"mot";"fermeture";;;;;;;;;;;;
;;;;;;;;;;;;;;;
"Expert 5";;;;;;;;;;;;;;;
0;"code";"concerner";"associer";"commentaire";"interpréter";"langage";"langage de script";"machine";"php";"programmation";"utilisateur";;;;
1;"affiche";"chaîne";"donnée";"fois";"mot";"navigateur";"serveur";"texte";"typage";;;;;;
2;"fermeture";"fichier";"files";"foreach";"list";"null";"text";;;;;;;;
3;"cle";"côté client";"doctype";"entête";"page web";"serveur web";"site";"url";"visiteur";"xml";;;;;
4;"case";"case à  cocher";"délimiter";;;;;;;;;;;;
5;"classe";"méthode";"méthode post";"post";"session";;;;;;;;;;
6;"avoir accès";"base de donnée";"configuration";"côté serveur";"insert";"jour";;;;;;;;;
7;"composer";"moteur";"mysql";"mysqli";"personne";"timestamp";"transaction";"varchar";;;;;;;
