X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
C1 ; 1 ; 0.0714286 ; 0.1875 ; 0.0769231 ; 0.153846 ; 0.2 ; 0.176471 ; 0.0769231 ; 0.0555556 ; 0.0526316 ; 0.2
C12 ; 0.0714286 ; 1 ; 0.0588235 ; 0.181818 ; 0.166667 ; 0.0625 ; 0.117647 ; 0.444444 ; 0.125 ; 0.117647 ; 0.133333
C13 ; 0.1875 ; 0.0588235 ; 1 ; 0.133333 ; 0.125 ; 0.235294 ; 0.210526 ; 0.0625 ; 0.222222 ; 0.277778 ; 0.235294
C14 ; 0.0769231 ; 0.181818 ; 0.133333 ; 1 ; 0.181818 ; 0.0666667 ; 0.125 ; 0.2 ; 0.0625 ; 0.125 ; 0.142857
C16 ; 0.153846 ; 0.166667 ; 0.125 ; 0.181818 ; 1 ; 0.133333 ; 0.1875 ; 0.0833333 ; 0.125 ; 0.117647 ; 0.0625
C18 ; 0.2 ; 0.0625 ; 0.235294 ; 0.0666667 ; 0.133333 ; 1 ; 0.222222 ; 0.0666667 ; 0.166667 ; 0.222222 ; 0.25
C2 ; 0.176471 ; 0.117647 ; 0.210526 ; 0.125 ; 0.1875 ; 0.222222 ; 1 ; 0.125 ; 0.352941 ; 0.2 ; 0.1
C4 ; 0.0769231 ; 0.444444 ; 0.0625 ; 0.2 ; 0.0833333 ; 0.0666667 ; 0.125 ; 1 ; 0.133333 ; 0.0588235 ; 0.142857
C7 ; 0.0555556 ; 0.125 ; 0.222222 ; 0.0625 ; 0.125 ; 0.166667 ; 0.352941 ; 0.133333 ; 1 ; 0.352941 ; 0.05
C8 ; 0.0526316 ; 0.117647 ; 0.277778 ; 0.125 ; 0.117647 ; 0.222222 ; 0.2 ; 0.0588235 ; 0.352941 ; 1 ; 0.222222
C9 ; 0.2 ; 0.133333 ; 0.235294 ; 0.142857 ; 0.0625 ; 0.25 ; 0.1 ; 0.142857 ; 0.05 ; 0.222222 ; 1
