X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
page web bn:00080778n ; 0 ; 0 ; 0 ; 0 ; 0.0153846 ; 0 ; 0.0153846 ; 0.0153846 ; 0.0153846 ; 0 ; 0.0153846
page web statiques bn:03576307n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
serveur web bn:02705179n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00194932 ; 0.00194932 ; 0
disque dur bn:00073359n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2
client bn:00019764n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00097561
client serveur bn:03496583n ; 0 ; 0.030303 ; 0.030303 ; 0 ; 0 ; 0 ; 0.030303 ; 0.030303 ; 0.030303 ; 0.030303 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0 ; 0.00194932 ; 0 ; 0 ; 0.00194932 ; 0 ; 0 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0 ; 0 ; 0.00097561 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
ensemble bn:00114766r ; 0 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
javascript bn:00055423n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00194932 ; 0.00194932 ; 0
perl bn:01723165n ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0 ; 0.0588235 ; 0.0588235 ; 0
python bn:01713224n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
java bn:00048043n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00775194 ; 0 ; 0.00775194 ; 0 ; 0.00775194 ; 0.00775194
code source bn:00072947n ; 0 ; 0 ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235
fichier texte bn:00028018n ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0 ; 0 ; 0 ; 0.0588235 ; 0.0588235
texte bn:00076732n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00097561 ; 0
mise en forme bn:01681906n ; 0 ; 0.030303 ; 0 ; 0 ; 0.030303 ; 0 ; 0.030303 ; 0 ; 0.030303 ; 0.030303 ; 0.030303
concerner bn:00083240v ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0.0588235
commentaire bn:00020978n ; 0 ; 0 ; 0.00389105 ; 0 ; 0 ; 0.00389105 ; 0 ; 0 ; 0.00389105 ; 0 ; 0
délimiter bn:00086464v ; 0 ; 0 ; 0.030303 ; 0.030303 ; 0.030303 ; 0.030303 ; 0 ; 0 ; 0.030303 ; 0 ; 0.030303
affichage bn:00010421n ; 0 ; 0 ; 0.00194932 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00194932 ; 0
gras bn:00011848n ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235
fois bn:00032768n ; 0 ; 0 ; 0.00389105 ; 0.00389105 ; 0 ; 0 ; 0 ; 0.00389105 ; 0 ; 0 ; 0
chemin bn:03131414n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0
lien hypertextes bn:00045513n ; 0 ; 0.00389105 ; 0 ; 0 ; 0.00389105 ; 0 ; 0 ; 0 ; 0.00389105 ; 0 ; 0
url bn:00079080n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00194932 ; 0 ; 0 ; 0.00194932 ; 0
