X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
réalité bn:00066414n ; 0.00680272 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
concatène bn:00085508v ; 0.00680272 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
addition bn:00001296n ; 0.0519481 ; 0.0421053 ; 0.0666667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.038835
soustraction bn:00055233n ; 0.0519481 ; 0.0421053 ; 0.0666667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.038835
multiplié bn:00090977v ; 0.00680272 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
modulo bn:00553864n ; 0.0519481 ; 0.0421053 ; 0 ; 0 ; 0.0487805 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.038835
égalité bn:00031284n ; 0.0266667 ; 0 ; 0 ; 0 ; 0.025 ; 0 ; 0 ; 0.0246914 ; 0 ; 0 ; 0
logiques bn:00051845n ; 0.231111 ; 0.242063 ; 0 ; 0.223577 ; 0.275556 ; 0 ; 0.253012 ; 0 ; 0.246988 ; 0.20603 ; 0.218519
syntaxe bn:00062118n ; 0.0987654 ; 0 ; 0 ; 0.0860215 ; 0.0930233 ; 0 ; 0 ; 0.091954 ; 0 ; 0 ; 0.0747664
associer bn:00082868v ; 0 ; 0.0421053 ; 0.0666667 ; 0 ; 0.0487805 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.038835
personne bn:00046516n ; 0 ; 0.0421053 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0481928 ; 0 ; 0.0683761 ; 0.038835
prenom bn:15996005n ; 0.0869565 ; 0 ; 0 ; 0 ; 0 ; 0.0872483 ; 0 ; 0 ; 0.141304 ; 0.112903 ; 0.0758294
structure de contrôle bn:00047734n ; 0.186869 ; 0 ; 0.203593 ; 0.199074 ; 0.177885 ; 0.187166 ; 0.19469 ; 0 ; 0 ; 0 ; 0.18595
définition bn:00025928n ; 0.203883 ; 0.198312 ; 0 ; 0.20354 ; 0.23445 ; 0.21134 ; 0 ; 0.226415 ; 0 ; 0 ; 0.219512
initialiser bn:00089742v ; 0.0266667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0216216 ; 0 ; 0.05 ; 0 ; 0
dépendre bn:00086606v ; 0.0266667 ; 0.0215054 ; 0 ; 0 ; 0.025 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
