X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
page web statiques bn:03576307n ; 0.0126582 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0120482 ; 0 ; 0 ; 0
fichier bn:00021475n ; 0 ; 0.0325203 ; 0 ; 0 ; 0 ; 0.0512821 ; 0 ; 0 ; 0 ; 0.0555556 ; 0
disque dur bn:00073359n ; 0.025 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0327869 ; 0 ; 0
client serveur bn:03496583n ; 0.12766 ; 0 ; 0 ; 0.10687 ; 0.118182 ; 0.133333 ; 0 ; 0 ; 0 ; 0 ; 0.104478
base de donnée bn:00025333n ; 0.0930233 ; 0 ; 0.125 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.105263 ; 0.0625
donnée bn:00025314n ; 0.025 ; 0 ; 0.0344828 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
ensemble bn:00114766r ; 0.025 ; 0 ; 0 ; 0.0168067 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
php bn:01753580n ; 0.0126582 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
perl bn:01723165n ; 0.0930233 ; 0.0629921 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0888889 ; 0 ; 0 ; 0.0625
python bn:01713224n ; 0.0126582 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
java bn:00048043n ; 0.182609 ; 0.195946 ; 0.175258 ; 0.174497 ; 0.176923 ; 0 ; 0.190083 ; 0 ; 0.181818 ; 0 ; 0
code bn:00020354n ; 0.0967742 ; 0.0916031 ; 0 ; 0 ; 0.0917431 ; 0 ; 0.1 ; 0 ; 0.152778 ; 0 ; 0
code source bn:00072947n ; 0.0930233 ; 0.0629921 ; 0.125 ; 0.064 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fichier texte bn:00028018n ; 0.0813953 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0860215 ; 0.0777778 ; 0.104478 ; 0 ; 0
texte bn:00076732n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0227273 ; 0.0238095 ; 0 ; 0 ; 0
mise en forme bn:01681906n ; 0.117021 ; 0 ; 0.169014 ; 0.116279 ; 0 ; 0.134831 ; 0 ; 0.135417 ; 0 ; 0 ; 0
affichage bn:00010421n ; 0.252577 ; 0.392157 ; 0 ; 0.336493 ; 0.319797 ; 0.284946 ; 0.293814 ; 0.286458 ; 0.237569 ; 0 ; 0.376812
chemin bn:03131414n ; 0.025 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0163934
textuels bn:00111786a ; 0.0126582 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
page web dynamique bn:00937946n ; 0.025 ; 0 ; 0.0344828 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
champ de saisie bn:03113401n ; 0.226891 ; 0 ; 0.24 ; 0.241611 ; 0 ; 0 ; 0.212598 ; 0.209677 ; 0 ; 0.225225 ; 0.175
size bn:03645138n ; 0.025 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0285714 ; 0
vide bn:00087578v ; 0.0126582 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
liste déroulante bn:00028831n ; 0.025 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0238095 ; 0 ; 0 ; 0
