X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
page web bn:00080778n ; 0 ; 0 ; 0 ; 0 ; 0.0078125 ; 0 ; 0.0078125 ; 0.0078125 ; 0.0078125 ; 0 ; 0.0078125
page web statiques bn:03576307n ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
serveur web bn:02705179n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.000976562 ; 0.000976562 ; 0
disque dur bn:00073359n ; 0 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0 ; 0.125 ; 0.125
client bn:00019764n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.000488281
client serveur bn:03496583n ; 0 ; 0.015625 ; 0.015625 ; 0 ; 0 ; 0 ; 0.015625 ; 0.015625 ; 0.015625 ; 0.015625 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0 ; 0.000976562 ; 0 ; 0 ; 0.000976562 ; 0 ; 0 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0 ; 0 ; 0.000488281 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
ensemble bn:00114766r ; 0 ; 0.125 ; 0.125 ; 0 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125
javascript bn:00055423n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.000976562 ; 0.000976562 ; 0
perl bn:01723165n ; 0 ; 0 ; 0.03125 ; 0.03125 ; 0.03125 ; 0.03125 ; 0.03125 ; 0 ; 0.03125 ; 0.03125 ; 0
python bn:01713224n ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
java bn:00048043n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00390625 ; 0 ; 0.00390625 ; 0 ; 0.00390625 ; 0.00390625
code source bn:00072947n ; 0 ; 0 ; 0 ; 0 ; 0.03125 ; 0.03125 ; 0.03125 ; 0.03125 ; 0.03125 ; 0.03125 ; 0.03125
fichier texte bn:00028018n ; 0 ; 0.03125 ; 0.03125 ; 0.03125 ; 0.03125 ; 0.03125 ; 0 ; 0 ; 0 ; 0.03125 ; 0.03125
texte bn:00076732n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.000488281 ; 0
mise en forme bn:01681906n ; 0 ; 0.015625 ; 0 ; 0 ; 0.015625 ; 0 ; 0.015625 ; 0 ; 0.015625 ; 0.015625 ; 0.015625
concerner bn:00083240v ; 0 ; 0.03125 ; 0.03125 ; 0.03125 ; 0.03125 ; 0 ; 0.03125 ; 0 ; 0 ; 0.03125 ; 0.03125
commentaire bn:00020978n ; 0 ; 0 ; 0.00195312 ; 0 ; 0 ; 0.00195312 ; 0 ; 0 ; 0.00195312 ; 0 ; 0
délimiter bn:00086464v ; 0 ; 0 ; 0.015625 ; 0.015625 ; 0.015625 ; 0.015625 ; 0 ; 0 ; 0.015625 ; 0 ; 0.015625
