Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;5;Objects;0;11;
0;5;Attributes;0;11;C1;C12;C13;C14;C16;C18;C2;C4;C7;C8;C9;
1;3;Objects;1;3;fichier bn:00021475n;
1;3;Attributes;1;3;C2;C4;C7;
2;4;Objects;1;6;client bn:00019764n;
2;4;Attributes;1;6;C13;C16;C18;C2;C7;C8;
3;3;Objects;1;3;donnée bn:00025314n;
3;3;Attributes;1;3;C18;C8;C9;
4;4;Objects;1;4;php bn:01753580n;
4;4;Attributes;1;4;C12;C2;C7;C8;
5;2;Objects;1;2;commentaire bn:00020978n;
5;2;Attributes;1;2;C14;C2;
6;3;Objects;1;4;post bn:01500184n;
6;3;Attributes;1;4;C1;C4;C7;C8;
7;3;Objects;1;5;nombre bn:00058285n;
7;3;Attributes;1;5;C1;C13;C18;C2;C9;
8;3;Objects;1;4;text bn:14981519n;
8;3;Attributes;1;4;C13;C14;C8;C9;
9;2;Objects;1;2;utilisateur bn:00079373n;
9;2;Attributes;1;2;C1;C16;
10;3;Objects;1;3;méthode post bn:00045088n;
10;3;Attributes;1;3;C12;C14;C4;
11;2;Objects;1;2;programmation bn:00021493n;
11;2;Attributes;1;2;C12;C16;
12;2;Objects;1;2;programmation web bn:03446093n;
12;2;Attributes;1;2;C14;C16;
13;3;Objects;1;3;chaîne bn:00074685n;
13;3;Attributes;1;3;C12;C18;C7;
14;2;Objects;1;3;script bn:01431715n;
14;2;Attributes;1;3;C12;C4;C9;
15;2;Objects;2;2;fichier bn:00021475n;post bn:01500184n;
15;2;Attributes;2;2;C4;C7;
16;3;Objects;2;3;client bn:00019764n;php bn:01753580n;
16;3;Attributes;2;3;C2;C7;C8;
17;2;Objects;2;2;client bn:00019764n;case à cocher bn:03157691n;
17;2;Attributes;2;2;C16;C2;
18;3;Objects;2;3;client bn:00019764n;site bn:00047172n;
18;3;Attributes;2;3;C13;C7;C8;
19;3;Objects;2;3;client bn:00019764n;foreach bn:03463379n;
19;3;Attributes;2;3;C16;C7;C8;
20;2;Objects;2;2;donnée bn:00025314n;nombre bn:00058285n;
20;2;Attributes;2;2;C18;C9;
21;2;Objects;2;2;donnée bn:00025314n;text bn:14981519n;
21;2;Attributes;2;2;C8;C9;
22;2;Objects;2;2;code bn:00020354n;text bn:14981519n;
22;2;Attributes;2;2;C14;C8;
23;2;Objects;2;2;texte bn:00076732n;nombre bn:00058285n;
23;2;Attributes;2;2;C1;C13;
24;2;Objects;2;2;délimiter bn:00086464v;nombre bn:00058285n;
24;2;Attributes;2;2;C1;C2;
25;2;Objects;2;2;nombre bn:00058285n;text bn:14981519n;
25;2;Attributes;2;2;C13;C9;
26;2;Objects;2;2;nombre bn:00058285n;zones bn:00005513n;
26;2;Attributes;2;2;C1;C9;
27;2;Objects;2;2;méthode post bn:00045088n;script bn:01431715n;
27;2;Attributes;2;2;C12;C4;
28;2;Objects;3;2;navigateur bn:00013447n;nombre bn:00058285n;mysql bn:01225760n;
28;2;Attributes;3;2;C1;C18;
29;2;Objects;3;2;fichier bn:00021475n;client bn:00019764n;php bn:01753580n;
29;2;Attributes;3;2;C2;C7;
30;2;Objects;3;2;client bn:00019764n;donnée bn:00025314n;cle bn:04756252n;
30;2;Attributes;3;2;C18;C8;
31;2;Objects;3;2;client bn:00019764n;url bn:00079080n;site bn:00047172n;
31;2;Attributes;3;2;C13;C7;
32;2;Objects;3;3;client bn:00019764n;nombre bn:00058285n;serveur bn:00044916n;
32;2;Attributes;3;3;C13;C18;C2;
33;2;Objects;3;2;client bn:00019764n;text bn:14981519n;site bn:00047172n;
33;2;Attributes;3;2;C13;C8;
34;2;Objects;3;2;client bn:00019764n;foreach bn:03463379n;classes bn:03608262n;
34;2;Attributes;3;2;C16;C8;
35;2;Objects;3;2;php bn:01753580n;langage bn:00049910n;chaîne bn:00074685n;
35;2;Attributes;3;2;C12;C7;
36;2;Objects;4;2;client bn:00019764n;case bn:04777941n;chaîne bn:00074685n;header bn:00043309n;
36;2;Attributes;4;2;C18;C7;
37;2;Objects;5;2;client bn:00019764n;php bn:01753580n;post bn:01500184n;site bn:00047172n;foreach bn:03463379n;
37;2;Attributes;5;2;C7;C8;
38;1;Objects;6;1;fichier bn:00021475n;post bn:01500184n;méthode post bn:00045088n;script bn:01431715n;list bn:04720346n;positionnement bn:00030615n;
38;1;Attributes;6;1;C4;
39;1;Objects;7;1;code bn:00020354n;commentaire bn:00020978n;gras bn:00011848n;lien hypertextes bn:00045513n;text bn:14981519n;méthode post bn:00045088n;programmation web bn:03446093n;
39;1;Attributes;7;1;C14;
40;1;Objects;9;1;php bn:01753580n;langage bn:00049910n;syntaxe bn:00062118n;structure de contrôle bn:00047734n;méthode post bn:00045088n;programmation bn:00021493n;chaîne bn:00074685n;script bn:01431715n;fonctionnalité bn:00036836n;
40;1;Attributes;9;1;C12;
41;1;Objects;10;1;donnée bn:00025314n;nombre bn:00058285n;text bn:14981519n;zones bn:00005513n;script bn:01431715n;type bn:00016413n;mot bn:00081546n;visiteur bn:03106425n;affiche bn:00087013v;moteur bn:00030850n;
41;1;Attributes;10;1;C9;
42;1;Objects;12;1;client bn:00019764n;case à cocher bn:03157691n;utilisateur bn:00079373n;passwd bn:14874750n;programmation bn:00021493n;programmation web bn:03446093n;méthode bn:01641329n;foreach bn:03463379n;classes bn:03608262n;web bn:00080772n;head bn:02338897n;attribut bn:00007068n;
42;1;Attributes;12;1;C16;
43;1;Objects;13;1;client bn:00019764n;texte bn:00076732n;url bn:00079080n;nombre bn:00058285n;text bn:14981519n;site bn:00047172n;serveur bn:00044916n;couleurs bn:00020726n;sauvegarder bn:00093281v;internet bn:00024712n;système bn:15125301n;menu bn:00021485n;id bn:03885719n;
43;1;Attributes;13;1;C13;
