X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
opérateurs bn:16281811n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0
list bn:04720346n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0
pointeur bn:03222272n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0
cle bn:04756252n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0714286 ; 0 ; 0 ; 0 ; 0.0714286 ; 0
méthode bn:01641329n ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
conditionnelles bn:00100214a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
foreach bn:03463379n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0
couleurs bn:00020726n ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
valeur par défaut bn:03854990n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
classes bn:03608262n ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
class bn:03598962n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0
mot bn:00081546n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143
visiteur bn:03106425n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143
