X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
C1 ; 1 ; 0.186335 ; 0.121739 ; 0.230769 ; 0.144828 ; 0.113636 ; 0.162963 ; 0.162963 ; 0.178571 ; 0.137097 ; 0.2125
C12 ; 0.186335 ; 1 ; 0.148649 ; 0.294444 ; 0.326923 ; 0.189873 ; 0.261146 ; 0.192771 ; 0.262774 ; 0.151899 ; 0.305556
C13 ; 0.121739 ; 0.148649 ; 1 ; 0.1875 ; 0.10687 ; 0.0862069 ; 0.133333 ; 0.192982 ; 0.0571429 ; 0.142857 ; 0.0949367
C14 ; 0.230769 ; 0.294444 ; 0.1875 ; 1 ; 0.291925 ; 0.166667 ; 0.317881 ; 0.292208 ; 0.16 ; 0.211921 ; 0.275676
C16 ; 0.144828 ; 0.326923 ; 0.10687 ; 0.291925 ; 1 ; 0.181159 ; 0.20979 ; 0.193103 ; 0.174603 ; 0.162963 ; 0.25
C18 ; 0.113636 ; 0.189873 ; 0.0862069 ; 0.166667 ; 0.181159 ; 1 ; 0.107914 ; 0.157895 ; 0.121739 ; 0.112903 ; 0.290541
C2 ; 0.162963 ; 0.261146 ; 0.133333 ; 0.317881 ; 0.20979 ; 0.107914 ; 1 ; 0.19708 ; 0.263636 ; 0.165354 ; 0.218182
C4 ; 0.162963 ; 0.192771 ; 0.192982 ; 0.292208 ; 0.193103 ; 0.157895 ; 0.19708 ; 1 ; 0.120968 ; 0.0962963 ; 0.196429
C7 ; 0.178571 ; 0.262774 ; 0.0571429 ; 0.16 ; 0.174603 ; 0.121739 ; 0.263636 ; 0.120968 ; 1 ; 0.12844 ; 0.165563
C8 ; 0.137097 ; 0.151899 ; 0.142857 ; 0.211921 ; 0.162963 ; 0.112903 ; 0.165354 ; 0.0962963 ; 0.12844 ; 1 ; 0.217105
C9 ; 0.2125 ; 0.305556 ; 0.0949367 ; 0.275676 ; 0.25 ; 0.290541 ; 0.218182 ; 0.196429 ; 0.165563 ; 0.217105 ; 1
