X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
C1 ; 1 ; 0.186747 ; 0.135593 ; 0.226415 ; 0.145695 ; 0.109489 ; 0.163121 ; 0.15942 ; 0.181034 ; 0.149606 ; 0.214724
C12 ; 0.186747 ; 1 ; 0.143791 ; 0.289617 ; 0.3375 ; 0.191358 ; 0.273292 ; 0.189349 ; 0.271429 ; 0.147239 ; 0.298913
C13 ; 0.135593 ; 0.143791 ; 1 ; 0.184932 ; 0.10219 ; 0.0833333 ; 0.126984 ; 0.189655 ; 0.0550459 ; 0.158879 ; 0.1
C14 ; 0.226415 ; 0.289617 ; 0.184932 ; 1 ; 0.284848 ; 0.164634 ; 0.309677 ; 0.292208 ; 0.157895 ; 0.20915 ; 0.274194
C16 ; 0.145695 ; 0.3375 ; 0.10219 ; 0.284848 ; 1 ; 0.190141 ; 0.231293 ; 0.187919 ; 0.184615 ; 0.156028 ; 0.242775
C18 ; 0.109489 ; 0.191358 ; 0.0833333 ; 0.164634 ; 0.190141 ; 1 ; 0.118881 ; 0.155556 ; 0.117647 ; 0.109375 ; 0.284768
C2 ; 0.163121 ; 0.273292 ; 0.126984 ; 0.309677 ; 0.231293 ; 0.118881 ; 1 ; 0.191489 ; 0.27193 ; 0.157895 ; 0.211765
C4 ; 0.15942 ; 0.189349 ; 0.189655 ; 0.292208 ; 0.187919 ; 0.155556 ; 0.191489 ; 1 ; 0.119048 ; 0.0948905 ; 0.195266
C7 ; 0.181034 ; 0.271429 ; 0.0550459 ; 0.157895 ; 0.184615 ; 0.117647 ; 0.27193 ; 0.119048 ; 1 ; 0.123894 ; 0.162338
C8 ; 0.149606 ; 0.147239 ; 0.158879 ; 0.20915 ; 0.156028 ; 0.109375 ; 0.157895 ; 0.0948905 ; 0.123894 ; 1 ; 0.220779
C9 ; 0.214724 ; 0.298913 ; 0.1 ; 0.274194 ; 0.242775 ; 0.284768 ; 0.211765 ; 0.195266 ; 0.162338 ; 0.220779 ; 1
