X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
page web bn:00080778n ; 0 ; 0.0869565 ; 0.146667 ; 0.114035 ; 0 ; 0.096 ; 0 ; 0 ; 0 ; 0.152778 ; 0
navigateur bn:00013447n ; 0 ; 0.223464 ; 0.192308 ; 0.240506 ; 0.223404 ; 0 ; 0.233918 ; 0 ; 0.235294 ; 0.178295 ; 0.220657
serveur web bn:02705179n ; 0 ; 0.301508 ; 0.266234 ; 0.325843 ; 0.273585 ; 0.261538 ; 0.267677 ; 0.28877 ; 0 ; 0 ; 0.310044
fichier bn:00021475n ; 0.105769 ; 0 ; 0.144737 ; 0.113043 ; 0.0872483 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0786517
client bn:00019764n ; 0.0729167 ; 0.0530303 ; 0 ; 0.0642202 ; 0 ; 0 ; 0 ; 0.0707965 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0.0610687 ; 0 ; 0 ; 0.048951 ; 0 ; 0 ; 0.0614035 ; 0.116667 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0.117647 ; 0 ; 0 ; 0.0866667 ; 0 ; 0.0992366 ; 0.0983607 ; 0.19403 ; 0 ; 0
php bn:01753580n ; 0 ; 0 ; 0.202247 ; 0.174603 ; 0.130435 ; 0.136691 ; 0 ; 0.150376 ; 0 ; 0 ; 0.139785
javascript bn:00055423n ; 0.273256 ; 0.275 ; 0.248366 ; 0.333333 ; 0.297561 ; 0 ; 0.266667 ; 0.288043 ; 0 ; 0 ; 0.270386
code bn:00020354n ; 0 ; 0 ; 0.102941 ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0614035 ; 0 ; 0 ; 0.0465116
texte bn:00076732n ; 0 ; 0.162162 ; 0 ; 0.146154 ; 0.14375 ; 0.143885 ; 0 ; 0 ; 0.219512 ; 0 ; 0.139037
concerner bn:00083240v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0347826 ; 0 ; 0.0363636 ; 0.0714286 ; 0 ; 0
commentaire bn:00020978n ; 0.163793 ; 0.147651 ; 0 ; 0 ; 0.1375 ; 0 ; 0 ; 0.167939 ; 0 ; 0.181818 ; 0.139785
délimiter bn:00086464v ; 0 ; 0.03125 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0363636 ; 0 ; 0.0655738 ; 0
gras bn:00011848n ; 0.0434783 ; 0 ; 0.0625 ; 0 ; 0 ; 0 ; 0 ; 0.0363636 ; 0 ; 0 ; 0
fois bn:00032768n ; 0.201389 ; 0.229412 ; 0 ; 0 ; 0.25 ; 0.225 ; 0.264151 ; 0 ; 0.234234 ; 0 ; 0.219512
lien hypertextes bn:00045513n ; 0.207692 ; 0 ; 0.228571 ; 0 ; 0 ; 0.216216 ; 0.193548 ; 0.206897 ; 0 ; 0.17757 ; 0.212435
url bn:00079080n ; 0.280822 ; 0.24581 ; 0 ; 0.265823 ; 0.271739 ; 0.242604 ; 0 ; 0.305732 ; 0 ; 0 ; 0.251185
case à cocher bn:03157691n ; 0.145631 ; 0 ; 0 ; 0.119658 ; 0 ; 0.110236 ; 0 ; 0.114754 ; 0 ; 0 ; 0.0893855
post bn:01500184n ; 0 ; 0.0857143 ; 0.173333 ; 0.121739 ; 0 ; 0 ; 0.0992366 ; 0 ; 0 ; 0 ; 0.0722222
nombre bn:00058285n ; 0 ; 0.103704 ; 0 ; 0.0862069 ; 0 ; 0 ; 0 ; 0.0826446 ; 0.166667 ; 0.15493 ; 0
text bn:14981519n ; 0.20339 ; 0.178808 ; 0 ; 0 ; 0.166667 ; 0.178571 ; 0.172414 ; 0.176471 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.244275 ; 0 ; 0 ; 0.181208 ; 0.22093 ; 0.223684 ; 0.19375 ; 0 ; 0 ; 0.189189 ; 0.230769
zones bn:00005513n ; 0 ; 0 ; 0.0322581 ; 0.0194175 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0.107914 ; 0 ; 0.119658 ; 0 ; 0.110236 ; 0 ; 0.114754 ; 0 ; 0 ; 0.0893855
affectation bn:02806034n ; 0.0873786 ; 0 ; 0 ; 0.0964912 ; 0.0965517 ; 0 ; 0.09375 ; 0 ; 0.134328 ; 0 ; 0
syntaxe bn:00062118n ; 0.153846 ; 0 ; 0 ; 0.136752 ; 0.10596 ; 0 ; 0 ; 0.131148 ; 0 ; 0 ; 0.0883978
case bn:04777941n ; 0.0833333 ; 0.0606061 ; 0 ; 0 ; 0 ; 0 ; 0.0645161 ; 0 ; 0 ; 0 ; 0.0462428
associer bn:00082868v ; 0 ; 0.0530303 ; 0.102941 ; 0 ; 0.048951 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0465116
personne bn:00046516n ; 0 ; 0.0606061 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0701754 ; 0 ; 0.123077 ; 0.0462428
structure de contrôle bn:00047734n ; 0.242647 ; 0 ; 0.236842 ; 0.246575 ; 0.220339 ; 0.2 ; 0.223602 ; 0 ; 0 ; 0 ; 0.23
méthode post bn:00045088n ; 0 ; 0 ; 0 ; 0 ; 0.132075 ; 0.147059 ; 0.158273 ; 0 ; 0.227848 ; 0.186047 ; 0.153846
fermeture bn:16858148n ; 0.23913 ; 0.217647 ; 0 ; 0 ; 0.217877 ; 0.227848 ; 0 ; 0.251656 ; 0 ; 0.22807 ; 0.233831
passwd bn:14874750n ; 0.011236 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
machine bn:00054050n ; 0 ; 0.03125 ; 0 ; 0.0380952 ; 0 ; 0.0347826 ; 0 ; 0 ; 0 ; 0 ; 0
