X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
C1 ; 1 ; 0.145631 ; 0.131737 ; 0.153005 ; 0.291262 ; 0.213115 ; 0.199052 ; 0.25 ; 0.035461 ; 0.062069 ; 0.244541
C12 ; 0.145631 ; 1 ; 0.137931 ; 0.222222 ; 0.294118 ; 0.205479 ; 0.282609 ; 0.304545 ; 0.18239 ; 0.12 ; 0.272374
C13 ; 0.131737 ; 0.137931 ; 1 ; 0.233533 ; 0.202765 ; 0.160428 ; 0.265306 ; 0.176471 ; 0.0291971 ; 0.0875912 ; 0.272727
C14 ; 0.153005 ; 0.222222 ; 0.233533 ; 1 ; 0.274775 ; 0.149038 ; 0.205357 ; 0.235849 ; 0.0723684 ; 0.089172 ; 0.247934
C16 ; 0.291262 ; 0.294118 ; 0.202765 ; 0.274775 ; 1 ; 0.278261 ; 0.382979 ; 0.32636 ; 0.117949 ; 0.0917874 ; 0.439516
C18 ; 0.213115 ; 0.205479 ; 0.160428 ; 0.149038 ; 0.278261 ; 1 ; 0.26009 ; 0.275701 ; 0.0943396 ; 0.130435 ; 0.36087
C2 ; 0.199052 ; 0.282609 ; 0.265306 ; 0.205357 ; 0.382979 ; 0.26009 ; 1 ; 0.266667 ; 0.184971 ; 0.0867347 ; 0.392713
C4 ; 0.25 ; 0.304545 ; 0.176471 ; 0.235849 ; 0.32636 ; 0.275701 ; 0.266667 ; 1 ; 0.0824176 ; 0.120219 ; 0.333333
C7 ; 0.035461 ; 0.18239 ; 0.0291971 ; 0.0723684 ; 0.117949 ; 0.0943396 ; 0.184971 ; 0.0824176 ; 1 ; 0.139785 ; 0.107477
C8 ; 0.062069 ; 0.12 ; 0.0875912 ; 0.089172 ; 0.0917874 ; 0.130435 ; 0.0867347 ; 0.120219 ; 0.139785 ; 1 ; 0.172249
C9 ; 0.244541 ; 0.272374 ; 0.272727 ; 0.247934 ; 0.439516 ; 0.36087 ; 0.392713 ; 0.333333 ; 0.107477 ; 0.172249 ; 1
