X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
page web bn:00080778n ; 0.0598131 ; 0.0431849 ; 0.0767386 ; 0.0657084 ; 0 ; 0.0577617 ; 0 ; 0 ; 0 ; 0.0756501 ; 0
page web statiques bn:03576307n ; 0.00198413 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0.475875 ; 0.670766 ; 0.364238 ; 0.430464 ; 0.402081 ; 0.493851 ; 0.508988 ; 0.534532 ; 0.346263 ; 0.369915 ; 0.443709
serveur web bn:02705179n ; 0.298898 ; 0.268212 ; 0.287051 ; 0.320059 ; 0.270191 ; 0.307065 ; 0.283465 ; 0.278626 ; 0 ; 0 ; 0.302292
fichier bn:00021475n ; 0.475875 ; 0.670766 ; 0.364238 ; 0.430464 ; 0.402081 ; 0.493851 ; 0.508988 ; 0.534532 ; 0.346263 ; 0.369915 ; 0.443709
disque dur bn:00073359n ; 0.0039604 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00543478 ; 0 ; 0
client bn:00019764n ; 0.348578 ; 0.429989 ; 0.302544 ; 0.325286 ; 0.329396 ; 0.329341 ; 0.356627 ; 0.362884 ; 0.303279 ; 0.278068 ; 0
client serveur bn:03496583n ; 0.0308285 ; 0 ; 0 ; 0.0339703 ; 0.0362812 ; 0.0297398 ; 0 ; 0 ; 0 ; 0 ; 0.0329897
base de donnée bn:00025333n ; 0.227205 ; 0.250914 ; 0.197615 ; 0 ; 0.204214 ; 0.235294 ; 0 ; 0.229805 ; 0.204225 ; 0.24386 ; 0.220155
donnée bn:00025314n ; 0.359164 ; 0.445424 ; 0.276843 ; 0 ; 0.30828 ; 0.374083 ; 0.331776 ; 0.382701 ; 0.290667 ; 0.349185 ; 0.337079
ensemble bn:00114766r ; 0.0039604 ; 0 ; 0 ; 0.00437637 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
php bn:01753580n ; 0.475875 ; 0.670766 ; 0.364238 ; 0.430464 ; 0.402081 ; 0.493851 ; 0.508988 ; 0.534532 ; 0.346263 ; 0.369915 ; 0.443709
javascript bn:00055423n ; 0.298898 ; 0.268212 ; 0.287051 ; 0.320059 ; 0.270191 ; 0.307065 ; 0.283465 ; 0.278626 ; 0 ; 0 ; 0.302292
perl bn:01723165n ; 0.0156556 ; 0.0111576 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0139616 ; 0 ; 0 ; 0.0167715
python bn:01713224n ; 0.00198413 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
java bn:00048043n ; 0.0933573 ; 0.0852197 ; 0.0935412 ; 0.104331 ; 0.10395 ; 0 ; 0.0878378 ; 0 ; 0.113208 ; 0 ; 0
code bn:00020354n ; 0.475875 ; 0.670766 ; 0.364238 ; 0.430464 ; 0.402081 ; 0.493851 ; 0.508988 ; 0.534532 ; 0.346263 ; 0.369915 ; 0.443709
code source bn:00072947n ; 0.0156556 ; 0.0111576 ; 0.0203562 ; 0.0172786 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
