X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
C1 ; 1 ; 0.393103 ; 0.266762 ; 0.282463 ; 0.26776 ; 0.322581 ; 0.341495 ; 0.351899 ; 0.252161 ; 0.246862 ; 0.294274
C12 ; 0.393103 ; 1 ; 0.345633 ; 0.355064 ; 0.401731 ; 0.408467 ; 0.431688 ; 0.469435 ; 0.416337 ; 0.344743 ; 0.371362
C13 ; 0.266762 ; 0.345633 ; 1 ; 0.255605 ; 0.182482 ; 0.279267 ; 0.269601 ; 0.366906 ; 0.178964 ; 0.199382 ; 0.228777
C14 ; 0.282463 ; 0.355064 ; 0.255605 ; 1 ; 0.262554 ; 0.283837 ; 0.343708 ; 0.311054 ; 0.219911 ; 0.188202 ; 0.274483
C16 ; 0.26776 ; 0.401731 ; 0.182482 ; 0.262554 ; 1 ; 0.306207 ; 0.292617 ; 0.287386 ; 0.253566 ; 0.208889 ; 0.241667
C18 ; 0.322581 ; 0.408467 ; 0.279267 ; 0.283837 ; 0.306207 ; 1 ; 0.335013 ; 0.379442 ; 0.254237 ; 0.25931 ; 0.331989
C2 ; 0.341495 ; 0.431688 ; 0.269601 ; 0.343708 ; 0.292617 ; 0.335013 ; 1 ; 0.397972 ; 0.266106 ; 0.295676 ; 0.31634
C4 ; 0.351899 ; 0.469435 ; 0.366906 ; 0.311054 ; 0.287386 ; 0.379442 ; 0.397972 ; 1 ; 0.277092 ; 0.313187 ; 0.332474
C7 ; 0.252161 ; 0.416337 ; 0.178964 ; 0.219911 ; 0.253566 ; 0.254237 ; 0.266106 ; 0.277092 ; 1 ; 0.226904 ; 0.208394
C8 ; 0.246862 ; 0.344743 ; 0.199382 ; 0.188202 ; 0.208889 ; 0.25931 ; 0.295676 ; 0.313187 ; 0.226904 ; 1 ; 0.260997
C9 ; 0.294274 ; 0.371362 ; 0.228777 ; 0.274483 ; 0.241667 ; 0.331989 ; 0.31634 ; 0.332474 ; 0.208394 ; 0.260997 ; 1
