X ; fichier bn:00021475n ; client bn:00019764n ; php bn:01753580n ; chaîne bn:00074685n ; script bn:01431715n ; serveur bn:00044916n ; type bn:00016413n
fichier bn:00021475n ; 1 ; 0.666667 ; 0.666667 ; 0.666667 ; 0.4 ; 0.333333 ; 0.666667
client bn:00019764n ; 0.666667 ; 1 ; 0.5 ; 0.5 ; 0.333333 ; 0.25 ; 0.5
php bn:01753580n ; 0.666667 ; 0.5 ; 1 ; 0.5 ; 0.6 ; 0.25 ; 0.5
chaîne bn:00074685n ; 0.666667 ; 0.5 ; 0.5 ; 1 ; 0.333333 ; 0.25 ; 0.5
script bn:01431715n ; 0.4 ; 0.333333 ; 0.6 ; 0.333333 ; 1 ; 0.4 ; 0.333333
serveur bn:00044916n ; 0.333333 ; 0.25 ; 0.25 ; 0.25 ; 0.4 ; 1 ; 0.25
type bn:00016413n ; 0.666667 ; 0.5 ; 0.5 ; 0.5 ; 0.333333 ; 0.25 ; 1
