X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
navigateur bn:00013447n ; 0 ; 0.252874 ; 0.224138 ; 0.257576 ; 0.304348 ; 0 ; 0.223684 ; 0 ; 0.180328 ; 0.186441 ; 0.2375
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0.114286 ; 0.0952381 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0784314
client bn:00019764n ; 0.184211 ; 0.107692 ; 0 ; 0.179487 ; 0 ; 0 ; 0 ; 0.140351 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0.126984 ; 0 ; 0 ; 0.130435 ; 0 ; 0 ; 0.103448 ; 0.259259 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0.208955 ; 0 ; 0 ; 0.24 ; 0 ; 0.181818 ; 0.15625 ; 0.294118 ; 0 ; 0
php bn:01753580n ; 0 ; 0 ; 0.130435 ; 0.117647 ; 0.0714286 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0.148148 ; 0 ; 0 ; 0.131579 ; 0 ; 0.107143 ; 0 ; 0 ; 0.113208
texte bn:00076732n ; 0 ; 0.0655738 ; 0 ; 0 ; 0.0952381 ; 0 ; 0 ; 0 ; 0.166667 ; 0 ; 0
concerner bn:00083240v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.114286 ; 0 ; 0.0740741 ; 0.166667 ; 0 ; 0
commentaire bn:00020978n ; 0.235294 ; 0.25 ; 0 ; 0 ; 0.267857 ; 0 ; 0 ; 0.185714 ; 0 ; 0.214286 ; 0.230769
délimiter bn:00086464v ; 0 ; 0.0666667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0555556 ; 0 ; 0.136364 ; 0
gras bn:00011848n ; 0.0882353 ; 0 ; 0.130435 ; 0 ; 0 ; 0 ; 0 ; 0.0754717 ; 0 ; 0 ; 0
case à cocher bn:03157691n ; 0.255814 ; 0 ; 0 ; 0.195652 ; 0 ; 0.25 ; 0 ; 0.193548 ; 0 ; 0 ; 0.163934
post bn:01500184n ; 0 ; 0.144928 ; 0.322581 ; 0.177778 ; 0 ; 0 ; 0.145455 ; 0 ; 0 ; 0 ; 0.169492
nombre bn:00058285n ; 0 ; 0.164179 ; 0 ; 0.209302 ; 0 ; 0 ; 0 ; 0.126984 ; 0.242424 ; 0.258065 ; 0
text bn:14981519n ; 0.269231 ; 0.24 ; 0 ; 0 ; 0.193548 ; 0.218182 ; 0.262295 ; 0.228571 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.108108 ; 0 ; 0 ; 0 ; 0.139535 ; 0 ; 0 ; 0 ; 0 ; 0.16 ; 0.0943396
zones bn:00005513n ; 0 ; 0 ; 0.0952381 ; 0.0606061 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0.171429 ; 0 ; 0.217391 ; 0 ; 0.244444 ; 0 ; 0.190476 ; 0 ; 0 ; 0.180328
case bn:04777941n ; 0.210526 ; 0.123077 ; 0 ; 0 ; 0 ; 0 ; 0.163265 ; 0 ; 0 ; 0 ; 0.145455
méthode post bn:00045088n ; 0 ; 0 ; 0 ; 0 ; 0.22 ; 0.148936 ; 0.185185 ; 0 ; 0.194444 ; 0.171429 ; 0.147541
passwd bn:14874750n ; 0.0322581 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
machine bn:00054050n ; 0 ; 0.0655738 ; 0 ; 0.114286 ; 0 ; 0.114286 ; 0 ; 0 ; 0 ; 0 ; 0
mysql bn:01225760n ; 0 ; 0.109375 ; 0.222222 ; 0.184211 ; 0 ; 0 ; 0 ; 0.103448 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0526316 ; 0
jour bn:00000086n ; 0.117647 ; 0 ; 0 ; 0.114286 ; 0 ; 0.114286 ; 0 ; 0 ; 0 ; 0 ; 0
programmation bn:00021493n ; 0.230769 ; 0 ; 0.177778 ; 0 ; 0 ; 0.27451 ; 0.229508 ; 0.253731 ; 0 ; 0 ; 0.246154
site bn:00047172n ; 0.184211 ; 0.125 ; 0 ; 0 ; 0.152174 ; 0 ; 0.142857 ; 0 ; 0 ; 0 ; 0
paris bn:00015540n ; 0 ; 0.0338983 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0408163
france bn:00036202n ; 0 ; 0.0338983 ; 0 ; 0 ; 0 ; 0 ; 0.0465116 ; 0 ; 0 ; 0 ; 0
programmation web bn:03446093n ; 0 ; 0.0338983 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
session bn:03751534n ; 0 ; 0.0172414 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.0606061 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.1 ; 0
côté client bn:03163702n ; 0 ; 0.0655738 ; 0 ; 0.114286 ; 0 ; 0.114286 ; 0 ; 0 ; 0 ; 0 ; 0
script bn:01431715n ; 0 ; 0 ; 0.24 ; 0.162162 ; 0.111111 ; 0 ; 0.104167 ; 0 ; 0 ; 0 ; 0
interpréter bn:00089840v ; 0 ; 0.0338983 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.1 ; 0
serveur bn:00044916n ; 0 ; 0.181818 ; 0 ; 0 ; 0.204082 ; 0 ; 0 ; 0.126984 ; 0 ; 0.21875 ; 0.172414
type bn:00016413n ; 0 ; 0 ; 0 ; 0.0606061 ; 0 ; 0 ; 0 ; 0 ; 0.0909091 ; 0 ; 0
opérateurs bn:16281811n ; 0 ; 0.0338983 ; 0 ; 0 ; 0.05 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
pointeur bn:03222272n ; 0 ; 0.0338983 ; 0 ; 0 ; 0 ; 0.0606061 ; 0 ; 0 ; 0 ; 0 ; 0
cle bn:04756252n ; 0 ; 0.231884 ; 0 ; 0 ; 0.222222 ; 0 ; 0.254545 ; 0.181818 ; 0 ; 0 ; 0.229508
conditionnelles bn:00100214a ; 0 ; 0.0338983 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0408163
foreach bn:03463379n ; 0 ; 0.178082 ; 0 ; 0 ; 0 ; 0.276596 ; 0.25 ; 0.253968 ; 0 ; 0 ; 0.225806
couleurs bn:00020726n ; 0 ; 0.0655738 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0784314
classes bn:03608262n ; 0 ; 0.0338983 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0408163
fonctionnalité bn:00036836n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.03125 ; 0 ; 0 ; 0 ; 0 ; 0
class bn:03598962n ; 0 ; 0.0655738 ; 0.173913 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0784314
header bn:00043309n ; 0 ; 0.0338983 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0408163
visiteur bn:03106425n ; 0 ; 0.0655738 ; 0 ; 0.114286 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.181818 ; 0
sauvegarder bn:00093281v ; 0 ; 0.0172414 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
null bn:15898583n ; 0 ; 0.0655738 ; 0 ; 0 ; 0.0952381 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0784314
web bn:00080772n ; 0 ; 0.0338983 ; 0 ; 0 ; 0 ; 0.0606061 ; 0 ; 0 ; 0 ; 0 ; 0
positionnement bn:00030615n ; 0 ; 0.0172414 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
affiche bn:00087013v ; 0 ; 0.0666667 ; 0 ; 0 ; 0.0714286 ; 0 ; 0 ; 0.0555556 ; 0 ; 0 ; 0
casse bn:03225002n ; 0 ; 0.0338983 ; 0 ; 0.0606061 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
système bn:15125301n ; 0 ; 0.0655738 ; 0 ; 0 ; 0.0952381 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0784314
exe bn:14503132n ; 0 ; 0 ; 0.05 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
menu bn:00021485n ; 0 ; 0 ; 0 ; 0.0606061 ; 0 ; 0.0606061 ; 0 ; 0 ; 0 ; 0 ; 0
id bn:03885719n ; 0 ; 0 ; 0 ; 0 ; 0.05 ; 0 ; 0 ; 0 ; 0 ; 0.1 ; 0
mysqli bn:01438356n ; 0 ; 0 ; 0 ; 0.0606061 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0408163
head bn:02338897n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0196078 ; 0 ; 0 ; 0
attribut bn:00007068n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0208333
valeur bn:00079508n ; 0 ; 0 ; 0 ; 0 ; 0.025641 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
moteur bn:00030850n ; 0 ; 0 ; 0 ; 0 ; 0.025641 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
timestamp bn:03603649n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0606061 ; 0.0465116 ; 0 ; 0 ; 0 ; 0
accéder bn:00082209v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0208333
