X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
C1 ; 1 ; 0.272727 ; 0.0833333 ; 0.111111 ; 0.157895 ; 0.222222 ; 0.25 ; 0.222222 ; 0.0769231 ; 0.0909091 ; 0.1
C12 ; 0.272727 ; 1 ; 0.08 ; 0.172414 ; 0.333333 ; 0.136364 ; 0.26087 ; 0.636364 ; 0.217391 ; 0.130435 ; 0.0869565
C13 ; 0.0833333 ; 0.08 ; 1 ; 0.357143 ; 0.166667 ; 0.111111 ; 0.166667 ; 0.105263 ; 0.0833333 ; 0.1 ; 0.111111
C14 ; 0.111111 ; 0.172414 ; 0.357143 ; 1 ; 0.217391 ; 0.0625 ; 0.105263 ; 0.217391 ; 0.176471 ; 0.2 ; 0.133333
C16 ; 0.157895 ; 0.333333 ; 0.166667 ; 0.217391 ; 1 ; 0.117647 ; 0.533333 ; 0.25 ; 0.157895 ; 0.0526316 ; 0.117647
C18 ; 0.222222 ; 0.136364 ; 0.111111 ; 0.0625 ; 0.117647 ; 1 ; 0.2 ; 0.117647 ; 0.1 ; 0.125 ; 0.142857
C2 ; 0.25 ; 0.26087 ; 0.166667 ; 0.105263 ; 0.533333 ; 0.2 ; 1 ; 0.210526 ; 0.153846 ; 0.0833333 ; 0.0909091
C4 ; 0.222222 ; 0.636364 ; 0.105263 ; 0.217391 ; 0.25 ; 0.117647 ; 0.210526 ; 1 ; 0.294118 ; 0.176471 ; 0.0555556
C7 ; 0.0769231 ; 0.217391 ; 0.0833333 ; 0.176471 ; 0.157895 ; 0.1 ; 0.153846 ; 0.294118 ; 1 ; 0.2 ; 0.1
C8 ; 0.0909091 ; 0.130435 ; 0.1 ; 0.2 ; 0.0526316 ; 0.125 ; 0.0833333 ; 0.176471 ; 0.2 ; 1 ; 0.125
C9 ; 0.1 ; 0.0869565 ; 0.111111 ; 0.133333 ; 0.117647 ; 0.142857 ; 0.0909091 ; 0.0555556 ; 0.1 ; 0.125 ; 1
