X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
page web bn:00080778n ; 0 ; 0.0394737 ; 0.0361842 ; 0.0427632 ; 0 ; 0.0394737 ; 0 ; 0 ; 0 ; 0.0361842 ; 0
navigateur bn:00013447n ; 0 ; 0.131579 ; 0.0822368 ; 0.125 ; 0.138158 ; 0 ; 0.131579 ; 0 ; 0.0921053 ; 0.0756579 ; 0.154605
serveur web bn:02705179n ; 0 ; 0.197368 ; 0.134868 ; 0.190789 ; 0.190789 ; 0.167763 ; 0.174342 ; 0.177632 ; 0 ; 0 ; 0.233553
fichier bn:00021475n ; 0.0361842 ; 0 ; 0.0361842 ; 0.0427632 ; 0.0427632 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0460526
client bn:00019764n ; 0.0230263 ; 0.0230263 ; 0 ; 0.0230263 ; 0 ; 0 ; 0 ; 0.0263158 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0.0263158 ; 0 ; 0 ; 0.0230263 ; 0 ; 0 ; 0.0230263 ; 0.0230263 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0.0526316 ; 0 ; 0 ; 0.0427632 ; 0 ; 0.0427632 ; 0.0394737 ; 0.0427632 ; 0 ; 0
php bn:01753580n ; 0 ; 0 ; 0.0592105 ; 0.0723684 ; 0.0690789 ; 0.0625 ; 0 ; 0.0657895 ; 0 ; 0 ; 0.0855263
javascript bn:00055423n ; 0.154605 ; 0.180921 ; 0.125 ; 0.190789 ; 0.200658 ; 0 ; 0.171053 ; 0.174342 ; 0 ; 0 ; 0.207237
code bn:00020354n ; 0 ; 0 ; 0.0230263 ; 0 ; 0 ; 0.0230263 ; 0 ; 0.0230263 ; 0 ; 0 ; 0.0263158
texte bn:00076732n ; 0 ; 0.0789474 ; 0 ; 0.0625 ; 0.0756579 ; 0.0657895 ; 0 ; 0 ; 0.0592105 ; 0 ; 0.0855263
concerner bn:00083240v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0131579 ; 0 ; 0.0131579 ; 0.0131579 ; 0 ; 0
commentaire bn:00020978n ; 0.0625 ; 0.0723684 ; 0 ; 0 ; 0.0723684 ; 0 ; 0 ; 0.0723684 ; 0 ; 0.0526316 ; 0.0855263
délimiter bn:00086464v ; 0 ; 0.0131579 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0131579 ; 0 ; 0.0131579 ; 0
gras bn:00011848n ; 0.0131579 ; 0 ; 0.0131579 ; 0 ; 0 ; 0 ; 0 ; 0.0131579 ; 0 ; 0 ; 0
fois bn:00032768n ; 0.0953947 ; 0.128289 ; 0 ; 0 ; 0.144737 ; 0.118421 ; 0.138158 ; 0 ; 0.0855263 ; 0 ; 0.148026
lien hypertextes bn:00045513n ; 0.0888158 ; 0 ; 0.0789474 ; 0 ; 0 ; 0.105263 ; 0.0986842 ; 0.0986842 ; 0 ; 0.0625 ; 0.134868
url bn:00079080n ; 0.134868 ; 0.144737 ; 0 ; 0.138158 ; 0.164474 ; 0.134868 ; 0 ; 0.157895 ; 0 ; 0 ; 0.174342
