X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
page web bn:00080778n ; 0 ; 0 ; 0.0851064 ; 0 ; 0.0733945 ; 0.0776699 ; 0 ; 0.148148 ; 0
navigateur bn:00013447n ; 0 ; 0.275229 ; 0.284553 ; 0 ; 0.253623 ; 0.314961 ; 0.255814 ; 0.282609 ; 0.276423
serveur web bn:02705179n ; 0 ; 0.242424 ; 0.245614 ; 0.26 ; 0.217054 ; 0.227642 ; 0 ; 0 ; 0.226087
fichier bn:00021475n ; 0.133333 ; 0 ; 0 ; 0 ; 0.123894 ; 0.12037 ; 0 ; 0.16129 ; 0.14433
client bn:00019764n ; 0.0634921 ; 0 ; 0.0444444 ; 0.0540541 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0752688 ; 0.0769231 ; 0.0747664 ; 0 ; 0.136364 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0.17284 ; 0.14 ; 0.139535 ; 0.141593 ; 0 ; 0.230769 ; 0 ; 0
php bn:01753580n ; 0.213333 ; 0 ; 0.156863 ; 0.186047 ; 0 ; 0.144144 ; 0 ; 0 ; 0.158416
code bn:00020354n ; 0.272727 ; 0.27619 ; 0 ; 0.268519 ; 0.292308 ; 0.285714 ; 0.157303 ; 0 ; 0.235772
texte bn:00076732n ; 0 ; 0.324324 ; 0.31746 ; 0.293103 ; 0.321168 ; 0.296296 ; 0.26087 ; 0 ; 0.240602
concerner bn:00083240v ; 0 ; 0 ; 0.14 ; 0.139535 ; 0.141593 ; 0.12844 ; 0.230769 ; 0 ; 0
commentaire bn:00020978n ; 0.213483 ; 0 ; 0.216216 ; 0.239583 ; 0.209677 ; 0 ; 0 ; 0.217949 ; 0.240741
délimiter bn:00086464v ; 0 ; 0 ; 0.0851064 ; 0.102564 ; 0 ; 0.0776699 ; 0 ; 0.148148 ; 0
fois bn:00032768n ; 0.285714 ; 0.336449 ; 0.306452 ; 0 ; 0.273381 ; 0.325581 ; 0.191489 ; 0 ; 0.248062
url bn:00079080n ; 0.213333 ; 0 ; 0.156863 ; 0.186047 ; 0.136752 ; 0 ; 0 ; 0 ; 0.158416
case à cocher bn:03157691n ; 0.119403 ; 0 ; 0 ; 0.102564 ; 0 ; 0.0776699 ; 0 ; 0 ; 0.0860215
post bn:01500184n ; 0 ; 0.168675 ; 0.148515 ; 0 ; 0.119658 ; 0.146789 ; 0 ; 0 ; 0.138614
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0769231 ; 0.0747664 ; 0 ; 0.136364 ; 0.132075 ; 0
text bn:14981519n ; 0.314607 ; 0.262626 ; 0.252174 ; 0.254902 ; 0.251969 ; 0.224 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.302752 ; 0.260504 ; 0.330709 ; 0 ; 0.304965 ; 0.358779 ; 0 ; 0.240385 ; 0.344
