X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
fichier bn:00021475n ; 0.0410959 ; 0 ; 0 ; 0 ; 0 ; 0.0547945 ; 0 ; 0 ; 0.0410959
client bn:00019764n ; 0.0410959 ; 0 ; 0.0547945 ; 0.0410959 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0958904 ; 0.0821918 ; 0.109589 ; 0 ; 0.0821918 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0.0958904 ; 0.164384 ; 0.109589 ; 0.164384 ; 0 ; 0.109589 ; 0 ; 0
php bn:01753580n ; 0 ; 0 ; 0.109589 ; 0.109589 ; 0 ; 0.109589 ; 0 ; 0 ; 0.109589
code bn:00020354n ; 0 ; 0 ; 0 ; 0.0547945 ; 0 ; 0.0547945 ; 0 ; 0 ; 0.0547945
texte bn:00076732n ; 0 ; 0 ; 0 ; 0 ; 0.0547945 ; 0.0547945 ; 0.0547945 ; 0 ; 0
délimiter bn:00086464v ; 0 ; 0 ; 0.109589 ; 0.0958904 ; 0 ; 0.0821918 ; 0 ; 0.0821918 ; 0
post bn:01500184n ; 0 ; 0.150685 ; 0.191781 ; 0 ; 0.150685 ; 0.164384 ; 0 ; 0 ; 0.123288
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0821918 ; 0.0958904 ; 0 ; 0.0684932 ; 0.0821918 ; 0
text bn:14981519n ; 0.0958904 ; 0.150685 ; 0.246575 ; 0.136986 ; 0.191781 ; 0.191781 ; 0 ; 0 ; 0
zones bn:00005513n ; 0 ; 0 ; 0.0273973 ; 0 ; 0 ; 0.0273973 ; 0 ; 0 ; 0
personne bn:00046516n ; 0 ; 0 ; 0.150685 ; 0.150685 ; 0.123288 ; 0 ; 0 ; 0.136986 ; 0.136986
méthode post bn:00045088n ; 0 ; 0.109589 ; 0.205479 ; 0 ; 0 ; 0.150685 ; 0.0958904 ; 0.0958904 ; 0.123288
machine bn:00054050n ; 0 ; 0 ; 0.0547945 ; 0 ; 0.0547945 ; 0.0547945 ; 0 ; 0 ; 0
mysql bn:01225760n ; 0 ; 0 ; 0.109589 ; 0.0958904 ; 0.0958904 ; 0.0958904 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0136986 ; 0
jour bn:00000086n ; 0.0547945 ; 0 ; 0.0547945 ; 0 ; 0 ; 0.0547945 ; 0 ; 0 ; 0
site bn:00047172n ; 0.0410959 ; 0.0684932 ; 0.0821918 ; 0 ; 0.0684932 ; 0 ; 0 ; 0 ; 0
france bn:00036202n ; 0 ; 0.0136986 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
langage de script bn:01431715n ; 0 ; 0.0547945 ; 0 ; 0 ; 0.0547945 ; 0.0547945 ; 0 ; 0 ; 0
interpréter bn:00089840v ; 0 ; 0 ; 0 ; 0 ; 0.0273973 ; 0 ; 0 ; 0.0273973 ; 0
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0136986 ; 0 ; 0 ; 0
côté client bn:03163702n ; 0 ; 0 ; 0.0547945 ; 0 ; 0.0547945 ; 0.0547945 ; 0 ; 0 ; 0
typage bn:00016413n ; 0 ; 0 ; 0.109589 ; 0 ; 0.109589 ; 0.109589 ; 0.109589 ; 0 ; 0
pointeur bn:03222272n ; 0 ; 0 ; 0.0136986 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
list bn:04720346n ; 0 ; 0.0410959 ; 0.0547945 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0410959
casse bn:03225002n ; 0 ; 0 ; 0 ; 0 ; 0.0136986 ; 0 ; 0 ; 0 ; 0
timestamp bn:03603649n ; 0 ; 0.0547945 ; 0 ; 0 ; 0.0547945 ; 0.0547945 ; 0 ; 0 ; 0
session bn:03751534n ; 0 ; 0 ; 0.0547945 ; 0 ; 0.0547945 ; 0.0547945 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0 ; 0.0273973 ; 0 ; 0 ; 0.0273973 ; 0
opérateur bn:16281811n ; 0 ; 0 ; 0.0136986 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
moteur bn:00030850n ; 0 ; 0 ; 0.0547945 ; 0 ; 0.0547945 ; 0.0547945 ; 0 ; 0 ; 0
xml bn:02771436n ; 0 ; 0 ; 0.0273973 ; 0 ; 0 ; 0.0273973 ; 0 ; 0 ; 0
entête bn:00043309n ; 0 ; 0 ; 0.0547945 ; 0 ; 0 ; 0.0547945 ; 0 ; 0 ; 0.0547945
echo bn:03626250n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0136986 ; 0 ; 0 ; 0
files bn:00065682n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0273973 ; 0.0273973 ; 0 ; 0
class bn:03598962n ; 0 ; 0 ; 0 ; 0 ; 0.0273973 ; 0 ; 0 ; 0 ; 0.0273973
affiche bn:00087013v ; 0 ; 0 ; 0.0547945 ; 0.0547945 ; 0 ; 0.0547945 ; 0 ; 0 ; 0
configuration bn:03088982n ; 0 ; 0 ; 0.0273973 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0273973
insert bn:03795444n ; 0 ; 0 ; 0.0547945 ; 0 ; 0 ; 0 ; 0 ; 0.0547945 ; 0.0547945
varchar bn:01838409n ; 0 ; 0 ; 0.0273973 ; 0 ; 0.0273973 ; 0 ; 0 ; 0 ; 0
transaction bn:01403911n ; 0 ; 0 ; 0.0273973 ; 0 ; 0.0273973 ; 0 ; 0 ; 0 ; 0
valeur bn:00079508n ; 0 ; 0 ; 0.0136986 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
visiteur bn:03106425n ; 0 ; 0 ; 0.0547945 ; 0 ; 0 ; 0.0410959 ; 0 ; 0.0410959 ; 0
composer bn:14766022n ; 0 ; 0 ; 0 ; 0.0273973 ; 0 ; 0.0273973 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.0547945 ; 0 ; 0 ; 0 ; 0.0547945 ; 0.0547945
mysqli bn:01438356n ; 0 ; 0 ; 0 ; 0 ; 0.0273973 ; 0 ; 0 ; 0 ; 0.0273973
null bn:15898583n ; 0 ; 0 ; 0 ; 0 ; 0.0273973 ; 0 ; 0 ; 0 ; 0.0273973
généralité bn:00041249n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0136986 ; 0 ; 0 ; 0
autre bn:00108013a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0136986 ; 0 ; 0 ; 0
avoir accès bn:00082209v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0273973 ; 0 ; 0 ; 0.0273973
bienvenue bn:00080852n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0136986 ; 0 ; 0 ; 0
paris bn:00015540n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0136986
