X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
C1 ; 1 ; 0.268293 ; 0.23913 ; 0.234783 ; 0.304 ; 0.289062 ; 0.163636 ; 0.171429 ; 0.248062
C2 ; 0.268293 ; 1 ; 0.366412 ; 0.282051 ; 0.248175 ; 0.300752 ; 0.236364 ; 0.201835 ; 0.280303
C3 ; 0.23913 ; 0.366412 ; 1 ; 0.269231 ; 0.347826 ; 0.333333 ; 0.324561 ; 0.15873 ; 0.295775
C4 ; 0.234783 ; 0.282051 ; 0.269231 ; 1 ; 0.256 ; 0.251969 ; 0.150943 ; 0.103774 ; 0.25
C5 ; 0.304 ; 0.248175 ; 0.347826 ; 0.256 ; 1 ; 0.47541 ; 0.211864 ; 0.121951 ; 0.353846
C6 ; 0.289062 ; 0.300752 ; 0.333333 ; 0.251969 ; 0.47541 ; 1 ; 0.198347 ; 0.138211 ; 0.318519
C7 ; 0.163636 ; 0.236364 ; 0.324561 ; 0.150943 ; 0.211864 ; 0.198347 ; 1 ; 0.131868 ; 0.194915
C8 ; 0.171429 ; 0.201835 ; 0.15873 ; 0.103774 ; 0.121951 ; 0.138211 ; 0.131868 ; 1 ; 0.192982
C9 ; 0.248062 ; 0.280303 ; 0.295775 ; 0.25 ; 0.353846 ; 0.318519 ; 0.194915 ; 0.192982 ; 1
