X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
page web bn:00080778n ; 0 ; 0 ; 0.0625 ; 0 ; 0.0601504 ; 0.064 ; 0 ; 0.0842105 ; 0
page web statiques bn:03576307n ; 0.0103093 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0 ; 0.371859 ; 0.371287 ; 0.323077 ; 0.355769 ; 0.356436 ; 0.337079 ; 0.291005 ; 0.40099
serveur web bn:02705179n ; 0 ; 0.175676 ; 0.186667 ; 0.195489 ; 0.180645 ; 0.206897 ; 0 ; 0 ; 0.187097
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0 ; 0.0310078 ; 0 ; 0.0470588 ; 0.043956 ; 0
disque dur bn:00073359n ; 0.04 ; 0 ; 0 ; 0 ; 0 ; 0.0330579 ; 0.0470588 ; 0 ; 0
client serveur bn:03496583n ; 0.0769231 ; 0 ; 0 ; 0 ; 0.0601504 ; 0.064 ; 0 ; 0 ; 0.0597015
base de donnée bn:00025333n ; 0.04 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.043956 ; 0.0307692
donnée bn:00025314n ; 0.0103093 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
ensemble bn:00114766r ; 0.0103093 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
php bn:01753580n ; 0.0204082 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0240964 ; 0 ; 0
javascript bn:00055423n ; 0.318182 ; 0.259887 ; 0.282486 ; 0.283951 ; 0.303371 ; 0.333333 ; 0 ; 0 ; 0.28022
perl bn:01723165n ; 0.133929 ; 0 ; 0.110294 ; 0.128205 ; 0.114286 ; 0 ; 0 ; 0 ; 0.105634
python bn:01713224n ; 0.0769231 ; 0 ; 0.0625 ; 0 ; 0.0601504 ; 0.064 ; 0 ; 0 ; 0
java bn:00048043n ; 0.1875 ; 0.194444 ; 0.189189 ; 0 ; 0.183007 ; 0.193103 ; 0.212389 ; 0 ; 0
code bn:00020354n ; 0.107143 ; 0.107692 ; 0.104478 ; 0 ; 0.100719 ; 0 ; 0.123711 ; 0 ; 0
code source bn:00072947n ; 0.04 ; 0 ; 0 ; 0 ; 0.0310078 ; 0.0330579 ; 0 ; 0 ; 0
fichier texte bn:00028018n ; 0.255034 ; 0.262195 ; 0.271084 ; 0.22293 ; 0.263158 ; 0.276074 ; 0.255474 ; 0 ; 0
texte bn:00076732n ; 0 ; 0.0645161 ; 0.0625 ; 0.0733945 ; 0 ; 0 ; 0 ; 0 ; 0.0597015
mise en forme bn:01681906n ; 0.0204082 ; 0 ; 0 ; 0.0194175 ; 0 ; 0 ; 0 ; 0 ; 0
concerner bn:00083240v ; 0 ; 0 ; 0.104478 ; 0.102564 ; 0.100719 ; 0.10687 ; 0.123711 ; 0 ; 0
commentaire bn:00020978n ; 0.214286 ; 0 ; 0.18 ; 0.19697 ; 0.181818 ; 0 ; 0 ; 0.220339 ; 0.188312
affichage bn:00010421n ; 0.323232 ; 0.368932 ; 0.38835 ; 0.328358 ; 0.419512 ; 0.422111 ; 0.31383 ; 0 ; 0.345622
gras bn:00011848n ; 0.04 ; 0 ; 0.0322581 ; 0.0380952 ; 0 ; 0 ; 0 ; 0 ; 0
fois bn:00032768n ; 0.25641 ; 0.285714 ; 0.28655 ; 0 ; 0.300578 ; 0.299401 ; 0.274648 ; 0 ; 0.241758
chemin bn:03131414n ; 0.0769231 ; 0 ; 0 ; 0 ; 0.0601504 ; 0.064 ; 0 ; 0 ; 0.0597015
lien hypertextes bn:00045513n ; 0.287671 ; 0.223529 ; 0 ; 0.269737 ; 0.24 ; 0.259036 ; 0 ; 0.243056 ; 0.289941
url bn:00079080n ; 0.133929 ; 0 ; 0.110294 ; 0.128205 ; 0.114286 ; 0 ; 0 ; 0 ; 0.105634
textuels bn:00111786a ; 0.0103093 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
case à cocher bn:03157691n ; 0.0769231 ; 0 ; 0 ; 0.0733945 ; 0 ; 0.064 ; 0 ; 0 ; 0.0597015
page web dynamique bn:00937946n ; 0.0204082 ; 0 ; 0 ; 0 ; 0 ; 0.0168067 ; 0 ; 0 ; 0
post bn:01500184n ; 0.04 ; 0 ; 0 ; 0.0380952 ; 0 ; 0 ; 0.0470588 ; 0 ; 0
champ de saisie bn:03113401n ; 0.142857 ; 0.121212 ; 0 ; 0.136752 ; 0 ; 0 ; 0 ; 0.15534 ; 0.112676
size bn:03645138n ; 0.0769231 ; 0 ; 0.0625 ; 0 ; 0.0601504 ; 0 ; 0 ; 0.0842105 ; 0
