X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
C1 ; 1 ; 0.211538 ; 0.26087 ; 0.228571 ; 0.300813 ; 0.283333 ; 0.043956 ; 0.0824742 ; 0.274336
C2 ; 0.211538 ; 1 ; 0.275 ; 0.191304 ; 0.322835 ; 0.361345 ; 0.256098 ; 0.107843 ; 0.299145
C3 ; 0.26087 ; 0.275 ; 1 ; 0.268293 ; 0.355072 ; 0.350746 ; 0.150943 ; 0.2 ; 0.325581
C4 ; 0.228571 ; 0.191304 ; 0.268293 ; 1 ; 0.357143 ; 0.259542 ; 0.12766 ; 0.148515 ; 0.260163
C5 ; 0.300813 ; 0.322835 ; 0.355072 ; 0.357143 ; 1 ; 0.410072 ; 0.223214 ; 0.235294 ; 0.367647
C6 ; 0.283333 ; 0.361345 ; 0.350746 ; 0.259542 ; 0.410072 ; 1 ; 0.190909 ; 0.226087 ; 0.44
C7 ; 0.043956 ; 0.256098 ; 0.150943 ; 0.12766 ; 0.223214 ; 0.190909 ; 1 ; 0.123288 ; 0.141509
C8 ; 0.0824742 ; 0.107843 ; 0.2 ; 0.148515 ; 0.235294 ; 0.226087 ; 0.123288 ; 1 ; 0.29703
C9 ; 0.274336 ; 0.299145 ; 0.325581 ; 0.260163 ; 0.367647 ; 0.44 ; 0.141509 ; 0.29703 ; 1
