X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
page web bn:00080778n ; 0 ; 0 ; 0.0479042 ; 0 ; 0.0479042 ; 0.0479042 ; 0 ; 0.0479042 ; 0
navigateur bn:00013447n ; 0 ; 0.155689 ; 0.209581 ; 0 ; 0.209581 ; 0.239521 ; 0.155689 ; 0.131737 ; 0.203593
serveur web bn:02705179n ; 0 ; 0.143713 ; 0.167665 ; 0.155689 ; 0.167665 ; 0.167665 ; 0 ; 0 ; 0.155689
fichier bn:00021475n ; 0.0598802 ; 0 ; 0 ; 0 ; 0.0838323 ; 0.0778443 ; 0 ; 0.0598802 ; 0.0838323
client bn:00019764n ; 0.0239521 ; 0 ; 0.0239521 ; 0.0239521 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0419162 ; 0.0359281 ; 0.0479042 ; 0 ; 0.0359281 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0.0838323 ; 0.0838323 ; 0.0718563 ; 0.0958084 ; 0 ; 0.0718563 ; 0 ; 0
php bn:01753580n ; 0.0958084 ; 0 ; 0.0958084 ; 0.0958084 ; 0 ; 0.0958084 ; 0 ; 0 ; 0.0958084
code bn:00020354n ; 0 ; 0 ; 0 ; 0.0239521 ; 0 ; 0.0239521 ; 0 ; 0 ; 0.0239521
texte bn:00076732n ; 0 ; 0 ; 0.0838323 ; 0 ; 0.0838323 ; 0.0958084 ; 0.0718563 ; 0 ; 0.0718563
concerner bn:00083240v ; 0 ; 0 ; 0.0838323 ; 0.0718563 ; 0.0958084 ; 0.0838323 ; 0.0718563 ; 0 ; 0
commentaire bn:00020978n ; 0.113772 ; 0 ; 0.143713 ; 0.137725 ; 0.155689 ; 0 ; 0 ; 0.101796 ; 0.155689
délimiter bn:00086464v ; 0 ; 0 ; 0.0479042 ; 0.0479042 ; 0 ; 0.0479042 ; 0 ; 0.0479042 ; 0
fois bn:00032768n ; 0.167665 ; 0.203593 ; 0.233533 ; 0 ; 0.227545 ; 0.263473 ; 0.125749 ; 0 ; 0.203593
url bn:00079080n ; 0.0958084 ; 0 ; 0.0958084 ; 0.0958084 ; 0.0958084 ; 0 ; 0 ; 0 ; 0.0958084
case à cocher bn:03157691n ; 0.0479042 ; 0 ; 0 ; 0.0479042 ; 0 ; 0.0479042 ; 0 ; 0 ; 0.0479042
post bn:01500184n ; 0 ; 0.0838323 ; 0.0898204 ; 0 ; 0.0838323 ; 0.0958084 ; 0 ; 0 ; 0.0838323
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0359281 ; 0.0479042 ; 0 ; 0.0359281 ; 0.0419162 ; 0
text bn:14981519n ; 0.155689 ; 0.143713 ; 0.167665 ; 0.143713 ; 0.179641 ; 0.167665 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.0598802 ; 0 ; 0.0778443 ; 0 ; 0.0838323 ; 0 ; 0 ; 0.0598802 ; 0.0838323
zones bn:00005513n ; 0 ; 0 ; 0.011976 ; 0 ; 0 ; 0.011976 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0 ; 0.0958084 ; 0.0958084 ; 0.0958084 ; 0.0958084 ; 0 ; 0 ; 0.0958084
case bn:04777941n ; 0.0838323 ; 0.0838323 ; 0.0898204 ; 0 ; 0 ; 0.0958084 ; 0 ; 0 ; 0.0838323
associer bn:00082868v ; 0 ; 0 ; 0.0479042 ; 0 ; 0.0479042 ; 0.0479042 ; 0 ; 0 ; 0.0479042
