condition;0.0;0.0;0.0;"(1474, 1482)";bn:00021644n
true;0.0;0.0;0.0;"(1493, 1496)";bn:00112146a
associated;0.0;0.0;0.0;"(1510, 1519)";bn:00082868v
transition;0.0;0.0;0.0;"(1525, 1534)";bn:00060881n
example;0.0;0.0;0.0;"(1539, 1545)";bn:00032099n
state;0.0;0.0;0.0;"(1549, 1553)";bn:00064914n
event;0.0;0.0;0.0;"(1566, 1570)";bn:00032021n
condition;0.0;0.0;0.0;"(1578, 1586)";bn:00021644n
true;0.0;0.0;0.0;"(1590, 1593)";bn:00112146a
global;0.0;0.0;0.0;"(1613, 1618)";bn:00103624a
seen;0.0;0.0;0.0;"(1625, 1628)";bn:00093430v
model;0.0;0.0;0.0;"(1656, 1660)";bn:00036197n
used;0.0;0.0;0.0;"(1667, 1670)";bn:13783090v
input;0.0;0.0;0.0;"(1675, 1679)";bn:00046848n
transition;0.0;0.0;0.0;"(1683, 1692)";bn:00060881n
model;0.0;0.0;0.0;"(1712, 1716)";bn:00036197n
support;0.0;0.0;0.0;"(1725, 1731)";bn:00075330n
support;0.0;0.0;0.0;"(1755, 1761)";bn:00075330n
model;0.0;0.0;0.0;"(1767, 1771)";bn:00036197n
"model b";1.0;0.016152716593245228;1.0915967427282456E-6;"(1767, 1773)";bn:03629773n
depth;0.0;0.0;0.0;"(1789, 1793)";bn:00025827n
extend;0.0;0.0;0.0;"(1822, 1827)";bn:00084121v
refinement;0.0;0.0;0.0;"(1842, 1851)";bn:00024359n
clustering;0.0;0.0;0.0;"(1854, 1863)";bn:00085206v
decomposition;0.0;0.0;0.0;"(1872, 1884)";bn:00025754n
state;0.0;0.0;0.0;"(1886, 1890)";bn:00064914n
xor;0.7976625273922571;0.041116005873715125;9.030482144388213E-6;"(1902, 1904)";bn:00178793n
extend;0.0;0.0;0.0;"(1930, 1935)";bn:00084121v
refinement;0.0;0.0;0.0;"(1950, 1959)";bn:00024359n
clustering;0.0;0.0;0.0;"(1962, 1971)";bn:00085206v
decomposition;0.0;0.0;0.0;"(1980, 1992)";bn:00025754n
state;0.0;0.0;0.0;"(1994, 1998)";bn:00064914n
xor;0.7976625273922571;0.041116005873715125;9.030482144388213E-6;"(2010, 2012)";bn:00178793n
aka;0.0;0.0;0.0;"(2061, 2063)";bn:00217855n
meaning;0.0;0.0;0.0;"(2065, 2071)";bn:00089805v
called;0.0;0.0;0.0;"(2095, 2100)";bn:00084385v
aka;0.0;0.0;0.0;"(2131, 2133)";bn:00217855n
meaning;0.0;0.0;0.0;"(2135, 2141)";bn:00089805v
xor;0.7976625273922571;0.041116005873715125;9.030482144388213E-6;"(2161, 2163)";bn:00178793n
arc;0.0;0.0;0.0;"(2178, 2180)";bn:00005361n
labeled;0.0;0.0;0.0;"(2182, 2188)";bn:00090150v
common;0.0;0.0;0.0;"(2194, 2199)";bn:00100090a
property;0.0;0.0;0.0;"(2201, 2208)";bn:00009815n
xor;0.7976625273922571;0.041116005873715125;9.030482144388213E-6;"(2220, 2222)";bn:00178793n
"b c";1.0;0.005873715124816446;1.323147566943328E-7;"(2237, 2239)";bn:03752309n
clustered;0.0;0.0;0.0;"(2243, 2251)";bn:00085206v
called;0.0;0.0;0.0;"(2272, 2277)";bn:00084385v
clustered;0.0;0.0;0.0;"(2297, 2305)";bn:00085206v
clustering;0.0;0.0;0.0;"(2316, 2325)";bn:00085206v
approach;0.0;0.0;0.0;"(2335, 2342)";bn:00005141n
"b c";1.0;0.005873715124816446;1.323147566943328E-7;"(2350, 2352)";bn:03752309n
example;0.0;0.0;0.0;"(2354, 2360)";bn:00032099n
bottom-up;1.0;0.032305433186490456;4.366386970912982E-6;"(2363, 2371)";bn:00098735a
clustering;0.0;0.0;0.0;"(2373, 2382)";bn:00085206v
arc;0.0;0.0;0.0;"(2397, 2399)";bn:00005361n
labeled;0.0;0.0;0.0;"(2401, 2407)";bn:00090150v
common;0.0;0.0;0.0;"(2413, 2418)";bn:00100090a
property;0.0;0.0;0.0;"(2420, 2427)";bn:00009815n
"b c";1.0;0.005873715124816446;1.323147566943328E-7;"(2455, 2457)";bn:03752309n
