;C11;C15;C17;C19;C3;C5;C6
éducation bn:00026980n;0; 1; 1; 1; 1; 1; 1; 
technologie bn:00005105n;0; 0; 1; 1; 1; 1; 1; 
juin bn:00048592n;0; 0; 0; 1; 0; 0; 1; 
secondaire bn:00096261a;0; 1; 1; 1; 1; 1; 1; 
bouton bn:03843242n;0; 0; 1; 0; 0; 1; 0; 
simple bn:00110649a;0; 1; 1; 1; 1; 1; 1; 
bouton radio bn:03157702n;0; 0; 1; 1; 1; 1; 0; 
radio bn:00065899n;0; 0; 1; 0; 1; 1; 0; 
bouton de réinitialisation bn:00067307n;0; 1; 1; 1; 1; 1; 1; 
réinitialisation bn:00067306n;0; 1; 1; 1; 1; 1; 1; 
case à cocher bn:03157691n;0; 0; 1; 1; 1; 1; 0; 
cocher bn:00017986n;0; 1; 1; 1; 1; 1; 1; 
elements bn:02258198n;0; 1; 1; 1; 1; 1; 1; 
focus bn:03248918n;0; 1; 1; 0; 1; 1; 1; 
fonction choix bn:00640192n;0; 1; 1; 1; 1; 1; 1; 
localisation bn:03977550n;0; 1; 1; 1; 1; 1; 1; 
authentification bn:03253409n;0; 1; 0; 1; 0; 0; 1; 
session bn:03751534n;0; 0; 1; 0; 0; 0; 0; 
entités bn:00031027n;0; 0; 0; 1; 0; 0; 0; 
étrangères bn:00096774a;0; 1; 1; 1; 0; 1; 1; 
gestion contenu bn:01533805n;0; 1; 1; 1; 1; 1; 1; 
phpmyadmin bn:03382496n;0; 0; 0; 0; 0; 0; 1; 
communication bn:00021221n;0; 1; 0; 1; 1; 0; 0; 
bilan bn:00008060n;0; 1; 1; 1; 1; 1; 1; 
enonce bn:00079416n;0; 1; 1; 1; 1; 1; 1; 
schema bn:16884119n;0; 1; 1; 1; 1; 1; 1; 
schema conceptuel bn:03558829n;0; 1; 1; 1; 1; 1; 1; 
premier bn:00103006a;0; 0; 1; 0; 0; 1; 0; 
utilisabilité bn:02245863n;0; 1; 1; 1; 1; 1; 1; 
dépendant bn:00086606v;0; 0; 1; 1; 0; 1; 0; 
interactifs bn:00105260a;0; 0; 1; 1; 1; 1; 1; 
déterminante bn:00101009a;0; 1; 1; 1; 1; 1; 1; 
véhiculer bn:00085769v;0; 1; 1; 1; 1; 1; 1; 
illustrer bn:00087826v;0; 0; 1; 1; 1; 1; 1; 
internet bn:00024712n;0; 0; 1; 0; 0; 0; 0; 
juste bn:00114626r;0; 1; 0; 1; 0; 1; 1; 
client serveur bn:03496583n;0; 0; 0; 0; 1; 0; 0; 
avoir accès bn:00082209v;0; 0; 1; 1; 1; 1; 0; 
cours en ligne bn:03617678n;0; 1; 1; 1; 1; 1; 1; 
zones bn:00005513n;0; 1; 1; 1; 0; 1; 0; 
python bn:01713224n;0; 1; 1; 0; 0; 0; 0; 
moindre bn:00105825a;0; 0; 1; 1; 1; 1; 1; 
perl bn:01723165n;0; 0; 0; 0; 0; 0; 1; 
hit bn:00044278n;0; 1; 1; 1; 1; 1; 1; 
système de gestion bn:01510781n;0; 0; 1; 1; 0; 0; 0; 
système de gestion de base de donnée bn:14249264n;0; 0; 0; 1; 0; 1; 0; 
sélectionner bn:00084931v;0; 0; 1; 1; 1; 1; 0; 
post bn:01500184n;0; 0; 1; 0; 0; 0; 0; 
concaténer bn:00085508v;0; 1; 0; 0; 1; 1; 1; 
url bn:00079080n;0; 0; 0; 0; 0; 0; 1; 
sensibles bn:00104681a;0; 1; 0; 1; 0; 0; 1; 
convient bn:00094581v;0; 0; 1; 1; 1; 1; 0; 
circonstances bn:00019220n;0; 1; 1; 1; 1; 1; 1; 
macromedia bn:01011718n;0; 1; 1; 1; 1; 1; 1; 
macromedia dreamweaver bn:02545116n;0; 1; 1; 1; 1; 1; 1; 
insertion bn:02234787n;0; 0; 0; 0; 0; 1; 1; 
aller bn:00040833n;0; 1; 1; 0; 1; 1; 1; 
zone de texte bn:03113401n;0; 0; 1; 0; 1; 1; 1; 
webmail bn:03631242n;0; 1; 1; 1; 1; 1; 1; 
valeur par défaut bn:03854990n;0; 0; 0; 1; 0; 0; 0; 
finale bn:00102969a;0; 1; 1; 1; 0; 1; 1; 
porter bn:00016278n;0; 1; 1; 1; 0; 1; 1; 
rows bn:03611246n;0; 1; 1; 1; 1; 1; 0; 
menu bn:00021485n;0; 1; 1; 0; 1; 0; 0; 
variable bn:00113503a;0; 0; 1; 0; 0; 1; 0; 
sélection multiple bn:05019947n;0; 1; 1; 1; 1; 1; 1; 
multiple bn:00107028a;0; 1; 1; 1; 1; 1; 1; 
précèdent bn:00091926v;0; 1; 1; 1; 1; 1; 1; 
indispensable bn:00104964a;0; 1; 1; 1; 1; 0; 1; 
possible bn:00108829a;0; 0; 1; 1; 0; 0; 0; 
afficher bn:00087013v;0; 0; 0; 0; 0; 1; 0; 
parfois bn:00117070r;0; 1; 0; 1; 1; 1; 1; 
nécessaire bn:00107182a;0; 0; 0; 1; 0; 1; 0; 
sélection simple bn:05019938n;0; 1; 1; 1; 1; 1; 1; 
distance bn:00027749n;0; 1; 1; 1; 1; 1; 0; 
affichage bn:00010421n;0; 0; 1; 0; 0; 0; 0; 
accesskey bn:01689926n;0; 1; 1; 1; 1; 1; 1; 
vouloir bn:00095629v;0; 0; 0; 0; 0; 0; 1; 
courants bn:00024510n;0; 1; 1; 1; 1; 0; 1; 
endroit bn:00062699n;0; 0; 0; 1; 0; 0; 0; 
symbole bn:00075652n;0; 1; 0; 1; 1; 1; 1; 
alternatif bn:00096897a;0; 1; 1; 1; 1; 1; 1; 
math bn:00053823n;0; 0; 1; 0; 1; 1; 1; 
histoire bn:00044268n;0; 0; 1; 1; 1; 1; 1; 
document object model bn:03762301n;0; 1; 1; 1; 1; 0; 1; 
consortium bn:00022016n;0; 1; 1; 1; 1; 1; 1; 
détecter bn:00086708v;0; 0; 0; 0; 1; 1; 0; 
class bn:03598962n;0; 0; 1; 0; 0; 0; 1; 
déclencher bn:00082306v;0; 1; 1; 1; 0; 1; 1; 
qualificatif bn:00055488n;0; 1; 1; 1; 1; 1; 1; 
variable booléenne bn:00294693n;0; 0; 0; 0; 0; 1; 1; 
examiner bn:00074790n;0; 1; 1; 1; 1; 1; 1; 
contexte bn:00022168n;0; 1; 1; 1; 0; 1; 1; 
encodage bn:00030696n;0; 1; 0; 0; 0; 0; 0; 
commentaires bn:00020978n;0; 0; 0; 0; 0; 0; 1; 
composer bn:14766022n;0; 0; 0; 1; 1; 0; 0; 
boîte de dialogue bn:00026837n;0; 1; 1; 1; 0; 1; 1; 
modèle objet bn:00058448n;0; 0; 0; 0; 0; 0; 1; 
document bn:00087138v;0; 1; 1; 1; 1; 1; 0; 
identique bn:00104508a;0; 0; 1; 1; 0; 1; 1; 
fichier batch bn:00744119n;0; 1; 1; 1; 1; 1; 1; 
touche de tabulation bn:00075801n;0; 1; 1; 1; 1; 1; 1; 
supplémentaires bn:00111488a;0; 1; 0; 1; 0; 0; 0; 
label bn:00066581n;0; 1; 1; 0; 1; 1; 1; 
également bn:00115274r;0; 1; 1; 1; 1; 1; 1; 
personne bn:00046516n;0; 1; 1; 1; 0; 0; 0; 
menu en cascade bn:00016397n;0; 1; 1; 1; 1; 1; 1; 
langage objets bn:00058453n;0; 1; 1; 1; 1; 1; 1; 
délicat bn:00101358a;0; 1; 1; 1; 1; 1; 1; 
feuilles de style bn:00802225n;0; 0; 1; 1; 1; 1; 1; 
feuilles de style en cascade bn:01642119n;0; 0; 1; 0; 1; 0; 1; 
mise en page bn:01681906n;0; 0; 1; 0; 1; 1; 1; 
fonctionnement bn:00036838n;0; 1; 1; 0; 0; 1; 1; 
stratégie bn:00069579n;0; 1; 1; 0; 1; 1; 1; 
feuille de style bn:00074837n;0; 1; 1; 1; 1; 1; 1; 
concept bn:00021547n;0; 0; 0; 1; 1; 1; 1; 
abstrait bn:00096212a;0; 0; 1; 1; 0; 1; 1; 
concrétisation bn:00066410n;0; 1; 1; 1; 1; 1; 1; 
sens bn:00046139n;0; 0; 1; 0; 1; 1; 0; 
double point bn:00020704n;0; 1; 1; 1; 1; 1; 1; 
point-virgule bn:00070420n;0; 0; 0; 1; 0; 1; 0; 
applicables bn:00097372a;0; 1; 0; 1; 1; 1; 1; 
élément html bn:02104867n;0; 0; 1; 0; 0; 1; 0; 
contextuels bn:00100369a;0; 1; 1; 1; 1; 1; 1; 
rouge bn:00066631n;0; 0; 1; 0; 0; 0; 1; 
éditeur de texte bn:00076736n;0; 0; 1; 0; 1; 1; 1; 
pixel bn:00061282n;0; 1; 1; 1; 1; 1; 1; 
signaler bn:00071525n;0; 1; 1; 1; 1; 0; 1; 
éditeur html bn:00895215n;0; 1; 1; 1; 1; 1; 1; 
partielle bn:00108290a;0; 1; 1; 1; 1; 1; 1; 
tenir compte bn:00082541v;0; 1; 1; 1; 0; 1; 1; 
hiérarchie bn:00044017n;0; 1; 1; 1; 1; 1; 1; 
