X ; C11 ; C17 ; C19 ; C3 ; C5 ; C6
C11 ; 1 ; 0.25 ; 0.25 ; 0.2 ; 0.25 ; 0.2
C17 ; 0.25 ; 1 ; 0.333333 ; 0.25 ; 0.285714 ; 0.25
C19 ; 0.25 ; 0.333333 ; 1 ; 0.25 ; 0.285714 ; 0.25
C3 ; 0.2 ; 0.25 ; 0.25 ; 1 ; 0.428571 ; 0.5
C5 ; 0.25 ; 0.285714 ; 0.285714 ; 0.428571 ; 1 ; 0.25
C6 ; 0.2 ; 0.25 ; 0.25 ; 0.5 ; 0.25 ; 1
