X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
éducation bn:00026980n ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
technologie bn:00005105n ; 0 ; 0 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125
juin bn:00048592n ; 0 ; 0 ; 0 ; 0.015625 ; 0 ; 0 ; 0.015625
secondaire bn:00096261a ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
bouton bn:03843242n ; 0 ; 0 ; 0.015625 ; 0 ; 0 ; 0.015625 ; 0
simple bn:00110649a ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
bouton radio bn:03157702n ; 0 ; 0 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.0625 ; 0
radio bn:00065899n ; 0 ; 0 ; 0.03125 ; 0 ; 0.03125 ; 0.03125 ; 0
bouton de réinitialisation bn:00067307n ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
réinitialisation bn:00067306n ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
case à cocher bn:03157691n ; 0 ; 0 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.0625 ; 0
cocher bn:00017986n ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
elements bn:02258198n ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
focus bn:03248918n ; 0 ; 0.125 ; 0.125 ; 0 ; 0.125 ; 0.125 ; 0.125
fonction choix bn:00640192n ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
localisation bn:03977550n ; 0 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
authentification bn:03253409n ; 0 ; 0.03125 ; 0 ; 0.03125 ; 0 ; 0 ; 0.03125
session bn:03751534n ; 0 ; 0 ; 0.0078125 ; 0 ; 0 ; 0 ; 0
entités bn:00031027n ; 0 ; 0 ; 0 ; 0.0078125 ; 0 ; 0 ; 0
étrangères bn:00096774a ; 0 ; 0.125 ; 0.125 ; 0.125 ; 0 ; 0.125 ; 0.125
