X ; php bn:01753580n ; texte bn:00076732n ; fichier bn:00021475n ; site bn:00047172n ; client web bn:00013447n ; nombre bn:00058285n ; code bn:00020354n ; serveur bn:00044916n ; chaîne bn:00074685n
php bn:01753580n ; 1 ; 0.25 ; 0.5 ; 0.25 ; 0.166667 ; 0.25 ; 0.333333 ; 0.333333 ; 0.25
texte bn:00076732n ; 0.25 ; 1 ; 0.4 ; 0.5 ; 0.333333 ; 0.5 ; 0.25 ; 0.25 ; 0.5
fichier bn:00021475n ; 0.5 ; 0.4 ; 1 ; 0.4 ; 0.285714 ; 0.4 ; 0.2 ; 0.2 ; 0.4
site bn:00047172n ; 0.25 ; 0.5 ; 0.4 ; 1 ; 0.6 ; 0.5 ; 0.25 ; 0.25 ; 0.5
client web bn:00013447n ; 0.166667 ; 0.333333 ; 0.285714 ; 0.6 ; 1 ; 0.333333 ; 0.4 ; 0.4 ; 0.333333
nombre bn:00058285n ; 0.25 ; 0.5 ; 0.4 ; 0.5 ; 0.333333 ; 1 ; 0.25 ; 0.25 ; 1
code bn:00020354n ; 0.333333 ; 0.25 ; 0.2 ; 0.25 ; 0.4 ; 0.25 ; 1 ; 1 ; 0.25
serveur bn:00044916n ; 0.333333 ; 0.25 ; 0.2 ; 0.25 ; 0.4 ; 0.25 ; 1 ; 1 ; 0.25
chaîne bn:00074685n ; 0.25 ; 0.5 ; 0.4 ; 0.5 ; 0.333333 ; 1 ; 0.25 ; 0.25 ; 1
